start_time,end_time,lyrics_line
40.6052237396,41.8992261758,i got a lot on my mind
41.8992261758,43.2763427066,and all of the time
43.2763427066,44.888163265,been trying to do right
45.654117137,46.8248735812,i may have the lost the light
46.8248735812,48.1694446927,but i'm keeping it tight
48.1694446927,50.226938776,never give up the fight no
50.7186613252,55.111836735,when my life is a wreck when my life is a wreck
55.5456448007,59.768163265,have to keep it all in check keep it all in check
69.9929748719,71.584217687,even in the darkest days
71.6387781887,72.8501218374,got a trail to blaze
72.8501218374,74.505578231,gonna stick to my ways
74.929519967,76.5257578463,i used to be caught in a phase
76.5257578463,77.8093070442,where life was a maze
77.8093070442,79.642993197,until i saw the suns rays
80.3991302985,84.453877551,when your life is a wreck life is a wreck
85.1254045135,88.61170068,you got to take that first step
89.9797327376,92.360272109,whoa oh oh oh oh
92.1566817107,94.454421769,paddle on through the waves now
94.9053611685,97.0877654954,whoa oh oh oh oh
97.0877654954,99.413333333,gonna take me to that place
99.8023514482,102.0354523827,whoa oh oh oh oh
102.0354523827,104.346122449,find that fire inside
104.8020609012,107.0188357973,whoa oh oh oh oh
107.0188357973,110.06984127,it's a fate that you decide
129.8034335415,133.183854875,when i feel like i'm losing control
134.7490877602,138.866938776,gotta reach within my soul
139.6676613878,143.429659864,and if you're ever feeling low yeah
144.9369380227,149.350748299,take that first step and go yeah
149.5953845605,151.472471655,take that first step to the right
151.9884822201,153.849614512,got to find what's inside
154.607045856,159.2301241438,before we run of time run out of time run out of time
159.2301241438,161.544126984,whoa oh oh oh oh
161.435645465,163.735510204,paddle on through the waves now
164.1952795342,166.3648501012,whoa oh oh oh oh
166.3648501012,168.684263039,gonna take me to that place
169.1281099188,171.308057847,whoa oh oh oh oh
171.308057847,173.592380952,find that fire inside
174.1360081403,176.349750567,whoa oh oh oh oh
176.2747774897,180.820090703,it's a fate that you decide
181.8310612253,186.572335601,that you decide
238.4213999726,240.7769544048,whoa oh oh oh oh
240.7769544048,243.3793269811,i'm paddling on i'm paddling strong
243.3793269811,245.33861678,whoa oh oh oh oh
245.4710300278,248.3284648202,find that fire find that fire
248.3284648202,250.7358005538,whoa oh oh oh oh
250.7358005538,253.587301587,i'm paddling on i'm paddling strong
253.2729048704,255.415873016,whoa oh oh oh oh
255.3164195859,259.453968254,find that fire find that fire
266.4439710255,274.2769161,find that fire find that fire find that fire
275.0456619606,276.593900227,find that fire
