start_time,end_time,lyrics_line
8.755939638,10.2717673819,one two three
10.2717673819,14.08,see you looking at me with those eyes
17.3817191375,19.0752812406,four five six
19.0752812406,21.2695343956,i know that you want this
21.2695343956,24.920816327,am i right think i'm right
25.9320105396,27.4404787017,let's skip the games
27.4404787017,29.117823129,fast forward to the what's your name
29.1841270297,32.949115646,why take our time time
34.5799320123,36.5635392562,so one two three
36.5635392562,38.732787989,know you heard about me
38.732787989,39.781587302,that's alright
40.7774235915,43.2890983149,just hit my line oh
43.2890983149,44.791292517,so come to me
44.8660226547,47.095873016,tonight we don't have to be enemies
47.1928497637,49.325714286,keep it going like it's meant to be
50.1896399731,52.1121176963,meant to be just wait and see
52.1121176963,53.505306122,so come with me
53.5846554251,55.617959184,and maybe you can touch my body
55.8818447446,57.955918367,don't be scared to take ahold of me
58.6182819941,61.2399414661,take me in and breathe tear me up to pieces
61.2399414661,61.692517007,oh
64.0764576432,65.799546485,get a taste of my bad side
68.3128290257,70.42031746,just a taste of my bad side
72.5806754899,74.866938776,you want a taste of my bad side
77.08791981,78.915918367,just a taste of my bad side
79.2017606861,81.205986395,you wanna know what it feels like
81.3869146163,83.125986395,to get a taste of my bad side
83.0046922743,84.484353741,la di da di
84.5597844546,86.7207518416,bet you'll think it's nothing
86.7207518416,90.353197279,till it drops all at once
90.8430446156,91.297959184,your heart
91.3828771386,93.059002268,oh my oh me
93.218908945,96.531156463,i'm fucking crazy and i can't stop
97.6595148528,99.670204082,it'll be fun ha
100.0620311572,101.611580113,let's skip the games
101.611580113,103.3913161025,fast forward to the what's your name
103.3913161025,107.863945578,why take our time time
108.3936409005,110.7207851768,so oh my oh me
110.7207851768,112.7557330501,i'm fucking crazy
112.7557330501,113.976598639,and i can't stop
114.889781376,116.253605442,so this'll be fun
117.4794641858,119.0424897203,so come to me
119.0424897203,121.299591837,tonight we don't have to be enemies
121.3573258108,123.585306122,keep it going like it's meant to be
124.3835326255,126.2126392609,meant to be just wait and see
126.2126392609,127.682176871,so come with me
127.7568639977,129.623945578,and maybe you can touch my body
130.0251435953,132.088163265,don't be scared to take ahold of me
132.7549563802,135.4379878937,take me in and breathe tear me up to pieces
135.4379878937,135.936870748,oh
138.254261634,140.016326531,get a taste of my bad side
142.6079278478,144.602267574,just a taste of my bad side
146.8216450319,149.0430839,you want a taste of my bad side
151.3280286508,153.222675737,just a taste of my bad side
153.3820903631,155.393741497,you wanna know what it feels like
155.5583064509,158.273015873,to get a taste of my bad side come to me
158.3265556923,160.52244898,tonight we don't have to be enemies
160.0734989673,161.5693275503,just a taste of my bad side
161.5693275503,164.408888889,meant to be meant to be
164.3442799398,166.9970082029,you want a taste of my bad side come with me
166.9970082029,169.131247166,and maybe you can touch my body
168.7949598422,170.940101764,just a taste of my bad side take a hold of me
170.940101764,172.761315193,you wanna know what it feels like
172.9869662747,174.5574738703,to get a taste of my bad side
174.5574738703,175.002993197,oh
177.4935200025,179.453968254,get a taste of my bad side
181.8917963907,183.967346939,get a taste of my bad side
186.2402091245,187.919092971,just a taste of my bad side
190.4886324405,192.290249433,just a taste of my bad side
194.877310447,196.493061224,you want a taste of my bad side
199.1395237236,200.742312925,hey just a taste of my bad side
203.9572356909,205.064489796,taste of my bad side
