start_time,end_time,lyrics_line
10.298412698,12.793469388,regiere das biz wie ein illuminat
12.947301587,15.327346939,in jedem staat sowie im emirat
15.517460317,18.448979592,bin ich raps most valuable thronkandidat
18.738503401,21.116734694,hip hops best limited edition
21.394285714,23.486439909,im lexikon unter champion
23.776507937,26.151836735,erhaltet von mir die originalversion
26.443174603,28.355918367,von streetrap in germany
28.566349206,31.030204082,wir geben alles für die company
31.235555556,33.453061224,folgt mir auffällig zum hauptmenü
33.719365079,36.770612245,bin euer lieblings baby in jeder city
37.086984127,39.683265306,vorbei in der lounge an jeder security
39.903492063,42.386938776,hab mit abstand die coolste identity
42.610793651,45.005714286,halte mein gleichgewicht im ying und yang
45.25968254,48.816326531,hab einen inneren drang für den perfekten klang
49.102222222,51.185578231,vom aussehen her bin ich blickfang
51.456507937,52.924081633,von hier in alle strassen
52.924081633,55.608163265,in den strassen leuchten die sterne klar
55.855238095,58.344489796,so unerreichbar und doch so nah
58.605714286,60.953469388,lichter scheinen auf das panorama
61.109115646,63.593650794,auf jeden block bis zum himalaya
63.924535147,66.310385488,g rap syndikat kämpfen chica
66.310385488,69.16244898,in der dunkelheit allein auf der strasse
69.340589569,71.602358277,chillen in der bar in der shishabar
71.944126984,75.294693878,kommen uns vor wie ein hollywoodstar
74.354285714,76.924444444,mein label kommt voll powerful
76.924444444,79.639365079,regiere die szene wie ein großmogul
79.639365079,82.903945578,mein sound kommt cool von hier bis nach istanbul
82.903945578,85.126530612,hab coolnessfaktor hoch zehn
85.228843537,87.572244898,kreiiere einen neuen straßenervergreen
87.900952381,90.429387755,mach euch zur gefolgschaft wie ein azzaleen
90.604263039,92.991111111,lehn dich 'zurück und schalt youtube an
93.158095238,95.78122449,drück auf play auf deinem touchscreen
96.053333333,98.733061224,der textinhalt dient zum machterhalt
98.938412698,102.106122449,bin eiskalt wie der schnee auf der champs elysees
102.341950113,105.544489796,in roten ferraris über die autobahn nach paris
105.706666667,108.137142857,versteck ein sechseck koka im gepäck
108.393650794,111.281632653,fahren dreihundertdreiundzwanzig über den bordercheck
111.613968254,113.792653061,gebt mir alle mal den meisten respekt
113.975147392,116.918276644,für meine ganzen aktionen ernte ich millionen
116.918276644,119.625034014,in den strassen leuchten die sterne klar
119.817142857,122.380408163,so unerreichbar und doch so nah
122.595555556,124.91755102,lichter scheinen auf das panorama
125.158095238,127.590748299,auf jeden block bis zum himalaya
127.907120181,130.490340136,g rap syndikat kämpfen chica
130.490340136,133.201632653,in der dunkelheit allein auf der strasse
133.292698413,135.706122449,chillen in der bar in der shishabar
135.918004535,139.216326531,kommen uns vor wie ein hollywoodstar
138.489614512,141.182040816,shaney dreiundzwanzig c rap unikat
141.274557823,142.885442177,du denkst dir nur ihr seit hart
142.885442177,144.878367347,aber ich schwör dir was ich tat
144.96,146.377142857,tat keiner zuvor mir
146.500498866,149.300952381,ich stech aus der masse hinaus wie ein clubhaus
149.594920635,152.542040816,neon lights effects bitches ziehen sich für mich aus
152.746666667,155.25877551,illuminati style weils endgeil line
155.498231293,157.218503401,ich bündel doppelt soviel scheine
157.414603175,160.0,bau ein textteil in realtime in die box
160.246712018,162.866938776,mir egal ob mit explorer oder firefox
163.088979592,165.887346939,dieser sound aus ffm kommt aus jeder box
165.975510204,168.068571429,das ist wie gridlock auf woodstock
168.385306122,170.610340136,ck shocked den block wie punkrock
170.92244898,173.650430839,chicks geben ficks für die heißeste g rapperin
173.934875283,176.43755102,die auch schon ein paar pariserinnen flach lag
176.721632653,178.928707483,und danach mit dreifach rhymes zuschlag
179.159365079,180.695510204,ich fick hardcore von montag
180.84244898,183.601632653,in den straßen leuchten die sterne klar
183.836734694,186.364081633,so unerreichbar und doch so nah
186.60244898,188.96,lichter scheinen auf das panorama
189.172970522,191.791020408,auf jeden block bis zum himalaya
191.982585034,194.497959184,g rap syndikat kämpfen chica
194.497959184,197.253877551,in der dunkelheit allein auf der straße
197.371428571,199.506938776,chillen in der bar in der shishabar
199.923809524,203.47755102,kommen uns vor wie ein hollywoodstar
