start_time,end_time,lyrics_line
14.425396825,17.664580499,wenn die schneemänner im garten wachsen
17.664580499,20.912471655,und die eiszapfen vom dach runterkracksen
20.912471655,24.169795918,wenn die eiskristalle an der scheibe haften
24.598639456,27.4430839,kann ich die kälte meistens nicht verkraften
27.4430839,31.480453515,und dann lieg ich krank im bett
33.834376417,37.355102041,wenn meine stirn dann glüht und mein atem rasselt
37.526349206,40.515918367,und der doktor kommt und lauter blödsinn quasselt
40.515918367,43.570793651,wenn der schnupfen aus dem nasenloch
44.039546485,46.738866213,die taschentücher sind leer jedoch
46.81723356,51.294693878,dann zieh ich den schnodder hoch
53.562630385,56.830839002,ja der schnodderdodder und der rotzroboter
56.830839002,60.079455782,und der rasselquassel und das schlimme schlammassel
60.293514739,63.23446712,und der fiese keim in dem gelben schleim
63.378866213,66.552380952,und die spitzenhitze und das ganze geschwitze
66.664489796,70.811428571,und ich zieh den schnodder hoch
73.15446712,76.322539683,in der nacht da kann ich ganz schlecht schlafen
76.45170068,79.691609977,weil mich verstopfte nasenlöcher strafen
79.952108844,82.728344671,der schlafanzug ist vollgerotzt
82.956190476,85.921088435,auf die bettdecke hab ich auch schon gekotzt
86.036462585,90.290793651,und ich zieh den schnodder hoch
92.749206349,95.836734694,wenns dann schlimmer wird ist meine stimme weg
96.177052154,98.951836735,und die beine schmerzen wenn ich sie streck
99.108571429,102.334693878,wenn ich husten muß spuck ich gelben schleim
102.733786848,105.705941043,zwei wochen lang bleibe ich daheim
105.705941043,109.773061224,und ich zieh den schnodder hoch
112.254693878,115.646984127,ja der schnodderdodder und der rotzroboter
115.646984127,118.859319728,und der rasselquassel und das schlimme schlammassel
119.12707483,122.070204082,der fiese keim in dem gelben schleim
122.354648526,125.425487528,die spitzenhitze und das ganze geschwitze
125.425487528,129.340952381,und ich zieh den schnodder hoch
131.959002268,134.905034014,wenn ich niesen muss kriegst du auch was ab
135.122721088,138.231292517,von dem gelben schleim dann machst du schlapp
138.692789116,141.801360544,schon sind wir zu zweit und bohren in der nase
142.033560091,145.002811791,und rotzen ins hemd bis zur ekstase
145.002811791,149.079365079,und wir ziehen den schnodder hoch
151.440544218,154.807437642,ja der schnodderdodder und der rotzroboter
154.807437642,158.124263039,und der rasselquassel und das schlimme schlammassel
158.304943311,161.18276644,der fiese keim in dem gelben schleim
161.549931973,164.520634921,die spitzenhitze und das ganze geschwitze
164.635283447,168.822857143,und ich zieh den schnodder hoch
171.023673469,175.438367347,ja ich zieh den schnodder hoch
177.510748299,182.479818594,ja ich zieh den schnodder hoch
184.089251701,188.709387755,ja ich zieh den schnodder hoch
