start_time,end_time,lyrics_line
43.68,45.605442177,wir steh'n auf der stelle
47.476099773,50.964897959,die see ist ruhig bewegt sich nicht
51.320816327,54.66122449,wir steh'n auf der stelle
55.246077098,58.832108844,und meilenweit kein land in sicht
59.970612245,63.379591837,die sonne steht am horizont
63.379591837,66.185578231,aschfahl und wärmt nicht mehr
67.648435374,70.974693878,der ozean ist kalt und tief
71.219591837,73.89170068,und der proviant ist leer
74.431564626,76.27755102,wir steh'n auf der stelle
78.196099773,81.554285714,und keiner weiß wie's weiter geht
82.050612245,85.38122449,wir steh'n auf der stelle
85.906938776,89.28,wer weiß wohin der wind uns weht
125.306122449,128.591020408,die nacht fällt wie ein sanftes tuch
129.110204082,131.745306122,und hüllt meine träume ein
132.75122449,135.88244898,die segel sie füllen sich
136.453877551,139.245714286,denn der wind bläst voll hinein
140.64,143.506938776,die wogen sie funkeln
144.385306122,147.0461678,und sterne fall'n vom firmament
148.302947846,151.614693878,der mond hängt wie ein nasser sack
152.10122449,154.621678005,der meine sehnsucht kennt
155.016417234,156.972698413,wir steh'n auf der stelle
159.794285714,162.353922902,wir geben nichts mehr von uns her
163.63755102,167.067573696,mein schiff das ist in voller fahrt
167.493877551,172.368979592,und vor uns liegt das meer
226.393469388,228.10122449,glaub ich geh jetzt in die badewanne kommst du mit
228.205714286,230.471836735,vielleicht später muss noch kartoffeln schälen
