start_time,end_time,lyrics_line
19.010612245,22.309297052,reuniones de trabajo
22.840816327,24.942585034,una comida familiar
27.154285714,30.236734694,discusiones de pareja
30.951836735,33.915646259,la ultima peli de star wars star wars
35.252244898,38.620952381,la tortilla francesa de anoche
39.357097506,41.437460317,el pelado que te han hecho
43.412244898,46.532789116,el nombre de tu perro
47.235918367,49.513650794,por qué te vas a otra ciudad
51.059591837,58.920816327,todo seria mejor si pudiera decir lo que siento sin miedo
59.180408163,67.2,todo seria mejor si pudieras decir lo que sientes sin miedo
84.04244898,87.737959184,la carcasa de tu iphone
88.186122449,90.000544218,ese cuadro en la pared
92.238367347,95.525442177,la camisa que llevas puesta
96.032653061,98.128979592,cuanto te quiero en realidad
100.382040816,103.73877551,opiniones malcriadas
104.440816327,106.35755102,otro bulo que estallo
108.499591837,111.568979592,comentarios del presidente
112.075102041,114.56,mi condicion sexual
116.120816327,124.031836735,todo seria mejor si pudiera decir lo que pienso sin miedo
124.293877551,132.243446712,todo seria mejor si pudieras decir lo que piensas sin miedo
148.692244898,153.417142857,no soy capaz de imaginar
156.767346939,163.346575964,como explotaria el mundo si solo contamos la verdad
164.943673469,169.853968254,no soy capaz de imaginar
173.028571429,179.664399093,como explotara mi cerebro si solo me cuentan la verdad
181.185306122,189.08244898,todo seria mejor si pudiera decir lo que siento sin miedo
189.345306122,197.572789116,todo seria mejor si pudieras decir lo que sientes sin miedo
199.947755102,201.826394558,sin miedo
208.120816327,209.994013605,sin miedo
