start_time,end_time,lyrics_line
10.398027623,12.8,honey i told you something
13.0110387771,15.58,sorry i didnt hear
15.9667787623,17.82,maybe there was something
17.8544605894,21.06,yeah stuck in your ear
21.5399637877,25.98,why is it everytime you say you do you dont
27.041031361,32.21,maybe i just thought that you were talking on the phone
33.96531894,36.38,honey youre looking lovely tonight
36.6318871957,39.17,sorry youre wastin time
39.4949739952,41.93,baby this aint your lucky night
41.9752873649,44.0,well tryin aint a crime
45.075701082,49.9,why is it everytime id like to do you dont
50.6366382455,55.29,maybe you could try a little romance and a comb
55.3335332602,58.9,lets go back in time
58.9775069145,61.68,way back when we were
61.7188309242,65.49,lalalala la la lala
66.4400353638,68.98,now its married life
69.2128199485,72.79,and a daily strife to be
72.8127403763,77.98,lalalalala lalalalala lala
78.338751054,82.14,lalalala la la lala
86.6829624662,88.9,honey youre getting older
89.0073232831,91.5,yeah and youre still
92.0746422362,94.62,and maybe things are colder
94.8024126193,97.05,but honey still youre mine
97.7606572289,100.0,guess its easy to forget
100.4006816531,102.62,were more than man and wife
103.2955922121,107.97,could it be the lalamagic keeping love alive
108.0043323612,110.91,lets go back in time
111.6663405758,114.23,way back when we were
114.4263037666,117.88,lalalala la la lala
119.0790517122,122.38,back when you and i
122.5859564692,125.32,still had time to be
125.4826418043,130.69,lalalalala lalalalala lala
131.1230556995,134.52,lalalala la la lala
157.9498331297,160.88,lets go back in time
161.5997086184,164.31,way back when we were
164.3544150467,168.13,lalalala la la lala
169.0382887988,172.26,back when you and i
172.5408360793,175.41,still had time to be
175.4614134897,177.34,lalalalala
177.355666386,180.63,lets go back in time
180.9950362918,183.66,way back when we were
183.7766660675,187.57,lalalala la la lala
188.4568895121,191.02,now its married life
191.3498700788,194.83,still we have to try to be
194.8567931703,200.361303376,lalalalala lalalalala lala
200.361303376,203.86,lalalala la la lala
