start_time,end_time,lyrics_line
1.855782313,3.502222222,qu'est ce que vous aimez faire dans l'existence
5.264399093,8.091428571,et si ça vous était donné que feriez vous exactement
9.287981859,11.354920635,comment exploiter le meilleur de soi même
11.713378685,13.551746032,dissiper la brume qui nous éloigne du soleil
13.648979592,15.900226757,quand je rêve de grandeur d'atteindre les sommets
15.900226757,18.265396825,je m'éloigne du glandeur qui cherche son sommeil
18.517913832,20.711111111,je ne vise pas les sommes juste être en unité
20.983582766,22.981587302,j'humilie les illuminés en manque d'humilité
23.265668934,25.478095238,une kalash' à un militant le voilà militaire
25.534693878,27.504036281,du cash à un prolo réveille l'instinct milliardaire
27.504036281,29.490068027,quand je ferme les yeux c'est pour y voir plus clair
29.844897959,31.838911565,ma tête dans les cieux ma conscience sous terre
31.838911565,34.259591837,t'as beau pousser des altères tu finiras poussière
34.259591837,36.510113379,même en touchant le pactole ça reste du cash misère
36.655600907,38.939863946,c'est pas parce que la came isole qu'on marche en solitaire
39.074829932,41.312653061,c'est qu'ils ont brouillé les codes glissage d'ogive nucléaire
41.364897959,43.949569161,civilisation séculaire la nôtre est éphémère
43.949569161,45.951564626,ressources limitées pouvoir bancaire force unité
46.2338322,49.902585034,élites infectées dessous de table élites infectées délit
49.964988662,52.253605442,milliardaire prolétaire
59.061405896,61.465396825,milliardaire prolétaire
63.650249433,66.036825397,milliardaire prolétaire
68.226031746,70.408707483,milliardaire prolétaire
81.396099773,84.648344671,terre terre terre terre
87.39845805,89.733514739,mon art est vital dans ma bulle je ressens moins les balles
89.733514739,91.814603175,dehors le bruit des larmes m'éloigne de mon âme
91.814603175,93.99292517,j'aime le son du calme remballe tes palabres
93.99292517,96.32,t'façons j'sais bien que t'es pas là quand arrive le drame
96.396190476,98.66739229,sonne le glas des périodes amicales je suis qu'un animal
98.66739229,101.122176871,même le cou serré pas prêt d'obtempérer quel qu'en soit le prix
101.253514739,105.750929705,chaque rime un coup de lame une façon de soigner ma déprime déprime déprime déprime
105.750929705,107.95537415,rythme de couche tard décalé d'un monde risible
107.95537415,110.245442177,les borderlines sont prévisibles les religieux sous résine
110.245442177,112.515192744,les seuls partages sur des réseaux tes amis sont ils tes rivaux
112.515192744,114.676099773,la machine a plus de raison que l'homme addict au raisin
114.676099773,116.916825397,le navire à la dérive je vise mes rêves vers l'horizon
116.916825397,119.262040816,je cultive les fruits de ma passion hérétique à contre courant
119.262040816,121.543401361,préoccupé de l'avenir des miens pas par celui de ma nation
121.539047619,125.532879819,je compte sur ma motivation pour garantir mon quotidien 'tidien 'tidien 'tidien
151.502947846,154.13877551,a votre avis qu'est ce que les gens gardent de vous comme souvenir
