start_time,end_time,lyrics_line
0.538412698,11.174603175,hola que quieres muchas gracias por todo lo que hemos pasado eh te quiero mucho
12.546031746,14.928979592,hola que tal espero que estés bien
15.169160998,18.128798186,no dejo de pensar en ti espero que tu también
18.329251701,21.203446712,yo estoy muy bien no niego que un poco triste
21.353650794,24.246712018,no saco de mi cabeza lo que tu me prometiste
24.424489796,27.322721088,si algo sentiste a veces me pongo a pensar
27.527981859,30.273015873,si verdaderamente conmigo querias estar
30.41015873,33.420408163,pero no vo' a negar que todavia te quiero
33.681995465,36.517006803,aunque ha pasado tiempo en mis brazos te espero
36.76952381,39.644444444,pues hay muchos recuerdos que yo tengo en mi mente
39.644444444,42.661587302,mis palabras mienten si dicen que nada sienten
42.920634921,45.894603175,presente en tu vida para siempre quisiera estar
46.176507937,49.018412698,juntos caminar y a tu lado despertar
50.057142857,58.877097506,y no puedo soportarlo mas no puedo estar no puedo estar sin ti
58.877097506,64.892517007,cuando te vi por primera vez te vi por primera vez
65.030385488,69.037278912,no pensé que me rendiria a tus pies
71.208344671,74.002721088,aqui estoy recordando y no te dejo de pensar
74.291519274,77.085170068,no te logro olvidar y te quiero besar
77.328253968,80.819954649,volver a recordar lo que fuimos tu y yo
83.525804989,86.311836735,aqui estoy recordando y no te dejo de pensar
86.580680272,89.374693878,no te logro olvidar y te quiero besar
89.640634921,93.16861678,volver a recordar lo que fuimos tu y yo
93.514013605,95.369795918,lo que fuimos tu y yo
95.796825397,98.107936508,ningun dia yo te dejo de pensar
98.311111111,101.153741497,como el tatuaje en mi piel en mi vida vas a estar
101.363809524,104.322902494,quiero llegar a ser el hombre que tu quieres
104.656689342,107.278004535,dime que mas hago tienes un hombre que se muere
107.53015873,110.46984127,por darte amor respeto y todas esas cosas
110.621315193,113.496598639,alguien que sin pensarlo te daria miles de rosas
113.759637188,116.558367347,eres hermosa un recuerdo que me mata
116.778231293,119.568253968,hiciste algo en mi vida que a tu amor mi ata
119.66984127,121.389569161,quiero volver a vivir volver a sentir
121.389569161,123.653514739,juntos sonreir si un error cometi lo quiero corregir
123.653514739,125.224489796,contigo compartir el amor descubrir
125.224489796,126.701133787,no voy a fingir que me muero por ti
126.701133787,128.286621315,a tu lado reir hasta el dia de morir
128.286621315,129.795555556,no te voy a mentir un amor para ti
129.795555556,132.066031746,yo te voy a elegir yo te voy a seguir nunca me voy a ir
132.066031746,133.665668934,para que te des cuenta que te amo a ti
133.894965986,135.279455782,y sabes bien que me muero por ti
135.414058957,137.198367347,di di di eh
137.340952381,138.453968254,que me muero por ti
138.376417234,141.960997732,no puedo estar sin ti
141.960997732,147.966893424,cuando te vi por primera vez te vi por primera vez
148.10521542,152.176326531,no pensé que me rendiria a tus pies
154.262131519,157.17877551,aqui estoy recordando y no te dejo de pensar
157.33877551,160.143673469,no te logro olvidar y te quiero besar
160.413605442,166.384580499,volver a recordar lo que fuimos tu y yo lo que fuimos tu y yo
166.577777778,169.358367347,aqui estoy recordando y no te dejo de pensar
169.639909297,172.470204082,no te logro olvidar y te quiero besar
172.720181406,178.478367347,volver a recordar lo que fuimos tu y yo lo que fuimos tu y yo
