start_time,end_time,lyrics_line
14.6279866782,17.96,tears are like diamonds in my eyes
17.9802656465,21.0,blind me so now youre out of sight
21.4323030906,26.79,its enough its too late to break this silence
28.2790116896,31.5,in a rose coloured view of us
31.7242488852,35.12,either cause could i realize
35.1609233219,38.4,all your lies would be blades to knifes
38.6735569262,40.72,to stab me inside
40.7551712988,44.15,who will save you from this dark
44.155381268,47.3973487115,who will fix your selfish heart
47.3973487115,50.7539845854,a one way street thats how you live
50.7539845854,54.44,why do you always take and never give
83.1390221302,86.16,wide awake yeah ive crossed the line
86.1999917559,87.19,im coming home
87.2163803693,89.96,im running back to real life
89.9883906994,90.91,through the start
91.0574221625,94.51,where i could breathin freely baby
95.7500674097,97.73,cant you see we ran off time
97.947275777,102.01,chasing happiness while you get what you need
102.8267099115,106.3,theres nothing left of us but bleeding blades and knifes
106.3224442576,109.040054683,tonight youll know how it feels
109.040054683,112.4912506028,a one way street thats how you live
112.4912506028,115.92,why do you always take and never give
115.9375594089,119.14,ill walk away to help you see
119.3917117746,122.78,our love is rolling down so easily
122.8387577004,124.72,a one way street
155.1768350918,156.92,a one way street
158.5285306165,160.54,you never give
162.0267319062,164.02,ill walk away
165.3374302893,166.9578035134,so easily
166.9578035134,169.43,a one way street
