start_time,end_time,lyrics_line
5.9666143394,9.835102041,i've been nothing but drinking and thinking yeah
12.4058769365,14.817959184,long since you been away
18.1422653679,22.648163265,i don't think that i'm coming back
23.9954050826,28.10122449,boy i told you i'm done with that
29.8328922699,33.567346939,you think you can do me so wrong
33.8791148134,36.525714286,i'm not the one no
36.8197009765,39.902040816,i'm not the one
41.1707866096,42.128639456,back in high school
42.2490986534,43.149206349,under the trees
43.221024214,44.3575570919,we use to mess around
44.3575570919,45.0032454974,i'd feel you down
45.0032454974,46.635827664,right there in the streets damn
46.8457714346,48.203174603,those were the days baby
48.4710676544,49.7067826169,now you barely look at me
49.7067826169,51.2467544062,like you was never my lady
51.2467544062,52.487981859,what has this come to be
52.7379291238,53.260544218,shit
53.4347506858,54.828117914,i guess we grown apart
55.1159796116,57.61814059,went and seperated but you still up in my heart
57.8486355595,59.342812175,and that will always be the case
59.342812175,60.524263039,you were my first one
60.8060120911,62.1854329671,no matter how the fuck we split
62.1854329671,63.6450812627,i wish you nothin but love
63.6450812627,64.268480726,but now i'm
64.4548226156,66.6108750139,doing these shows and i'm making this money
66.6108750139,68.2437379072,i'm never stoppin for these hoes
68.2437379072,70.058956916,all want me for money and shit
70.4111769461,72.9880626847,got these new friends on deck when i cash in my checks
72.9880626847,75.998185941,late up on they rent feeling my heart poppin outta my chest
76.2913427564,78.077097506,aint no slippin in this game tho
78.2916250065,81.080612245,they take advantage just to use you for the clout too
81.2323490718,82.735600907,thats why i keep my circle small
82.8894320824,84.379138322,and i keep my friends close
84.5156937356,87.98185941,remembering to watch my enemies when they coming through
88.3865405411,92.676643991,i don't think that i'm coming back
94.2463124111,98.456235828,boy i told you i'm done with that
100.0847791097,103.749659864,you think you can do me so wrong
104.1073865624,106.62675737,i'm not the one no
107.0397228037,110.363718821,i'm not the one
111.2517146486,112.533333333,i'm feeling blessed now
112.7170027021,114.85170068,i'm finally able to support my momma too
115.2481329162,116.360997732,no more double shifts
116.5676742764,118.073469388,no more stressing bout the rent shit
118.1741933105,119.557369615,complaining about the hunger and
119.6208032237,120.9443525923,goin to bed starving
120.9443525923,122.808163265,and its all thanks to you momma
123.1508114602,125.576417234,if it wasnt all for you beleiving in me
125.7870131648,128.123356009,i'd probably be in jail doin two to three
128.4277154554,130.0243861221,you raised me up all on your own
130.0243861221,131.483864663,grew up without my poppa
131.483864663,132.7338780042,and you put up with my shit
132.7338780042,134.8009527159,for that you know i'm grateful
134.8009527159,137.51292517,blessing with the family and friends all that i have
137.7746865225,140.404535147,got a loving cousin know i gotchu till the end
140.61322739,141.906575964,shout out to my crew
142.1656949109,144.780045351,adam and dan angelo amin and mack
144.9196058443,146.311111111,you know i got your backs
146.450646185,148.9383369499,shit we reppin ottawa ontario
148.9383369499,151.8462512545,we up at the parliment jamming out all on the radio
151.8462512545,152.936054422,i keep my circle small
153.1192946981,154.53968254,and i rep my fam too
154.7454370305,158.062585034,remembering to watch our enemies when they coming through
158.645938657,163.051247166,i don't think that i'm coming back
164.4728945093,168.362811791,boy i told you i'm done with that
170.278481855,173.906575964,you think you can do me so wrong
174.3115946554,176.830839002,i'm not the one no
177.2584404876,180.611337868,i'm not the one
182.0662934515,186.688435374,i don't think that i'm coming back not coming around no more like that
187.9170726765,192.539863946,boy i told you i'm done with that done with all that shit baby
193.7693827326,198.158367347,you think you can do me so wrong do me so wrong like
197.8125249794,200.315646259,i'm not the one no not the one baby
200.7186836784,203.486621315,i'm not the one not the one baby
