start_time,end_time,lyrics_line
16.871111111,20.496326531,je sais que toute ma vie je n'oublierai jamais
21.026394558,24.594285714,ce bel après midi au soleil de janvier
25.160272109,28.695510204,c'était tellement génial que j'en tremblote encore
29.211428571,32.84244898,je suis rentré tout sale et maintenant je m'endors
33.321360544,36.930612245,c'est vraiment fatiguant de courir tout le jour
37.398639456,40.989387755,mais qu'est ce que c'est marrant de faire le gros balourd
41.497687075,45.247346939,j'ai sauté dans les feuilles et j'ai mangé des pierres
45.594557823,49.684897959,chassé les écureuils et labouré la terre
49.926530612,53.266938776,je vis pour lui
54.025578231,56.989387755,mon seigneur chéri
57.36707483,59.164444444,mon maître ami
76.401632653,80.233469388,j'ai flairé des chenilles et broyé des bâtons
80.500680272,84.296598639,mordillé les chevilles d'un vilain vieux mouton
84.558367347,88.163265306,je suis le plus heureux pour ça je remercie
88.687891156,92.540408163,mon vénérable dieu mon maître à moi chéri
92.804353741,96.317823129,il est si formidable je l'aime plus que ma vie
96.892517007,100.458231293,je veux être admirable parfois je réussis
100.941496599,104.777142857,a gagner une caresse entre mes deux oreilles
105.112380952,109.398639456,même si je tire en laisse j'écoute les bons conseils
109.398639456,112.487619048,je vis pour lui
113.534693878,115.92707483,mon seigneur chéri
116.880544218,118.252698413,mon maître ami
135.856326531,139.50984127,ma maîtresse est gentille je sais que dans une heure
140.007619048,143.813877551,je jouirai des papilles la truffe dans mon bonheur
144.076190476,147.611428571,elle sait très bien comment me faire danser du cul
148.12952381,151.867936508,le soir en me versant de raffinés menus
152.287346939,155.804444444,croquettes croustillantes au délicat fumet
156.377687075,159.806984127,subtils parfums de fiente et viande faisandée
160.446258503,164.063492063,après ce doux festin j'irai me promener
164.569251701,168.259047619,et m'enivrer enfin des urines du quartier
168.892517007,171.646984127,je vis pour lui
173.024217687,175.624126984,mon seigneur chéri
176.387482993,177.665306122,mon maître ami
195.356734694,198.935510204,un jour je serai sage au moins toute une journée
199.462312925,202.977959184,pour un bout de fromage je peux être parfait
203.557006803,207.170612245,quand j'étais tout petit il fallait que je bouffe
207.721360544,211.509659864,j'faisais des confettis de toutes les pantoufles
211.789931973,215.314285714,maintenant je suis grand j'ai trois ans et deux mois
215.856326531,219.480816327,je protège mes parents c'est un peu moi le roi
219.933605442,223.512380952,je suis le plus heureux pour ça je remercie
224.078367347,227.92707483,mon vénérable dieu mon maître à moi chéri
228.395102041,231.192380952,je vis pour lui
232.535510204,235.162993197,mon seigneur chéri
235.863945578,236.982857143,mon maître ami
