start_time,end_time,lyrics_line
19.2,22.208435374,vente
22.638004535,27.119455782,conmigo es diferente
27.46122449,30.483446712,como agua fresca que calma la fiebre
30.76244898,33.015873016,hasta las nubes hoy mienten
33.216145125,35.147845805,y te explota en la cabeza
35.147845805,37.505668934,una tremenda tormenta
38.405804989,41.429478458,fuerte
41.867755102,46.271201814,abrazame muy fuerte
46.685170068,48.493061224,mi amor nunca me sueltes
48.493061224,51.798639456,ay que extraña es tu manera de quererme
52.48,56.965079365,que lindo que seria estar con vos y conversar
57.299591837,60.605895692,de cosas
61.113469388,65.748752834,no se de cuales cosas
65.87537415,69.889705215,cosas poco importantes y es que es muy duro olvidarte
70.213877551,73.71755102,no me digas que aun no nos veremos
73.71755102,76.192290249,y tendremos que esperar
76.506122449,79.856689342,mas tiempo
80.251428571,84.673015873,decime cuanto tiempo
85.015510204,87.940136054,si pareciera que no hubiera nada
88.385306122,90.543310658,y haga lo que haga
90.765714286,92.891428571,no paro de extrañarte
92.891428571,96.007256236,y de perderte cada dia mas
96.790204082,98.276643991,y el amor es asi
98.994285714,100.673015873,cuando lo dejamos ir
101.093877551,103.09478458,se resiente feo con tu alma
103.399183673,105.70521542,y ya no te deja ni dormir
106.148571429,107.851247166,y es como una venganza
108.222040816,110.228027211,por si el vacio no te alcanza
110.040816327,111.634285714,y te deja de recuerdo
111.634285714,112.568163265,en la guitarra
112.656326531,115.064489796,una de contra puta cancion
115.2,118.207346939,vieja
118.653968254,123.147755102,viejas canciones viejas
123.477913832,126.205714286,sonrisas que se alejan de mi cara
126.883265306,128.82122449,la angustia me apuñala
129.168979592,131.268571429,y mi rostro ya refleja
131.268571429,134.264489796,chotos miles años de dolor
134.4,137.47755102,canas
137.913469388,142.279183673,se vino el carmelazo
142.66122449,145.534693878,no me banco el fracaso de perderte
145.946122449,148.060408163,y tal vez fue para siempre
148.365714286,150.259591837,aquello que hoy me tiene
150.259591837,153.516734694,hundido en esta seca soledad
154.223673469,155.913469388,y quisas en ese lugar
156.600816327,158.18122449,nos volvamos a encontrar
158.598095238,160.461496599,quisas no sea tan malo
160.461496599,161.588571429,si al final los dos
161.718276644,163.368163265,nos la re mil buscamos
163.799365079,165.400816327,quiero prepararme mejor
165.889160998,167.886984127,a la altura de la ocasion
168.20244898,169.70122449,solo un rato mas de amor
169.80244898,172.254693878,para respirarte corazon
192.010884354,194.192653061,vente que conmigo es diferente
194.594104308,196.641269841,siente conmigo amor y abrazame fuerte
196.796371882,198.904489796,y no pidamos perdon
199.332426304,201.06122449,por todo lo que nos paso
201.389569161,203.737142857,que ahora ya no es importante
203.992380952,206.095238095,mucho mas peor fue tratar de olvidarte
206.095238095,207.502040816,que tremendo que se siente
207.900952381,210.641632653,sensaciones tan crocantes tan crujientes
210.780952381,213.005714286,y de repente estoy dado vuelta
213.005714286,214.690612245,como un condon o media
214.808888889,216.17015873,como un coreano en la feria
216.17015873,217.84,como un morron en la leche
218.394920635,220.535873016,como navidad el quince de septiembre
220.535873016,222.519727891,y al fin me resigno
223.062857143,224.946213152,y veo que no todo es tan maligno
225.353650794,226.468571429,como bola sin manija
226.468571429,227.672380952,y mi apnea no me ayuda
227.672380952,228.663492063,esa es fija
228.888888889,230.887619048,fafarulo calabaza esta en la pista
234.295873016,234.971428571,en la pista
238.502312925,240.346122449,fafarulo calabaza esta en la pista
243.93723356,244.60244898,en la pista
250.462040816,251.744217687,y el amor es asi
252.604081633,254.22585034,cuando lo dejamos ir
254.688072562,256.796371882,se resiente feo con tu alma
256.994104308,259.136870748,y ya no te deja dormir
259.136870748,261.336054422,y es como una venganza
261.603265306,263.725714286,por si el vacio no te alcanza
263.725714286,265.138503401,y te deja de recuerdo
265.138503401,266.212426304,en la guitarra
266.52952381,268.930612245,una bonita cancion que dices si
269.627936508,271.005895692,y el amor es asi
271.804444444,273.322086168,cuando lo dejamos ir
278.951836735,280.542857143,y es como una venganza
280.806530612,282.943854875,por si el vacio no te alcanza
282.943854875,284.63600907,y te deja de recuerdo
284.63600907,285.422222222,en la guitarra
285.762176871,288.011428571,una de contra puta cancion
288.818503401,290.213333333,y el amor es asi
291.012789116,292.50031746,cuando lo dejamos ir
293.082267574,295.164444444,se resiente feo con tu alma
295.491337868,297.521632653,y ya no te deja dormir
297.521632653,299.760544218,y es como una venganza
300.023582766,302.38185941,por si el vacio no te alcanza
308.056235828,309.433469388,y el amor es asi
310.191020408,311.699591837,cuando lo dejamos ir
317.300680272,319.011337868,y es como una venganza
319.368707483,321.58984127,por si el vacio no te alcanza
327.230113379,328.521723356,y el amor es asi
