start_time,end_time,lyrics_line
6.384761905,10.833560091,gerade denk' ich mir wie schön das leben ist
11.977142857,15.840362812,alles läuft gut wie gut das tut
17.629750567,21.848526077,die liebe das geld stimmt alles schick
23.173514739,27.70430839,ich fühle mich wie hans im glück
32.868571429,36.32,das ist die zeit für veränderung
36.32,39.459410431,mein chef sagt zeit für veränderung
40.192653061,42.020861678,wir leben die veränderung
42.28244898,45.206349206,veränderung hält jung
48.680634921,53.108390023,ich pack' die sachen ein denn morgen geht's schon los
54.328888889,57.941043084,es tut mir leid um uns're zeit
60.022857143,64.268480726,denkt mal an mich und wünscht mir glück
65.603265306,69.275283447,vielleicht komm ich ja bald zurück
75.267482993,78.44244898,dann ist die zeit für veränderung
78.72,81.922902494,mein chef sagt zeit für veränderung
82.644897959,84.448072562,wir leben die veränderung
84.688979592,87.524716553,veränderung hält jung
91.062857143,95.419501134,gerade denk' ich mir wie schön das leben ist
96.649795918,100.426303855,alles läuft gut wie gut das tut
102.34122449,106.652154195,denkt mal an mich und wünscht mir glück
107.943764172,111.532698413,vielleicht komm' ich ja bald zurück
117.675102041,121.01877551,das ist die zeit für veränderung
121.01877551,124.256507937,mein chef sagt zeit für veränderung
124.905941043,126.882539683,wir leben die veränderung
127.042176871,129.944671202,veränderung hält jung
136.96,139.041088435,ba da da da da da
145.511836735,147.600544218,ba da da dam da da
151.193469388,155.030204082,ba da da dam da dam da
160.048979592,163.395918367,das ist die zeit für veränderung
163.395918367,166.51755102,mein chef sagt zeit für veränderung
167.154285714,169.090612245,wir leben die veränderung
169.314104308,172.675918367,veränderung hält jung
172.9538322,176.550294785,es ist die zeit für veränderung
177.035102041,179.173877551,schon wieder 'ne veränderung
179.699591837,181.812244898,und so geht das leben 'rum
182.050612245,185.116734694,man wird schnell grau und krumm
185.631927438,191.353469388,zeit für veränderung
