start_time,end_time,lyrics_line
15.9496276735,21.5765145845,live in a time of straight sin we got black sheep that don't fit in i'm like huhhh terrorists who wanna cut limbs don't
21.5765145845,28.4975922323,zoom in to my true lens these loose ends are too grim to just comprehend i'm like huhhh oh lord it's getting worse cops out
28.4975922323,34.21170068,on that gang turf rich folks don't share first got planned parents don't need birth got prayers out and don't see church
34.4003201068,38.569795918,hands up and they shoot first another young life in that black hurst i'm too hurt i'm like huhhh
38.4132326116,44.7905880672,ya'll better come my way ya'll better come way okay and say ya'll better come my way i'm gonna make a statement day by day
44.7905880672,51.19910601,ya'll better come my way ya'll better come way okay and say ya'll better come my way i'm gonna make a statement day by day
51.19910601,54.391429847,peace signs peace signs up put em in the air and go rise up yeah
54.391429847,57.5894137967,peace signs peace signs up put em in the air and go rise up yeah
57.5894137967,60.8103927578,peace signs peace signs up put em in the air and go rise up yeah
60.8103927578,64.564897959,peace signs peace signs up put em in the air and go rise up yeah
67.1109088259,73.0736955305,live in a time in true greed we got kids here who can't write and read i'm like huhhh disgust for that mistrust say one
73.0736955305,79.4596402598,word and your handcuffed don't call bluff and you'll get struck and you're in court like huhhh live life with no limits my
79.4596402598,86.726530612,way no gimmicks pro league no scrimmage crunch time and i finish i'm that superstar no blemish i just own this no tenant
86.8116300124,89.837278912,you that background no sentence i'm the statement good riddance
89.7336377385,95.9991964251,ya'll better come my way ya'll better come way okay and say ya'll better come my way i'm gonna make a statement day by day
95.9991964251,102.4015131572,ya'll better come my way ya'll better come way okay and say ya'll better come my way i'm gonna make a statement day by day
102.4015131572,105.5818398608,peace signs peace signs up put em in the air and go rise up yeah
105.5818398608,108.7677969047,peace signs peace signs up put em in the air and go rise up yeah
108.7677969047,111.9961643768,peace signs peace signs up put em in the air and go rise up yeah
111.9961643768,115.718820862,peace signs peace signs up put em in the air and go rise up yeah
118.3876060442,121.287981859,stand up rise up peace signs up now whutsup
121.5211115433,124.651247166,stand up rise up peace signs up now whutsup
124.7253870278,127.727891156,stand up rise up peace signs up now whutsup
128.0345515702,133.5855443902,live in a time of lost hope we got no ropes for that down slope we got many with plenty that say nope we got refugees on
133.5855443902,140.9134059285,broke boats i'm like huhhhh real life with no tv millionaires stay greedy no love and there's no grub we got the homeless saying feed me
140.9134059285,147.1792701154,ya'll better come my way ya'll better come way okay and say ya'll better come my way i'm gonna make a statement day by day
147.1792701154,153.6021835349,ya'll better come my way ya'll better come way okay and say ya'll better come my way i'm gonna make a statement day by day
153.6021835349,156.7766613105,peace signs peace signs up put em in the air and go rise up yeah
156.7766613105,160.0041085954,peace signs peace signs up put em in the air and go rise up yeah
160.0041085954,163.1864954401,peace signs peace signs up put em in the air and go rise up yeah
163.1864954401,166.694603175,peace signs peace signs up put em in the air and go rise up yeah
