start_time,end_time,lyrics_line
0.659591837,9.584489796,uu huu huu huu na na na nay na na na nay
10.13877551,16.372244898,yo digo miedo miedo nos engañan con el miedo chilli boop haay
16.558730159,21.949387755,miedo miedo nos engañan con el miedo te lo digo a ti
22.063673469,27.115102041,miedo miedo nos engañan con el miedo no
27.599092971,31.389387755,miedo miedo nos engañan con el miedo
33.1138322,38.425396825,nuevo mecanismo de control miedo para la poblacion
38.824489796,41.234285714,dominacion mediante el terror
41.723356009,44.031746032,cada dia vemos en television
44.342857143,48.342857143,atentados guerras muertes y destruccion
49.204535147,53.979138322,pero nadie se encarga de decir la verdad de la situacion
53.979138322,55.007346939,porque si se
55.20399093,60.548571429,miedo miedo nos engañan con el miedo chilli boop haay
60.725623583,66.053877551,miedo miedo nos engañan con el miedo te lo digo a ti
66.204081633,71.379591837,miedo miedo nos engañan con el miedo no
71.742403628,75.555918367,miedo miedo nos engañan con el miedo
76.571428571,81.389569161,mr money esta detras del miedo
82.285714286,87.204535147,imponiendo su ley all over the world
87.775056689,90.344671202,todo se compra todo se vende
90.575963719,93.282539683,almas cuerpos vidas inocentes
93.282539683,95.835827664,todo se compra todo se vende
96.058049887,99.040362812,almas cuerpos vidas inocentes
99.30521542,104.605895692,miedo miedo nos engañan con el miedo chilli boop haay
104.83446712,110.341950113,miedo miedo nos engañan con el miedo te lo digo a ti
110.341950113,115.365442177,miedo miedo nos engañan con el miedo no
115.883174603,119.727891156,miedo miedo nos engañan con el miedo
121.211791383,126.885442177,mercado de preocupacion consumo excesivo como evasion
127.423129252,131.400272109,trabajo trabajo ocupa el tiempo
131.604897959,136.940226757,a cambio de dinero tu esfuerzo y sudor no no
137.121814059,142.058231293,a cambio de dinero tu esfuerzo y sudor no
142.247619048,148.845714286,porque si se miedo miedo nos engañan con el miedo chilli boop haay
148.979954649,154.351746032,miedo miedo nos engañan con el miedo te lo digo a ti
154.498321995,159.507301587,miedo miedo nos engañan con el miedo no
160.033378685,165.841269841,miedo miedo nos engañan con el miedo no no no
