start_time,end_time,lyrics_line
16.242358277,18.24399093,même si mon réveil ne sonne pas
18.24399093,20.12154195,et qu'on m'attend c'est important
20.12154195,22.002721088,même si ya plus d'filtres à café
22.182312925,23.974603175,et qu'il m'faut ça pour démarrer
23.974603175,25.991836735,même si putain j'trouve plus les clés
26.26031746,27.873015873,de ma bagnole qu'est plus garée
27.873015873,29.783945578,là où elle s'endort tous les soirs
29.951927438,31.720634921,on m'la chourrer c'est un cauchemar
31.720634921,34.930068027,de bonne humeur même de bonne heure
35.552653061,38.935510204,je prends les choses avec douceur
39.453061224,42.819047619,de bonne humeur même de bonne heure
43.325714286,46.567619048,il en faut plus pour m'donner des sueurs
47.213061224,49.145034014,même si j'traîne les pieds dans la rue
49.145034014,51.094058957,et qu'mon briquet à disparu
51.094058957,53.01260771,même si les rumeurs sur mon compte
53.01260771,54.951836735,s'amplifient à chaque secondes
55.132879819,56.891428571,même si on m'attends au bureau
57.073197279,58.824852608,j'suis quand même vert pour ma clio
58.824852608,60.789115646,et quand bien même j'ai de l'herpès
61.00462585,62.705487528,je n'oublie pas qu'il faut qu'je reste
62.705487528,66.111564626,de bonne humeur même de bonne heure
66.561451247,70.083628118,je prends les choses avec douceur
70.449342404,74.003446712,de bonne humeur même de bonne heure
74.303854875,77.772335601,il en faut plus pour m'donner des sueurs
93.640272109,95.586394558,même si j'ai pas les numéros
95.586394558,97.548480726,gagnant au tirage du loto
97.548480726,99.45723356,même si je me suis fait virer
99.657142857,101.408798186,car mon réveil n'a pas sonné
101.408798186,103.355646259,même si ma copine s'est tapé
103.549387755,105.276371882,le fils du voisin de palier
105.276371882,107.250068027,même si je ressens un p'tit stress
107.451791383,109.146848073,je n'oublie pas qu'il faut qu'je reste
109.146848073,112.357006803,de bonne humeur même de bonne heure
113.015873016,116.310204082,je prends les choses avec douceur
116.883446712,120.276462585,de bonne humeur ouais même de bonne heure
120.735056689,124.306938776,il en faut plus pour m'donner des sueurs
124.622947846,128.104489796,de bonne humeur même de bonne heure
128.499229025,131.848707483,je prends les choses avec douceur
132.353741497,135.736598639,de bonne humeur ouais même de bonne heure
136.218412698,139.746394558,il en faut plus pour m'donner des sueurs
