start_time,end_time,lyrics_line
15.423854875,17.699410431,ich träume den ganzen tag von dir
18.912653061,25.61015873,oh bitte glaube mir ich weiß nicht warum
29.64244898,31.316462585,du bist so weit weg
31.46122449,34.063673469,ich fühle mich wie'n stück dreck
35.408979592,39.401360544,ich weiß nicht warum
43.173877551,47.705396825,in meinem kopf dreht sich alles nur um dich
48.587755102,53.707755102,verdammt nochmal lass mich nicht im stich
54.893061224,59.837823129,ich liebe ich lieb nur dich
64.542040816,66.829931973,ich lieb' nur dich
73.619591837,78.309297052,du schaust mir tief in die augen und lächelst mich an
80.399092971,84.985034014,ich kapiere jetzt erst ich bin nicht der mann
87.683265306,98.110113379,liebe zu zeigen oh fällt mir so schwer bei mir war es eh ziemlich lang her
98.817959184,104.373696145,es tut so weh dich gehen zu sehen
105.469387755,114.380045351,es tut so weh es tut so weh dich gehen zu sehen
127.930340136,131.482993197,ich hab mich versteckt um dich zu seh'n
134.931156463,138.388027211,ich hab mich versteckt um dich zu versteh'n
141.985306122,146.566530612,doch du liefst immer von mir weg ich hab das nie verstanden
146.566530612,151.829478458,es tut so weh dich gehen zu seh'n
153.110204082,158.585034014,es tut so weh dich gehen zu seh'n
159.549387755,168.269206349,es tut so weh es tut so weh dich gehen zu sehen
182.115918367,184.259047619,ich träum' den ganzen tag von dir
185.635918367,189.216507937,und hoffe du kommst zu mir
