start_time,end_time,lyrics_line
18.422857143,22.73814059,si un jour il m'arrivait de te parler de l'abandon
23.112562358,27.631746032,de tous ces souvenirs usés et tant de mauvaises raisons
27.785578231,32.130612245,mais je n'culpabiliserai pas de grandir d'une autre façon
32.45569161,36.75138322,sans féerie de carton pate sans anecdote de vieux chiffon
37.112743764,39.424580499,ces extra rire dans toutes ces dunes
39.424580499,41.578594104,et me font rester dans la lune
41.743673469,43.717369615,pour ca j'ai toujours été là
44.033741497,45.975510204,ne me demande pas pourquoi
54.495238095,58.906122449,est ce qu'à mon tour on m'pardonnerai de ne pas être un bon garçon
59.168253968,63.621587302,avec personne pour m'engueuler avec toutes mes questions
63.862857143,68.306984127,comme toi que j'ai peut être mal aimé ou alors de cette autre façon
68.537142857,73.019501134,qui laisse les gens si éffacés par tant de si bonnes intentions
73.184761905,75.294331066,ces extra rires dans toutes ces dunes
75.551746032,77.820952381,et me tiennent là haut dans la lune
77.820952381,79.829478458,pour ca j'ai toujours été là
80.167619048,82.140589569,ne me demande pas pourquoi
82.553650794,84.738321995,mais plus ça va plus ça empire
84.857142857,87.005895692,même quand il n'y a plus rien à dire
87.188571429,89.171882086,en tout cas il faut qu'j'compte sur moi
89.500952381,91.428571429,je n'te dirai pas pourquoi
116.246349206,120.713650794,toi et moi on n'se connait plus comme une légère p'tite impression
120.967619048,125.305034014,d'avoir légèrement tout perdu dans un flot de contrefaçons
125.588571429,130.102857143,mais la vie est bien trop courte pour avoir la main légère
130.811428571,134.82031746,avec ou sans trop d'amour je ne vous détesterai guère
134.82031746,139.768163265,il paraitrait qu'au petit jour ma ville serai plein de nuances
140.118095238,144.222222222,à cette heure ci elle est trop floue et ne manque pas de non sens
144.222222222,146.435238095,ces extra rires dans toutes ces dunes
146.591746032,148.732517007,et me tiennent là haut dans la lune
148.857142857,151.105623583,pour ca j'ai toujours été là
151.269297052,153.408435374,ne me demande pas pourquoi
153.533968254,155.873015873,mais plus ça va plus ça empire
155.873015873,158.045170068,même quand il n'y a plus rien à dire
158.267936508,160.296054422,en tout cas il faut qu'j'compte sur moi
160.524444444,162.738503401,je n'te dirai pas pourquoi
162.911746032,165.172063492,maint'nant il faut que j'me rendorme
165.172063492,167.235918367,en croyant rester dans les normes
167.537777778,169.711428571,mais cela ne m'regarde pas
169.879365079,171.85015873,allez savoir pourquoi
171.85015873,172.577959184,ah ah
173.010430839,176.883809524,oh oh oh oh oh oh oh
177.583492063,181.485714286,oh oh ne me demande pas pourquoi
182.305668934,186.392380952,oh oh oh oh oh oh oh
186.96,190.937687075,oh oh je n'te dirai pas pourquoi
