start_time,end_time,lyrics_line
26.062222222,30.27845805,con dos palabras quiero decirte
30.528435374,34.536054422,lo que entristece a mi corazon
34.925714286,38.96,por no escucharlas cuando hera niño
39.304126984,43.35600907,por no escucharlas ni percibirlo
43.621587302,47.657142857,solo las digo vueltas cancion
50.189206349,54.316553288,y la tristeza de la que hablo
54.562539683,58.634013605,venia cargada con depresion
58.906122449,62.982312925,cuando crei que tocaba el fondo
63.259863946,67.354195011,dios ha llegado en forma de amor
67.657142857,71.724263039,con el regalo de tu presencia
72.015238095,76.177777778,y de mi vida eres la razon
76.933514739,85.568435374,te amo te amo te amo
111.299047619,115.343673469,y la alegria que estoy sintiendo
115.646258503,119.740408163,es sentimiento vuelto expresion
120.0,124.187755102,por inspirarme el pronunciarlas
124.371882086,128.280816327,una y mil veces gracias mi amor
129.30031746,132.896326531,te amo son dos palabras
133.09968254,137.216326531,que brotan llanas en la expresion
137.456326531,141.588571429,pero al decirlas con toda el alma
141.830385488,145.724081633,el sentimiento les da valor
146.750113379,150.315102041,te amo son dos palabras
150.540770975,154.72,que al pronunciarlas me acerca a dios
154.931519274,159.020408163,por no decirlas en su momento
159.274376417,163.428571429,una y mil veces pido perdon
164.201360544,167.766530612,te amo son dos palabras
168.007981859,172.151836735,que al pronunciarlas me acerca a dios
172.384943311,176.396371882,por inspirarme lo que yo siento
176.740136054,180.630204082,una y mil veces gracias mi amor
181.659863946,190.839183673,te amo te amo te amo
