start_time,end_time,lyrics_line
1.06122449,2.601360544,oyeme tiburon
5.738231293,8.886258503,ya se lo que tu quieres
9.404444444,11.889342404,no hay razon por cual
12.271746032,14.291156463,tiburon lo que quieres
14.598095238,16.170793651,ya lo se
16.436825397,18.572335601,tiburon lo que quieres
18.780952381,20.078004535,ya lo se
21.942857143,24.395464853,todo estaba bien ese dia
24.8,28.745578231,y yo gozando bajo el sol
28.975238095,32.312018141,me duele tanto este dolor
33.09968254,35.116553288,tiburon lo que quieres
35.479365079,37.027301587,ya lo se
37.292698413,39.463038549,tiburon lo que quieres
39.641904762,41.214603175,ya lo se
41.483174603,44.363174603,la gente ya se fueron
44.64,51.885714286,y ya yo no se lo que hacer
52.553650794,54.795464853,oyeme tiburon
56.345396825,60.502222222,no hay razon por cual
60.916825397,63.568253968,oyeme tiburon
64.416507937,66.521269841,tiburon lo que quieres
66.778412698,68.390022676,ya lo se
69.252063492,71.488435374,oyeme tiburon
72.802539683,76.331972789,las gentes ya se fueron
77.633015873,80.359183673,oyeme tiburon
81.08952381,83.058503401,tiburon lo que quieres
83.476825397,85.297052154,ya lo se
86.623492063,88.326530612,oyeme tiburon
91.309206349,94.421768707,ya se lo que tu quieres
94.991746032,97.570793651,no hay razon por cual
97.831111111,99.853061224,tiburon lo que quieres
100.17015873,101.723174603,ya lo se
101.988571429,104.032653061,tiburon lo que quieres
104.34031746,106.068027211,ya lo se
107.53015873,109.99292517,todo estaba bien ese dia
110.364444444,114.364081633,y yo gozando en el mar
114.542222222,117.942857143,me duele tanto recordar
118.641269841,120.796825397,tiburon lo que quieres
121.048888889,122.636190476,ya lo se
122.841904762,124.826122449,tiburon lo que quieres
125.216507937,126.778412698,ya lo se
127.045079365,129.928888889,la gente ya se fueron
130.204444444,137.565170068,y ya yo no se lo que hacer
138.097777778,140.647619048,oyeme tiburon
141.908752834,146.198639456,no hay razon por cual
146.488888889,148.880544218,oyeme tiburon
149.975873016,152.112380952,tiburon lo que quieres
152.370793651,154.157278912,ya lo se
154.813968254,157.405170068,oyeme tiburon
158.364444444,162.024489796,las gentes ya se fueron
163.177142857,165.864489796,oyeme tiburon
166.686984127,168.663945578,tiburon lo que quieres
169.051428571,170.626666667,ya lo se
170.895238095,172.968888889,tiburon lo que quieres
173.224126984,175.006349206,ya lo se
