word_start,word_end,line_end
16.01814059,17.856145125,nan
18.499047619,18.82122449,nan
18.82122449,19.269659864,nan
19.269659864,19.456870748,nan
19.456870748,19.731156463,nan
19.731156463,20.349387755,20.349387755
20.349387755,20.575782313,nan
20.575782313,20.885986395,nan
20.989387755,21.122902494,nan
21.122902494,22.971428571,nan
23.464126984,23.728253968,nan
23.728253968,24.306938776,nan
24.306938776,24.49414966,nan
24.49414966,24.707482993,nan
24.707482993,25.299591837,25.299591837
25.414603175,26.210612245,nan
26.623492063,26.801269841,nan
26.801269841,26.948571429,nan
26.948571429,27.552380952,nan
27.753650794,28.038095238,nan
28.038095238,28.497777778,nan
28.497777778,28.612063492,nan
28.612063492,29.422222222,nan
29.422222222,29.556825397,nan
29.556825397,30.199365079,30.199365079
30.199365079,31.123174603,nan
31.431111111,31.652063492,nan
31.652063492,31.756190476,nan
31.756190476,31.906031746,nan
31.906031746,32.391836735,nan
32.807619048,33.129795918,nan
33.396825397,33.786122449,nan
34.026666667,34.207346939,nan
34.207346939,34.323809524,nan
34.323809524,34.641269841,nan
34.641269841,35.003174603,35.003174603
35.123809524,35.28707483,nan
35.28707483,35.578412698,nan
35.578412698,35.875555556,nan
35.875555556,36.173061224,nan
36.353015873,36.662857143,nan
36.662857143,36.812698413,nan
36.812698413,37.351746032,37.351746032
37.531428571,37.848888889,nan
37.848888889,38.021587302,nan
38.021587302,38.311111111,nan
38.311111111,38.460952381,nan
38.460952381,39.04,nan
39.04,39.202539683,nan
39.202539683,40.153015873,40.153015873
40.46984127,40.932063492,nan
40.932063492,42.638367347,nan
42.949659864,43.291428571,nan
44.157823129,44.986122449,44.986122449
45.556825397,47.513469388,nan
48.045714286,48.195918367,nan
48.335238095,48.655963719,nan
48.655963719,48.977777778,nan
48.977777778,49.335147392,nan
49.335147392,50.148571429,50.148571429
50.474376417,52.489795918,nan
53.008253968,53.165714286,nan
53.29015873,53.566984127,nan
53.566984127,53.836190476,nan
53.836190476,53.986031746,nan
53.986031746,54.991020408,54.991020408
55.423492063,57.319183673,nan
57.879365079,58.168888889,nan
58.168888889,58.637460317,nan
58.793650794,58.9569161,nan
58.9569161,59.126349206,nan
59.126349206,59.879183673,59.879183673
60.30984127,60.485079365,nan
60.485079365,62.367346939,nan
62.768253968,62.930793651,nan
62.930793651,63.090793651,nan
63.090793651,64.065306122,64.065306122
64.797460317,65.573877551,nan
66.031746032,66.206984127,nan
66.206984127,66.336507937,nan
66.336507937,66.991020408,nan
67.131428571,67.448888889,nan
67.448888889,67.880634921,nan
67.880634921,68.035555556,nan
68.035555556,68.584489796,nan
68.695873016,68.987936508,nan
68.987936508,69.365079365,69.365079365
69.490793651,70.462222222,nan
70.786031746,70.961269841,nan
70.961269841,71.106031746,nan
71.106031746,71.293968254,nan
71.293968254,71.947301587,nan
72.165079365,72.48,nan
72.8,73.175510204,nan
73.404444444,73.58984127,nan
73.58984127,73.721904762,nan
73.721904762,73.916734694,nan
74.05968254,74.376145125,74.376145125
74.481632653,74.644897959,nan
74.644897959,74.963809524,nan
74.963809524,75.281269841,nan
75.281269841,75.572244898,nan
75.733333333,76.05260771,nan
76.05260771,76.212244898,nan
76.212244898,76.68244898,76.68244898
76.982857143,77.242630385,nan
77.242630385,77.401904762,nan
77.401904762,77.608979592,nan
77.678004535,77.881904762,nan
77.881904762,78.304943311,nan
78.304943311,78.509206349,nan
78.509206349,79.537777778,79.537777778
79.880634921,80.35047619,nan
80.35047619,82.03755102,nan
82.326349206,83.010612245,nan
83.575873016,84.520634921,84.520634921
124.073650794,124.220952381,nan
124.220952381,124.477460317,nan
124.477460317,124.995918367,124.995918367
125.262222222,125.389206349,nan
125.389206349,125.699047619,nan
125.699047619,126.290068027,126.290068027
126.48707483,126.891247166,nan
126.891247166,127.451428571,127.451428571
127.698866213,128.162539683,nan
128.162539683,128.777777778,128.777777778
128.982857143,129.086984127,nan
129.086984127,129.219047619,nan
129.219047619,129.927619048,129.927619048
130.163809524,130.341587302,nan
130.341587302,130.510657596,nan
130.510657596,131.108571429,131.108571429
131.418412698,131.624126984,nan
131.624126984,131.857777778,nan
131.857777778,132.318911565,132.318911565
132.579047619,132.754285714,nan
132.754285714,132.944761905,nan
132.944761905,133.079365079,nan
133.079365079,133.257142857,nan
133.257142857,133.520544218,133.520544218
133.864126984,134.016507937,nan
134.016507937,134.341587302,nan
134.341587302,134.896326531,134.896326531
135.126349206,135.266031746,nan
135.266031746,135.563174603,nan
135.563174603,136.108843537,136.108843537
136.345396825,136.46984127,nan
136.46984127,136.703854875,nan
136.703854875,137.427301587,nan
137.427301587,137.594920635,nan
137.594920635,138.006349206,nan
138.006349206,138.579591837,138.579591837
138.768253968,139.240634921,nan
139.240634921,139.837823129,139.837823129
140.012698413,140.477460317,nan
140.477460317,141.100408163,141.100408163
141.24952381,141.701587302,nan
141.701587302,142.179047619,nan
142.179047619,142.471111111,nan
142.471111111,142.715646259,nan
142.803809524,143.481904762,143.481904762
143.707936508,143.867936508,nan
143.867936508,144.208253968,nan
144.208253968,144.77015873,144.77015873
144.957460317,145.102222222,nan
145.102222222,145.399365079,nan
145.399365079,145.974603175,145.974603175
146.166349206,146.316190476,nan
146.316190476,146.554920635,nan
146.554920635,147.128888889,nan
147.128888889,147.405714286,nan
147.405714286,147.82984127,nan
147.82984127,148.435555556,148.435555556
148.637460317,149.076825397,nan
149.076825397,149.680634921,149.680634921
149.881904762,150.295873016,nan
150.295873016,150.811428571,150.811428571
151.123809524,151.522539683,nan
151.522539683,151.996371882,nan
151.996371882,152.175238095,nan
152.290249433,152.596825397,nan
152.596825397,153.284444444,153.284444444
153.513650794,153.676190476,nan
153.676190476,153.988571429,nan
153.988571429,154.573333333,154.573333333
154.768253968,154.940952381,nan
154.940952381,155.268571429,nan
155.268571429,155.847619048,155.847619048
156.040634921,156.177777778,nan
156.177777778,156.492698413,nan
156.492698413,156.98031746,156.98031746
157.252063492,157.406984127,nan
157.406984127,157.752380952,nan
157.752380952,158.24,158.24
