word_start,word_end,line_end
21.78031746,21.892063492,nan
21.892063492,22.053514739,nan
22.053514739,22.198276644,nan
22.198276644,22.494331066,nan
22.494331066,22.791836735,nan
22.791836735,23.227210884,nan
23.336054422,24.450612245,24.450612245
24.891791383,25.170430839,nan
25.170430839,25.449070295,nan
25.449070295,25.793741497,nan
25.793741497,26.379319728,26.379319728
26.538231293,26.901768707,nan
26.901768707,27.41260771,nan
27.41260771,27.524353741,nan
27.524353741,28.175238095,nan
28.175238095,29.220136054,29.220136054
29.694693878,29.853605442,nan
29.96244898,30.297687075,nan
30.297687075,30.521360544,nan
30.595918367,30.898503401,nan
30.898503401,31.414421769,31.414421769
31.414421769,31.51600907,nan
31.51600907,31.79537415,nan
31.79537415,32.100136054,nan
32.100136054,32.361360544,nan
32.361360544,32.99047619,nan
32.99047619,33.295238095,nan
33.295238095,34.052789116,34.052789116
34.490340136,34.775510204,nan
34.775510204,35.125986395,nan
35.125986395,35.256598639,nan
35.256598639,35.393741497,nan
35.393741497,36.116462585,36.116462585
36.336326531,36.42122449,nan
36.495238095,36.641088435,nan
36.641088435,36.900861678,nan
36.900861678,37.183129252,nan
37.183129252,37.405170068,nan
37.45814059,37.736780045,nan
37.736780045,38.928979592,38.928979592
39.281269841,39.461587302,nan
39.461587302,39.652063492,nan
39.652063492,40.032653061,nan
40.032653061,40.208979592,nan
40.208979592,40.441904762,nan
40.441904762,40.579047619,40.579047619
40.579047619,40.822857143,nan
40.822857143,41.256054422,nan
41.256054422,41.734965986,nan
41.734965986,42.597006803,42.597006803
42.884353741,43.203628118,nan
43.203628118,43.682539683,nan
43.682539683,44.093968254,nan
44.093968254,44.69260771,44.69260771
44.69260771,44.979954649,nan
44.979954649,45.21723356,nan
45.21723356,45.542312925,nan
45.542312925,46.245986395,nan
46.480544218,46.72,nan
46.772970522,47.41877551,47.41877551
47.719909297,47.931791383,nan
47.931791383,48.240907029,nan
48.240907029,48.426666667,nan
48.426666667,48.589206349,nan
48.589206349,49.188571429,nan
49.188571429,49.554285714,49.554285714
49.554285714,49.792290249,nan
49.792290249,50.091247166,nan
50.091247166,50.364081633,nan
50.364081633,51.051972789,nan
51.281269841,51.552653061,nan
51.552653061,52.249387755,52.249387755
52.481632653,52.760272109,nan
52.760272109,52.899591837,nan
52.899591837,53.138866213,nan
53.138866213,53.23755102,nan
53.23755102,53.340770975,nan
