word_start,word_end,line_end
29.705578231,30.06984127,nan
30.06984127,30.267210884,nan
30.267210884,30.394920635,nan
30.394920635,31.373061224,31.373061224
31.764897959,32.004353741,nan
32.004353741,32.496326531,nan
32.496326531,33.472653061,33.472653061
33.798095238,34.068027211,nan
34.068027211,34.342312925,nan
34.342312925,35.130340136,35.130340136
35.31755102,35.604897959,nan
35.604897959,35.874829932,nan
35.874829932,36.358095238,nan
36.358095238,36.649795918,nan
36.649795918,37.416054422,37.416054422
37.912380952,38.060408163,nan
38.173605442,38.591564626,nan
38.648163265,38.948571429,nan
38.948571429,39.518911565,39.518911565
39.976054422,40.119727891,nan
40.245986395,41.025306122,nan
41.386666667,41.469387755,nan
41.469387755,41.880816327,nan
42.017959184,43.26893424,43.26893424
46.119183673,46.389115646,nan
46.389115646,46.659047619,nan
46.659047619,47.612517007,47.612517007
48.161814059,48.409251701,nan
48.409251701,48.807619048,nan
48.940408163,49.906938776,49.906938776
50.229115646,50.477278912,nan
50.477278912,51.069387755,nan
51.069387755,51.648435374,51.648435374
51.648435374,52.288435374,nan
52.288435374,53.015510204,nan
53.015510204,53.307210884,nan
53.307210884,54.02122449,54.02122449
54.334693878,54.578503401,nan
54.578503401,54.95292517,nan
54.95292517,55.231564626,nan
55.231564626,56.019591837,56.019591837
56.394013605,56.515918367,nan
56.659591837,57.808979592,nan
57.922176871,58.435918367,nan
58.435918367,59.093333333,59.093333333
62.471836735,63.059591837,nan
63.059591837,63.303401361,nan
63.303401361,63.943401361,63.943401361
64.557278912,64.831564626,nan
64.831564626,65.103673469,nan
65.103673469,66.26122449,66.26122449
66.64707483,66.768979592,nan
66.912653061,67.422040816,nan
67.422040816,68.035918367,68.035918367
68.162176871,68.68462585,nan
68.68462585,69.503129252,nan
69.503129252,70.395646259,70.395646259
70.717097506,71.000816327,nan
71.000816327,71.327346939,nan
71.327346939,72.43755102,72.43755102
72.807619048,74.819047619,nan
74.819047619,75.804444444,75.804444444
79.44707483,80.011972789,nan
80.200272109,81.229206349,81.229206349
81.467210884,82.00707483,nan
82.00707483,82.281360544,nan
82.281360544,82.812517007,nan
82.812517007,83.543945578,83.543945578
83.543945578,84.107755102,nan
84.107755102,84.314557823,nan
84.314557823,85.39138322,85.39138322
85.590204082,85.799183673,nan
85.799183673,85.868843537,nan
85.868843537,86.310022676,nan
86.310022676,88.124081633,88.124081633
89.158095238,89.314829932,nan
89.36707483,89.857959184,nan
89.975510204,90.373877551,nan
90.373877551,90.645714286,nan
90.736326531,91.575510204,91.575510204
91.733333333,91.826213152,nan
91.826213152,92.026122449,nan
92.026122449,92.274285714,nan
92.274285714,92.973061224,nan
93.064489796,93.988571429,93.988571429
95.386122449,96.140408163,nan
96.140408163,96.271020408,nan
96.391836735,97.022040816,97.022040816
97.430204082,97.900408163,nan
97.900408163,98.958367347,98.958367347
99.471020408,99.696326531,nan
99.696326531,100.215510204,nan
100.284081633,101.515102041,101.515102041
101.515102041,102.027755102,nan
102.027755102,102.279183673,nan
102.279183673,103.206530612,103.206530612
103.533061224,103.68,nan
103.830204082,104.192653061,nan
104.342857143,104.58122449,nan
104.58122449,105.364897959,105.364897959
105.626122449,105.756734694,nan
105.756734694,106.915918367,nan
107.173877551,107.425306122,nan
107.425306122,107.572244898,nan
107.68,108.582312925,108.582312925
111.755102041,112.192653061,nan
112.192653061,112.274285714,nan
112.274285714,113.562993197,113.562993197
113.821678005,114.073469388,nan
114.073469388,114.360816327,nan
114.360816327,115.348027211,115.348027211
115.892244898,116.334875283,nan
116.408163265,116.656326531,nan
116.656326531,116.904489796,nan
116.904489796,117.518367347,117.518367347
117.518367347,118.445714286,nan
118.445714286,118.703673469,nan
118.703673469,119.653877551,119.653877551
119.970612245,120.215510204,nan
120.215510204,120.433197279,nan
120.502857143,120.84244898,nan
120.84244898,121.782857143,121.782857143
122.042630385,122.682630385,nan
122.827755102,123.053061224,nan
123.053061224,124.68244898,124.68244898
128.203900227,128.53877551,nan
128.53877551,128.620408163,nan
128.620408163,129.70122449,129.70122449
130.207346939,130.293696145,nan
130.293696145,131.017142857,nan
131.017142857,131.176054422,nan
131.176054422,131.784489796,131.784489796
132.284081633,132.793469388,nan
132.793469388,132.922630385,nan
132.922630385,133.828571429,133.828571429
133.828571429,134.093061224,nan
134.093061224,134.233469388,nan
134.351020408,134.955102041,nan
135.08244898,135.751836735,135.751836735
136.114285714,136.36244898,nan
136.36244898,136.626938776,nan
136.626938776,137.168979592,nan
137.168979592,137.391020408,nan
137.391020408,137.900408163,137.900408163
138.177959184,138.429387755,nan
138.429387755,138.586122449,nan
138.67755102,139.631020408,nan
139.631020408,140.385306122,nan
140.470204082,142.364081633,142.364081633
145.067755102,145.763265306,nan
145.763265306,146.784217687,146.784217687
147.124535147,147.58893424,nan
147.58893424,147.893696145,nan
147.893696145,148.466938776,nan
148.466938776,149.219773243,149.219773243
149.219773243,149.78031746,nan
149.78031746,150.000907029,nan
150.000907029,151.010612245,151.010612245
151.248979592,151.529795918,nan
151.529795918,151.669478458,nan
151.669478458,151.948117914,nan
151.948117914,153.854693878,153.854693878
154.773333333,155.00553288,nan
155.00553288,155.490612245,nan
155.601632653,156.075102041,nan
156.075102041,156.284081633,nan
156.408163265,157.146122449,157.146122449
157.31047619,157.403356009,nan
157.403356009,157.798095238,nan
157.798095238,157.952653061,nan
157.952653061,158.752653061,nan
158.752653061,159.552653061,159.552653061
159.748571429,160.035918367,nan
160.035918367,160.767346939,nan
160.767346939,163.342222222,163.342222222
167.678548753,168.35047619,nan
168.35047619,169.478095238,169.478095238
184.015238095,184.772789116,nan
184.772789116,185.858321995,185.858321995
188.107755102,188.847891156,nan
188.847891156,189.74185941,189.74185941
190.11047619,190.746122449,nan
190.746122449,190.98122449,nan
190.98122449,191.500408163,nan
191.500408163,192.290612245,192.290612245
192.290612245,192.876553288,nan
192.876553288,193.080816327,nan
193.080816327,194.011428571,194.011428571
194.321632653,194.556734694,nan
194.556734694,194.752653061,nan
194.752653061,195.034920635,nan
195.034920635,196.881995465,196.881995465
197.874648526,198.095238095,nan
198.095238095,198.542222222,nan
198.641632653,199.137959184,nan
199.137959184,199.451428571,nan
199.451428571,200.23755102,200.23755102
200.499591837,200.635646259,nan
200.635646259,200.907755102,nan
200.907755102,201.01877551,nan
201.01877551,201.779591837,nan
201.779591837,202.980136054,202.980136054
220.956734694,221.675102041,nan
221.675102041,222.754829932,222.754829932
223.04,223.552653061,nan
223.552653061,223.826938776,nan
223.826938776,224.398367347,nan
224.398367347,225.052154195,225.052154195
225.052154195,225.651519274,nan
225.651519274,225.867755102,nan
225.867755102,226.83755102,226.83755102
227.160816327,227.412244898,nan
227.412244898,227.57877551,nan
227.57877551,227.842176871,nan
227.842176871,229.848526077,229.848526077
230.700408163,230.817959184,nan
230.880725624,231.392653061,nan
231.490612245,231.967346939,nan
231.967346939,232.216961451,nan
232.310204082,233.012789116,233.012789116
233.246984127,233.339863946,nan
233.339863946,233.691428571,nan
233.691428571,233.92,nan
233.92,234.592653061,nan
234.592653061,235.289251701,235.289251701
235.612154195,235.872653061,nan
235.872653061,236.649795918,nan
236.649795918,238.780952381,238.780952381
