word_start,word_end,line_end
20.248888889,20.586666667,nan
20.586666667,20.957460317,nan
20.957460317,21.272380952,nan
21.272380952,21.704852608,nan
21.968253968,22.236371882,nan
22.236371882,22.402539683,nan
22.402539683,23.086439909,nan
23.746031746,24.0,nan
24.0,24.477460317,nan
24.477460317,25.08952381,nan
25.08952381,25.541950113,25.541950113
25.638095238,25.907301587,nan
25.907301587,26.222222222,nan
26.222222222,26.651428571,nan
26.651428571,27.496780045,nan
27.496780045,27.713015873,nan
27.713015873,28.457142857,nan
28.457142857,28.962539683,nan
28.962539683,29.262222222,nan
29.262222222,30.98122449,30.98122449
31.779047619,31.875555556,nan
31.875555556,32.258321995,nan
32.327619048,32.575238095,nan
32.657777778,32.937505669,nan
33.005714286,33.709569161,nan
34.430839002,34.988117914,nan
34.988117914,35.213696145,nan
35.288888889,36.048979592,36.048979592
36.231111111,36.482176871,nan
36.482176871,36.930612245,nan
36.930612245,37.202721088,nan
37.202721088,37.960272109,nan
37.960272109,38.478367347,nan
38.478367347,39.067755102,nan
39.264217687,39.656054422,nan
39.656054422,39.899863946,nan
39.899863946,40.319637188,nan
40.319637188,40.550748299,nan
40.550748299,40.884535147,nan
40.983945578,41.455782313,41.455782313
41.613061224,41.987482993,nan
41.987482993,42.314013605,nan
42.314013605,42.568707483,nan
42.653605442,43.189115646,nan
43.308843537,43.602721088,nan
43.602721088,43.818231293,nan
43.818231293,44.576507937,nan
45.109115646,45.298503401,nan
45.298503401,45.631564626,nan
45.631564626,46.419591837,nan
46.419591837,46.907210884,46.907210884
46.907210884,47.594013605,nan
47.594013605,47.821496599,nan
47.821496599,48.265578231,nan
48.265578231,48.940408163,nan
48.940408163,49.129795918,nan
49.129795918,49.451972789,nan
49.451972789,50.246530612,nan
50.246530612,50.56,nan
50.56,51.52,nan
51.52,52.210068027,52.210068027
52.628027211,52.896145125,nan
52.896145125,53.20707483,nan
53.20707483,54.415238095,nan
54.415238095,55.095147392,nan
55.62122449,55.97170068,nan
55.97170068,56.274285714,nan
56.274285714,56.605170068,nan
56.605170068,57.092789116,nan
57.092789116,57.621768707,57.621768707
57.621768707,57.965714286,nan
57.965714286,58.261405896,nan
58.261405896,58.507755102,nan
58.507755102,59.284897959,nan
59.284897959,59.552653061,nan
59.552653061,59.737687075,nan
59.737687075,60.165442177,nan
60.308027211,60.560181406,nan
60.560181406,60.954557823,nan
60.954557823,61.231020408,nan
61.231020408,61.561904762,nan
61.632199546,62.177959184,nan
62.177959184,63.135056689,63.135056689
64.215510204,64.600816327,nan
64.600816327,64.903401361,nan
64.903401361,65.099319728,nan
65.099319728,65.565170068,nan
65.565170068,65.935238095,nan
65.935238095,66.272653061,nan
66.272653061,66.971428571,nan
66.971428571,67.348027211,nan
67.348027211,67.591836735,nan
67.591836735,67.77106576,nan
67.77106576,68.313106576,68.313106576
69.572789116,69.912380952,nan
69.912380952,70.251972789,nan
70.251972789,70.478367347,nan
70.478367347,71.266394558,nan
71.266394558,71.671292517,nan
71.671292517,71.98185941,nan
72.267755102,72.529886621,nan
72.529886621,73.456326531,nan
73.456326531,73.824217687,nan
73.824217687,74.274829932,74.274829932
74.274829932,74.71600907,nan
74.906122449,75.60707483,nan
75.60707483,76.170884354,nan
76.170884354,76.641088435,nan
76.641088435,78.005986395,nan
78.005986395,78.256326531,nan
