word_start,word_end,line_end
3.546122449,3.725714286,nan
3.725714286,3.800816327,nan
3.800816327,4.046077098,nan
4.59755102,4.764081633,nan
4.764081633,5.000997732,nan
5.000997732,5.201632653,nan
5.201632653,5.597460317,nan
5.597460317,5.93015873,nan
5.93015873,6.09015873,nan
6.09015873,6.554920635,nan
6.554920635,7.279455782,7.279455782
9.486802721,9.671111111,nan
9.671111111,10.448979592,nan
10.634739229,11.247165533,nan
11.342947846,12.216598639,nan
12.303673469,13.424036281,13.424036281
13.960997732,14.506666667,nan
14.506666667,14.97106576,nan
14.97106576,15.673469388,nan
15.766349206,16.132063492,nan
16.132063492,17.078276644,17.078276644
17.737142857,17.89968254,nan
17.89968254,18.185941043,nan
18.185941043,18.401814059,nan
18.401814059,18.729795918,nan
18.887981859,19.256235828,nan
19.256235828,20.128798186,nan
20.128798186,21.376145125,21.376145125
21.791927438,22.227301587,nan
22.227301587,22.807800454,nan
22.807800454,25.254058957,25.254058957
26.069478458,26.406893424,nan
26.406893424,26.822675737,nan
26.822675737,27.087528345,nan
27.087528345,27.210884354,nan
27.210884354,27.312471655,nan
27.312471655,27.421315193,nan
27.421315193,27.731519274,nan
27.731519274,28.225306122,28.225306122
33.86122449,34.015056689,nan
34.015056689,34.347755102,nan
34.347755102,35.056326531,nan
35.056326531,35.702857143,nan
35.833469388,37.038730159,nan
37.714285714,37.91600907,nan
37.91600907,38.530612245,nan
38.530612245,38.957278912,nan
38.957278912,39.264217687,nan
39.264217687,40.497777778,40.497777778
41.645714286,41.878639456,nan
41.878639456,42.309659864,nan
42.309659864,42.832108844,nan
42.832108844,43.160816327,nan
43.160816327,43.533061224,nan
43.533061224,44.368253968,nan
45.12,45.766530612,nan
45.766530612,46.066938776,nan
46.066938776,46.676462585,nan
46.676462585,48.858412698,48.858412698
49.58185941,49.697959184,nan
49.697959184,49.906938776,nan
49.906938776,50.146938776,nan
50.146938776,50.301678005,nan
50.301678005,50.483265306,nan
50.483265306,50.775510204,nan
51.276734694,51.457959184,nan
51.457959184,51.644081633,nan
51.644081633,51.789387755,nan
51.789387755,52.019954649,nan
52.019954649,52.16,nan
52.16,52.368979592,nan
52.368979592,52.524081633,nan
52.524081633,52.817959184,nan
52.817959184,53.394285714,53.394285714
56.991020408,57.570612245,nan
57.570612245,58.05569161,nan
58.13877551,59.106394558,59.106394558
60.096326531,60.168707483,nan
60.404897959,60.729795918,nan
60.729795918,60.982131519,nan
60.982131519,61.214331066,nan
61.214331066,61.506938776,nan
61.506938776,62.088163265,nan
62.088163265,62.995736961,62.995736961
64.011609977,64.16399093,nan
64.16399093,64.731428571,nan
64.799637188,65.119637188,nan
65.226303855,65.961360544,nan
65.961360544,67.111473923,67.111473923
67.959365079,69.226666667,nan
69.226666667,69.625396825,nan
69.625396825,69.991111111,nan
69.991111111,70.476190476,nan
70.476190476,72.085714286,72.085714286
72.622222222,72.926984127,nan
72.926984127,73.013333333,nan
73.013333333,73.092063492,nan
73.092063492,73.391746032,nan
73.391746032,73.56952381,nan
73.56952381,73.874285714,nan
74.511746032,74.704761905,nan
74.704761905,75.004444444,nan
75.004444444,75.243174603,nan
75.243174603,75.702857143,75.702857143
80.654512472,80.912834467,nan
80.912834467,81.191473923,nan
81.191473923,81.867755102,nan
81.867755102,82.599183673,nan
82.671746032,83.944489796,nan
84.549659864,84.810884354,nan
84.810884354,85.266575964,nan
85.266575964,85.655510204,nan
85.655510204,85.973333333,nan
86.050249433,87.366530612,87.366530612
88.464399093,88.696598639,nan
88.696598639,89.141405896,nan
89.141405896,89.66675737,nan
89.66675737,89.89170068,nan
90.032471655,90.522993197,nan
90.522993197,91.480816327,nan
91.936507937,92.503945578,nan
92.557641723,92.878367347,nan
92.929160998,93.426938776,nan
93.567709751,95.133605442,95.133605442
95.281632653,95.776507937,nan
95.776507937,96.317823129,nan
96.643532,97.340952381,nan
98.702222222,98.835736961,nan
98.835736961,99.066485261,nan
99.066485261,99.22122449,nan
99.22122449,99.40244898,nan
99.40244898,99.62122449,nan
99.62122449,99.7630839,nan
99.7630839,99.910204082,nan
99.910204082,100.084897959,nan
100.084897959,100.484897959,nan
100.484897959,100.971972789,100.971972789
103.70430839,104.267755102,nan
104.371882086,104.954195011,nan
104.954195011,105.878639456,105.878639456
107.214512472,107.553741497,nan
107.553741497,108.640362812,nan
108.640362812,108.863492063,nan
108.863492063,110.306394558,110.306394558
110.883265306,111.130702948,nan
111.130702948,112.34829932,nan
112.434285714,114.12462585,114.12462585
114.978684807,115.365442177,nan
115.453968254,116.157823129,nan
116.466213152,116.845714286,nan
116.932426304,117.176598639,nan
117.244444444,117.650793651,nan
117.650793651,119.405714286,119.405714286
119.812789116,120.213333333,nan
120.213333333,120.411428571,nan
120.411428571,120.555102041,nan
120.555102041,120.807619048,nan
120.807619048,121.173333333,nan
121.173333333,121.369251701,nan
121.369251701,122.390929705,122.390929705
127.553741497,127.743129252,nan
127.743129252,128.017414966,nan
128.017414966,128.722721088,nan
128.722721088,129.327891156,nan
129.460680272,130.694965986,nan
131.363265306,131.528707483,nan
131.528707483,132.040272109,nan
132.109931973,132.515555556,nan
132.515555556,132.860952381,nan
132.860952381,134.548027211,134.548027211
135.278004535,135.510204082,nan
135.510204082,135.910748299,nan
135.961904762,136.411428571,nan
136.497052154,136.733605442,nan
136.879818594,137.277097506,nan
137.277097506,138.091972789,nan
138.775510204,139.337142857,nan
139.428571429,139.714285714,nan
139.80952381,140.27755102,nan
140.386394558,141.509659864,141.509659864
141.587301587,141.884081633,nan
