word_start,word_end,line_end
60.489795918,60.937142857,nan
60.937142857,61.195102041,nan
61.195102041,61.440362812,nan
61.518367347,62.686621315,62.686621315
63.727165533,64.143673469,nan
64.143673469,64.447346939,nan
64.447346939,64.725623583,nan
64.725623583,65.912018141,65.912018141
67.291428571,67.395918367,nan
67.395918367,67.970612245,nan
67.970612245,68.783310658,nan
68.783310658,69.201269841,nan
69.201269841,70.592290249,70.592290249
73.505306122,73.864489796,nan
73.864489796,74.048435374,nan
74.048435374,74.36553288,nan
74.462040816,75.956462585,75.956462585
76.751020408,77.139591837,nan
77.139591837,77.386303855,nan
77.386303855,77.724081633,nan
77.724081633,79.317913832,79.317913832
80.179591837,80.541315193,nan
80.541315193,80.764081633,nan
80.764081633,81.771972789,nan
81.771972789,82.200816327,nan
82.200816327,84.424489796,84.424489796
86.857142857,87.226122449,nan
87.226122449,87.391201814,nan
87.391201814,88.444081633,nan
88.444081633,88.878367347,nan
88.878367347,89.777777778,89.777777778
89.87755102,90.275918367,nan
90.275918367,90.481632653,nan
90.481632653,91.412244898,nan
91.523265306,91.657142857,nan
91.657142857,92.094693878,nan
92.094693878,92.863673469,92.863673469
93.12,93.511836735,nan
93.511836735,93.743673469,nan
93.743673469,94.504489796,nan
94.504489796,94.955102041,nan
94.955102041,95.337142857,nan
95.337142857,95.559183673,nan
95.559183673,96.248526077,96.248526077
96.36244898,96.75755102,nan
96.75755102,96.986122449,nan
96.986122449,97.812244898,nan
97.812244898,97.97877551,nan
97.97877551,98.204081633,nan
98.204081633,98.548390023,nan
98.548390023,98.780589569,nan
98.780589569,99.357823129,99.357823129
99.619410431,100.035918367,nan
100.035918367,100.385668934,nan
100.385668934,101.257142857,nan
101.257142857,101.443265306,nan
101.443265306,101.844897959,nan
101.844897959,102.024489796,nan
102.024489796,102.701133787,102.701133787
102.87600907,103.062857143,nan
103.062857143,103.262040816,nan
103.262040816,103.444897959,nan
103.444897959,103.660408163,nan
103.660408163,104.470204082,nan
104.470204082,104.69877551,nan
104.69877551,105.058684807,nan
105.058684807,105.83446712,105.83446712
106.093061224,106.263219955,nan
106.263219955,106.680816327,nan
106.680816327,106.866938776,nan
106.866938776,107.491428571,nan
107.699591837,107.934693878,nan
107.934693878,108.2369161,nan
108.2369161,108.469115646,nan
108.469115646,109.128707483,109.128707483
109.348571429,109.534693878,nan
109.534693878,109.939591837,nan
109.939591837,110.128979592,nan
110.128979592,110.827755102,nan
110.827755102,110.971428571,nan
110.971428571,111.147755102,nan
111.147755102,111.572244898,nan
111.572244898,111.851428571,nan
111.944489796,113.079365079,nan
114.073469388,114.844081633,nan
114.844081633,115.043265306,nan
115.043265306,116.471292517,116.471292517
131.857414966,132.052244898,nan
132.052244898,132.212244898,nan
132.212244898,132.461133787,nan
132.461133787,134.111564626,134.111564626
135.000816327,135.288163265,nan
135.288163265,135.689795918,nan
135.689795918,136.10122449,nan
136.10122449,137.467936508,137.467936508
138.612244898,138.92861678,nan
138.92861678,140.136054422,nan
140.136054422,140.545306122,nan
140.545306122,140.871020408,nan
140.979591837,142.118820862,142.118820862
144.626938776,145.171156463,nan
145.171156463,145.426575964,nan
145.426575964,145.730521542,nan
145.831836735,147.312471655,147.312471655
148.094693878,148.457142857,nan
148.457142857,150.737142857,150.737142857
151.497142857,151.934693878,nan
151.934693878,152.313469388,nan
152.313469388,153.136326531,nan
153.136326531,153.530340136,nan
153.530340136,155.533061224,155.533061224
158.19755102,158.625306122,nan
158.625306122,158.82122449,nan
158.82122449,159.776507937,nan
159.776507937,160.217687075,nan
160.217687075,161.183492063,161.183492063
161.319183673,161.597823129,nan
161.597823129,161.806802721,nan
161.806802721,162.737777778,nan
162.805260771,162.942040816,nan
162.942040816,163.432199546,nan
163.432199546,164.19047619,164.19047619
164.507573696,164.891428571,nan
164.891428571,165.065306122,nan
165.123265306,165.737142857,nan
165.737142857,166.295510204,nan
166.295510204,166.713469388,nan
166.713469388,166.928979592,nan
166.928979592,167.677460317,167.677460317
167.758367347,168.060226757,nan
168.060226757,168.215510204,nan
168.215510204,169.102222222,nan
169.244444444,169.410612245,nan
169.410612245,169.539047619,nan
169.639183673,169.917823129,nan
169.917823129,170.150022676,nan
170.150022676,170.52952381,170.52952381
170.994285714,171.438367347,nan
171.438367347,171.686530612,nan
171.686530612,172.630204082,nan
172.630204082,172.826122449,nan
172.826122449,173.174421769,nan
173.174421769,173.413877551,nan
173.413877551,174.072380952,174.072380952
174.230204082,174.426122449,nan
174.426122449,174.60244898,nan
174.60244898,174.766439909,nan
174.766439909,174.998639456,nan
174.998639456,175.764897959,nan
175.764897959,176.019591837,nan
176.019591837,176.438276644,nan
176.438276644,177.216507937,177.216507937
177.475918367,177.671836735,nan
177.671836735,178.063673469,nan
178.063673469,178.262857143,nan
178.262857143,179.014240363,nan
179.014240363,179.24244898,nan
179.24244898,179.676734694,nan
179.676734694,179.88244898,nan
179.88244898,180.589206349,180.589206349
180.757188209,180.91755102,nan
180.91755102,181.309387755,nan
181.309387755,181.384126984,nan
181.384126984,182.196825397,nan
182.196825397,182.360816327,nan
182.360816327,182.545124717,nan
182.545124717,182.93877551,nan
182.93877551,183.340408163,nan
183.340408163,184.264126984,nan
185.417142857,186.109387755,nan
186.109387755,186.409795918,nan
186.409795918,187.547936508,187.547936508
188.186122449,188.623673469,nan
188.623673469,189.01877551,nan
189.01877551,189.204897959,nan
189.204897959,189.525714286,nan
189.632653061,190.618412698,190.618412698
191.847619048,192.617142857,nan
192.617142857,192.852244898,nan
192.852244898,194.107936508,194.107936508
194.680816327,195.09877551,nan
195.09877551,195.490612245,nan
195.490612245,195.673469388,nan
195.673469388,196.004081633,nan
196.114285714,197.12,197.12
198.334693878,199.118367347,nan
199.118367347,199.286712018,nan
199.286712018,200.551111111,200.551111111
201.160272109,201.609795918,nan
201.609795918,201.96244898,nan
201.96244898,202.170340136,nan
202.170340136,202.457687075,nan
202.553469388,204.01015873,204.01015873
204.843537415,205.662040816,nan
205.662040816,205.910204082,nan
205.910204082,207.116190476,207.116190476
207.647346939,208.045714286,nan
208.045714286,208.466938776,nan
208.466938776,208.675918367,nan
208.675918367,208.975238095,nan
209.12,210.671746032,210.671746032
212.932789116,213.740408163,nan
213.740408163,213.931247166,nan
213.931247166,215.32952381,215.32952381
