word_start,word_end,line_end
47.578412698,47.956825397,nan
47.956825397,48.361360544,nan
48.361360544,48.732879819,nan
48.732879819,49.371428571,nan
49.371428571,50.604988662,50.604988662
53.818412698,54.617687075,nan
54.732698413,55.269297052,nan
55.269297052,55.994920635,nan
55.994920635,56.598639456,56.598639456
59.50984127,59.903129252,nan
59.903129252,60.378412698,nan
60.378412698,60.634920635,nan
60.634920635,61.483174603,nan
61.483174603,61.833650794,nan
61.833650794,62.356825397,nan
62.356825397,63.325170068,63.325170068
65.196190476,65.74984127,nan
65.74984127,67.128888889,67.128888889
71.531972789,71.880272109,nan
71.880272109,72.225668934,nan
72.298231293,72.573968254,nan
72.736507937,73.309750567,nan
73.437460317,73.766893424,nan
73.851428571,74.702947846,74.702947846
77.533968254,77.922539683,nan
77.922539683,78.318004535,nan
78.318004535,78.542222222,nan
78.542222222,79.123809524,nan
79.123809524,79.481904762,nan
79.481904762,79.717006803,nan
79.827301587,80.536961451,80.536961451
83.577324263,83.784126984,nan
83.784126984,84.273922902,nan
84.35047619,84.728888889,nan
84.728888889,85.104761905,nan
85.104761905,85.490793651,nan
85.490793651,85.915555556,nan
86.057142857,86.48707483,nan
86.587936508,87.459410431,87.459410431
89.198730159,89.742222222,nan
89.742222222,90.91047619,90.91047619
95.568253968,95.73877551,nan
95.875555556,96.235102041,nan
96.292063492,96.651609977,nan
96.651609977,97.046349206,nan
97.046349206,97.386666667,nan
97.386666667,97.71755102,nan
97.789387755,98.422857143,98.422857143
101.493333333,101.857959184,nan
101.914920635,102.349206349,nan
102.349206349,102.72,nan
102.72,103.066122449,nan
103.066122449,103.275102041,nan
103.410793651,104.256507937,nan
104.538412698,105.201632653,105.201632653
107.53015873,107.837460317,nan
107.837460317,108.273197279,nan
108.273197279,108.657777778,nan
108.657777778,109.113469388,nan
109.213968254,109.592380952,nan
109.592380952,109.871020408,nan
109.925079365,110.628571429,110.628571429
112.995555556,113.196190476,nan
113.196190476,113.73968254,nan
113.73968254,114.895238095,114.895238095
119.508027211,119.817959184,nan
119.921269841,120.213333333,nan
120.342857143,120.614603175,nan
120.744126984,121.29015873,nan
121.29015873,121.879365079,nan
121.879365079,122.586848073,122.586848073
125.44,125.947936508,nan
125.947936508,126.193197279,nan
126.280634921,126.634376417,nan
126.634376417,127.067936508,nan
127.067936508,127.32952381,nan
127.464126984,128.282993197,nan
128.556190476,129.171156463,129.171156463
131.428571429,131.713741497,nan
131.867936508,132.485079365,nan
132.485079365,132.944761905,nan
132.944761905,133.848888889,nan
133.848888889,134.618412698,nan
134.618412698,135.018231293,135.018231293
136.822857143,137.029659864,nan
137.198730159,137.818412698,nan
137.818412698,138.958367347,138.958367347
140.573968254,140.869659864,nan
140.944761905,141.79047619,nan
141.79047619,142.663401361,nan
142.854603175,143.250793651,nan
143.250793651,143.973877551,143.973877551
