word_start,word_end,line_end
3.392290249,3.5138322,nan
3.5138322,3.633560091,nan
3.633560091,3.992743764,3.992743764
15.994557823,16.234013605,nan
16.234013605,16.511564626,nan
16.511564626,16.940408163,nan
17.476643991,18.185578231,18.185578231
20.22675737,22.43047619,22.43047619
23.891882086,26.280634921,26.280634921
27.55047619,27.895873016,nan
28.468027211,28.759365079,28.759365079
29.167346939,29.353469388,nan
29.353469388,29.521632653,nan
29.521632653,29.65877551,nan
29.65877551,29.733877551,nan
29.81877551,29.993469388,nan
29.993469388,30.310204082,nan
30.310204082,30.462040816,nan
30.462040816,30.603900227,nan
30.603900227,30.700408163,nan
30.760816327,31.186938776,31.186938776
31.497142857,31.635918367,nan
31.635918367,31.929795918,nan
31.929795918,32.089795918,nan
32.089795918,32.133877551,nan
32.133877551,32.29877551,nan
32.29877551,32.445714286,nan
32.445714286,32.889795918,nan
32.889795918,33.105306122,nan
33.105306122,33.485714286,33.485714286
33.822040816,33.925079365,nan
33.986938776,34.143673469,nan
34.143673469,34.246530612,nan
34.246530612,34.444081633,nan
34.444081633,34.749387755,nan
34.749387755,34.878367347,nan
34.878367347,35.053061224,nan
35.053061224,35.133061224,nan
35.133061224,35.273650794,nan
35.36,35.560634921,35.560634921
35.648979592,35.766349206,nan
35.825306122,35.955918367,nan
35.955918367,36.093061224,nan
36.093061224,36.28244898,nan
36.28244898,36.507936508,nan
36.574693878,36.739591837,nan
36.739591837,37.056507937,37.056507937
37.358004535,37.515102041,nan
37.515102041,37.617777778,nan
37.673469388,37.830204082,nan
37.830204082,37.993469388,nan
37.993469388,38.452244898,nan
38.452244898,38.544761905,nan
38.605714286,38.692063492,nan
38.751020408,38.912653061,nan
38.912653061,39.379591837,39.379591837
39.379591837,39.453968254,nan
39.533061224,39.844897959,nan
39.844897959,39.991836735,nan
39.991836735,40.275918367,nan
40.275918367,40.514285714,nan
40.514285714,40.695873016,40.695873016
41.196734694,41.348571429,nan
41.348571429,41.493877551,nan
41.493877551,41.617959184,nan
41.617959184,41.830204082,nan
41.830204082,42.076734694,nan
42.076734694,42.269387755,nan
42.269387755,42.361904762,nan
42.444081633,42.542040816,nan
42.542040816,42.646349206,nan
42.752653061,42.953650794,nan
43.2,43.40244898,nan
43.40244898,43.555555556,nan
43.657142857,43.911111111,43.911111111
45.066122449,45.234285714,nan
45.510204082,45.828571429,nan
46.439183673,46.897959184,nan
46.897959184,47.116734694,nan
47.116734694,47.595102041,nan
47.595102041,47.715555556,nan
47.807346939,48.290612245,nan
48.290612245,50.311111111,nan
48.751020408,48.891428571,nan
