word_start,word_end,line_end
0.01015873,0.421587302,nan
0.421587302,0.748843537,nan
0.886349206,1.131972789,nan
1.28,1.54122449,1.54122449
67.415873016,68.205714286,nan
68.916825397,69.139591837,nan
69.358730159,69.556825397,nan
69.556825397,69.792653061,nan
69.986031746,70.62031746,70.62031746
70.831746032,70.942040816,nan
71.065396825,71.283809524,nan
71.283809524,72.241632653,nan
72.342857143,72.761904762,nan
72.761904762,73.887619048,73.887619048
74.262857143,74.496507937,nan
74.496507937,74.758095238,nan
74.758095238,74.958367347,nan
75.154285714,75.766349206,nan
75.766349206,76.195555556,nan
76.195555556,77.466122449,77.466122449
77.706666667,77.90984127,nan
77.90984127,78.138412698,nan
78.138412698,78.334693878,nan
78.542222222,79.045079365,nan
79.212698413,79.64952381,nan
79.64952381,79.857777778,nan
79.857777778,80.69877551,80.69877551
81.132698413,81.368888889,nan
81.368888889,81.582222222,nan
81.582222222,81.795918367,nan
81.996190476,82.623492063,nan
82.623492063,82.964897959,nan
83.067936508,83.493877551,nan
83.695238095,84.434285714,84.434285714
84.553650794,84.751746032,nan
84.751746032,84.972698413,nan
84.972698413,85.191836735,nan
85.404444444,85.707755102,nan
85.846349206,86.093061224,nan
86.280634921,87.340408163,87.340408163
88.022857143,88.243809524,nan
88.243809524,88.471655329,nan
88.471655329,88.685714286,nan
88.914285714,89.768344671,nan
89.768344671,90.180498866,nan
90.180498866,91.105124717,91.105124717
91.413333333,91.880634921,nan
91.880634921,94.041904762,nan
94.041904762,94.582857143,94.582857143
94.89015873,95.301587302,nan
95.301587302,95.510204082,nan
95.738412698,96.134603175,nan
96.134603175,96.573968254,nan
96.573968254,97.018412698,nan
97.018412698,97.893877551,97.893877551
98.311111111,98.52952381,nan
98.52952381,98.768253968,nan
98.768253968,100.884897959,nan
100.995555556,101.511836735,101.511836735
108.556190476,108.995555556,nan
108.995555556,110.06585034,nan
110.06585034,111.740952381,111.740952381
111.982222222,112.081269841,nan
112.208253968,112.429206349,nan
112.429206349,112.838095238,nan
112.838095238,113.366349206,nan
113.485714286,115.2,115.2
115.456507937,115.68,nan
115.68,115.885714286,nan
115.885714286,116.220952381,nan
116.322539683,117.356553288,nan
117.356553288,118.74031746,118.74031746
118.839002268,119.063219955,nan
119.063219955,119.278004535,nan
119.278004535,120.349024943,nan
120.349024943,120.492698413,nan
120.70893424,120.772789116,nan
120.772789116,121.004988662,nan
121.004988662,121.391020408,nan
121.391020408,121.466485261,nan
121.466485261,121.945396825,121.945396825
122.269024943,122.502675737,nan
122.502675737,122.740680272,nan
122.740680272,122.956190476,nan
123.135419501,123.773968254,nan
123.773968254,124.117913832,nan
124.232562358,124.652698413,nan
124.879818594,125.424761905,125.424761905
125.70122449,125.910204082,nan
125.910204082,126.124988662,nan
126.124988662,126.46675737,nan
126.580680272,126.801269841,nan
126.995736961,127.322267574,nan
127.431111111,128.477460317,128.477460317
129.123265306,129.369977324,nan
129.369977324,129.523809524,nan
129.619591837,129.803174603,nan
130.023038549,130.873469388,nan
130.873469388,131.36399093,nan
131.36399093,132.353015873,132.353015873
132.57723356,133.041632653,nan
133.041632653,135.189478458,nan
135.189478458,135.654603175,135.654603175
136.02829932,136.466575964,nan
136.466575964,136.665396825,nan
136.896145125,137.314104308,nan
137.314104308,137.635555556,nan
137.758185941,138.036825397,nan
138.196462585,139.18984127,139.18984127
139.409705215,139.647709751,nan
139.647709751,139.871201814,nan
139.871201814,142.123537415,nan
142.123537415,142.727256236,142.727256236
177.171156463,177.295238095,nan
177.409160998,177.644263039,nan
177.644263039,177.859047619,nan
178.041904762,178.915555556,nan
178.915555556,179.330612245,nan
179.330612245,180.327619048,180.327619048
180.564172336,181.016961451,nan
181.016961451,183.141587302,nan
183.141587302,183.66984127,183.66984127
184.003628118,184.421587302,nan
184.421587302,184.65015873,nan
184.859863946,185.260408163,nan
185.260408163,185.539047619,nan
185.716099773,186.195011338,nan
186.195011338,187.052698413,187.052698413
187.425668934,187.660770975,nan
187.660770975,187.887165533,nan
187.887165533,190.023401361,nan
190.023401361,190.618412698,190.618412698
