word_start,word_end,line_end
0.355555556,0.477460317,nan
0.561269841,0.792380952,nan
0.792380952,0.911020408,nan
1.003174603,1.432380952,nan
1.432380952,1.593469388,nan
1.753106576,2.298412698,nan
2.298412698,2.524444444,nan
2.524444444,2.90829932,nan
2.90829932,3.389387755,3.389387755
3.938684807,4.176326531,nan
4.292063492,4.466938776,nan
4.551111111,5.236099773,5.236099773
8.002539683,8.256507937,nan
8.256507937,8.443174603,nan
8.505396825,9.636281179,9.636281179
12.379138322,12.71292517,nan
12.71292517,12.968344671,nan
12.968344671,13.429115646,nan
13.513650794,13.920362812,13.920362812
16.520997732,16.85478458,nan
16.85478458,17.195102041,nan
17.338412698,17.650068027,nan
17.650068027,17.922539683,nan
17.922539683,18.361179138,18.361179138
21.013333333,21.267301587,nan
21.267301587,21.49877551,nan
21.49877551,21.725170068,nan
21.800634921,22.275918367,22.275918367
25.414603175,25.568072562,nan
25.668571429,25.96861678,nan
25.96861678,26.174693878,nan
26.174693878,26.476190476,nan
26.476190476,26.714557823,nan
26.714557823,27.059954649,nan
27.059954649,27.689795918,27.689795918
29.805714286,30.125714286,nan
30.125714286,30.382222222,nan
30.382222222,30.943492063,nan
30.943492063,31.202539683,nan
31.202539683,31.476825397,nan
31.476825397,32.159637188,32.159637188
34.217142857,34.388752834,nan
34.481632653,34.768253968,nan
34.768253968,35.041814059,nan
35.041814059,35.323356009,nan
35.323356009,36.022857143,36.022857143
38.674285714,38.806349206,nan
38.806349206,38.948571429,nan
38.948571429,39.447800454,nan
39.447800454,39.758367347,nan
39.758367347,39.967346939,nan
40.038095238,40.542040816,40.542040816
45.313015873,45.563356009,nan
45.563356009,45.823492063,nan
45.823492063,46.118095238,nan
46.118095238,46.367346939,nan
46.367346939,46.806349206,46.806349206
46.920634921,47.194920635,nan
47.194920635,47.479365079,nan
47.479365079,47.743492063,nan
47.743492063,48.863492063,48.863492063
48.863492063,49.159546485,nan
49.159546485,49.647165533,nan
49.647165533,49.89968254,nan
49.89968254,50.496507937,50.496507937
50.496507937,50.780952381,nan
50.780952381,51.198095238,nan
51.337142857,51.615056689,nan
51.615056689,52.140408163,nan
52.140408163,52.381315193,nan
52.381315193,53.298503401,53.298503401
53.298503401,53.574240363,nan
53.574240363,53.960997732,nan
54.114104308,54.381133787,nan
54.381133787,54.633650794,nan
54.633650794,54.8861678,nan
54.8861678,55.263492063,55.263492063
55.469569161,55.818594104,nan
55.986213152,56.290975057,nan
56.290975057,56.575419501,nan
56.575419501,57.626122449,57.626122449
57.626122449,57.939591837,nan
57.939591837,58.430113379,nan
58.430113379,58.70585034,nan
58.70585034,59.26893424,59.26893424
59.26893424,59.544671202,nan
59.544671202,59.882086168,nan
60.130975057,60.377687075,nan
60.377687075,60.946575964,nan
60.946575964,61.097505669,nan
61.175873016,61.96244898,61.96244898
65.369977324,65.610884354,nan
65.610884354,65.771972789,nan
65.88952381,66.159455782,nan
66.159455782,66.45260771,nan
66.45260771,66.696417234,nan
66.696417234,67.604897959,67.604897959
69.752743764,69.935600907,nan
69.996553288,70.330340136,nan
70.330340136,70.864399093,nan
70.864399093,71.122721088,nan
71.122721088,71.366530612,nan
71.366530612,71.94122449,71.94122449
74.193560091,74.544761905,nan
74.747936508,75.107845805,nan
75.107845805,75.872653061,75.872653061
78.347029478,78.471836735,nan
78.590839002,78.772244898,nan
78.869478458,79.136507937,nan
79.136507937,80.137142857,80.137142857
83.031655329,83.215238095,nan
83.30739229,84.140408163,nan
84.140408163,84.41324263,nan
84.41324263,85.333333333,85.333333333
87.455056689,87.722086168,nan
87.722086168,88.112471655,nan
88.224217687,88.819229025,nan
88.819229025,89.614512472,89.614512472
91.595464853,91.79138322,nan
91.79138322,92.263038549,nan
92.350113379,92.926984127,nan
92.926984127,93.627210884,93.627210884
96.007256236,96.569614512,nan
96.569614512,96.859863946,nan
96.859863946,97.099319728,nan
97.099319728,97.372879819,nan
97.372879819,98.046258503,98.046258503
102.66122449,102.928253968,nan
102.928253968,103.201088435,nan
103.201088435,103.471020408,nan
103.471020408,103.720634921,nan
103.720634921,104.264852608,104.264852608
104.264852608,104.555102041,nan
104.555102041,104.838095238,nan
104.838095238,105.110929705,nan
105.110929705,106.198639456,106.198639456
106.198639456,106.470748299,nan
106.470748299,106.974331066,nan
106.974331066,107.25877551,nan
107.25877551,107.849433107,107.849433107
107.849433107,108.126621315,nan
108.126621315,108.444444444,nan
108.705668934,108.959637188,nan
108.959637188,109.505306122,nan
109.505306122,109.743310658,nan
109.743310658,110.621315193,110.621315193
110.621315193,110.8861678,nan
110.8861678,111.216326531,nan
111.412244898,111.684353741,nan
111.684353741,111.986938776,nan
111.986938776,112.17414966,nan
112.230748299,112.631292517,112.631292517
112.859863946,113.131972789,nan
113.353287982,113.614512472,nan
113.614512472,113.888072562,nan
113.888072562,115.011337868,115.011337868
115.011337868,115.213786848,nan
115.281269841,115.79138322,nan
115.79138322,116.070748299,nan
116.070748299,116.633106576,116.633106576
116.633106576,116.890702948,nan
116.890702948,117.311564626,nan
117.471201814,117.733877551,nan
117.733877551,118.265759637,nan
118.265759637,118.49723356,nan
118.49723356,119.430385488,119.430385488
122.692063492,123.058503401,nan
123.243537415,123.551927438,nan
123.551927438,123.824036281,nan
123.824036281,124.894331066,124.894331066
126.868027211,127.08861678,nan
127.08861678,127.542857143,nan
127.63138322,128.137868481,nan
128.224943311,128.441179138,nan
128.441179138,129.066666667,129.066666667
131.537414966,131.802267574,nan
131.802267574,131.998185941,nan
132.095419501,132.506122449,nan
132.623673469,133.202721088,133.202721088
135.963718821,136.369160998,nan
136.50430839,136.798185941,nan
136.798185941,137.070294785,nan
137.070294785,137.366349206,nan
137.366349206,137.740770975,137.740770975
160.0,160.272834467,nan
160.272834467,160.560181406,nan
160.560181406,160.830113379,nan
160.830113379,161.06521542,nan
161.06521542,161.621768707,161.621768707
161.621768707,161.90984127,nan
161.90984127,162.19138322,nan
162.19138322,162.455510204,nan
162.455510204,163.53015873,163.53015873
163.53015873,163.802267574,nan
163.802267574,164.222403628,nan
164.36244898,164.562721088,nan
164.629478458,165.202721088,165.202721088
165.202721088,165.453061224,nan
165.453061224,165.888435374,nan
166.033560091,166.305668934,nan
166.305668934,166.846984127,nan
166.846984127,167.122721088,nan
167.122721088,167.934693878,167.934693878
167.934693878,168.171972789,nan
168.235827664,168.663582766,nan
168.8061678,169.061587302,nan
169.061587302,169.290884354,nan
169.290884354,169.826394558,169.826394558
170.150022676,170.405442177,nan
170.724716553,171.004081633,nan
171.004081633,171.26893424,nan
171.26893424,172.335600907,172.335600907
172.335600907,172.608435374,nan
172.608435374,173.122176871,nan
173.122176871,173.397913832,nan
173.397913832,173.990022676,173.990022676
173.990022676,174.265759637,nan
174.265759637,174.563265306,nan
174.809977324,175.084263039,nan
175.084263039,175.635736961,nan
175.635736961,175.867936508,nan
175.867936508,176.867936508,176.867936508
