word_start,word_end,line_end
36.203174603,36.342857143,nan
36.342857143,36.52244898,nan
36.52244898,36.693333333,nan
36.83845805,37.258594104,37.258594104
37.398639456,37.549206349,nan
37.549206349,37.690702948,nan
37.690702948,37.955918367,nan
38.078911565,38.391836735,38.391836735
38.496145125,38.632199546,nan
38.632199546,38.788208617,nan
38.788208617,39.167346939,nan
39.167346939,39.427755102,39.427755102
39.514557823,39.665487528,nan
39.665487528,39.984761905,nan
39.984761905,40.30984127,nan
40.373696145,40.684263039,40.684263039
40.756462585,41.041269841,nan
41.09569161,41.912018141,41.912018141
42.004897959,42.26031746,nan
42.26031746,43.07845805,43.07845805
43.07845805,43.221768707,nan
43.221768707,43.366893424,nan
43.366893424,43.740589569,nan
43.82185941,43.993106576,43.993106576
44.520634921,44.665759637,nan
44.665759637,44.798185941,nan
44.798185941,44.948027211,nan
44.948027211,45.200544218,45.200544218
45.367800454,45.679818594,nan
45.679818594,46.109024943,nan
46.109024943,46.525170068,46.525170068
46.525170068,46.634376417,nan
46.686621315,46.826303855,nan
46.826303855,47.092970522,nan
47.092970522,47.566077098,47.566077098
47.664399093,47.818594104,nan
47.818594104,47.974603175,nan
47.974603175,48.278004535,nan
48.379138322,48.809070295,48.809070295
48.809070295,48.965079365,nan
48.965079365,49.1138322,nan
49.1138322,49.46430839,nan
49.46430839,49.879365079,49.879365079
49.970068027,50.127891156,nan
50.127891156,50.269387755,nan
50.269387755,51.057777778,51.057777778
51.115827664,51.397369615,nan
51.397369615,51.815328798,nan
51.815328798,52.125895692,52.125895692
52.20861678,52.420861678,nan
52.420861678,52.802176871,nan
52.802176871,53.260770975,53.260770975
53.369614512,53.532879819,nan
53.532879819,53.591655329,nan
53.670022676,53.855782313,nan
53.855782313,54.100680272,nan
54.100680272,54.459501134,54.459501134
54.800907029,55.697052154,nan
55.697052154,55.945578231,nan
55.945578231,56.441904762,56.441904762
56.798911565,57.001088435,nan
57.068480726,57.355102041,nan
57.355102041,57.578231293,nan
57.578231293,57.910204082,57.910204082
57.910204082,58.084353741,nan
58.084353741,58.26031746,nan
58.26031746,58.537868481,nan
58.537868481,59.158639456,59.158639456
59.158639456,59.306666667,nan
59.419863946,59.652063492,nan
59.652063492,59.820408163,nan
59.918367347,60.134693878,60.134693878
60.206802721,60.380952381,nan
60.380952381,60.536961451,nan
60.536961451,60.871655329,nan
60.983219955,61.201995465,61.201995465
61.375056689,61.529251701,nan
61.529251701,61.683446712,nan
61.683446712,61.944671202,nan
61.944671202,62.476190476,62.476190476
62.55600907,62.820861678,nan
62.820861678,62.989931973,nan
62.989931973,63.172789116,nan
63.233741497,63.587845805,63.587845805
63.660770975,63.883900227,nan
63.941950113,64.255419501,nan
64.255419501,64.310566893,nan
64.403446712,64.684988662,64.684988662
64.684988662,64.801814059,nan
64.801814059,65.088435374,nan
65.088435374,65.529251701,nan
65.529251701,65.767619048,65.767619048
65.922902494,65.960997732,nan
65.960997732,66.078911565,nan
66.078911565,66.22585034,nan
66.22585034,66.663038549,nan
66.663038549,67.094058957,67.094058957
67.265306122,67.741315193,nan
67.796462585,68.228571429,68.228571429
68.228571429,68.359183673,nan
68.359183673,68.789115646,nan
68.789115646,69.378684807,69.378684807
69.378684807,69.516553288,nan
69.516553288,69.584399093,nan
69.638095238,70.013968254,nan
70.075283447,70.327437642,70.327437642
70.516099773,70.623492063,nan
70.699319728,71.014693878,nan
71.119818594,71.285260771,nan
71.285260771,71.570430839,71.570430839
71.665487528,71.813514739,nan
71.938321995,72.602993197,nan
73.061587302,73.662403628,73.662403628
75.409705215,77.365986395,nan
77.365986395,79.678911565,nan
79.678911565,81.661678005,81.661678005
81.786848073,81.928344671,nan
81.928344671,82.089795918,nan
82.089795918,82.480181406,nan
82.480181406,82.941133787,82.941133787
83.09478458,83.274376417,nan
83.274376417,83.342222222,nan
83.342222222,83.493151927,nan
83.493151927,83.671655329,nan
83.671655329,83.951746032,nan
83.951746032,84.3261678,84.3261678
84.511927438,86.500136054,nan
86.500136054,88.843537415,nan
88.843537415,90.90031746,90.90031746
90.961269841,91.083900227,nan
91.083900227,91.239909297,nan
91.239909297,91.53015873,nan
91.646258503,92.10122449,92.10122449
92.252879819,92.52861678,nan
92.52861678,92.689342404,nan
92.689342404,92.827573696,nan
92.827573696,93.097505669,nan
93.097505669,93.526349206,93.526349206
111.658956916,111.831292517,nan
111.831292517,111.969160998,nan
111.969160998,112.384580499,nan
112.384580499,112.780045351,112.780045351
112.780045351,112.946938776,nan
112.946938776,113.072108844,nan
113.072108844,113.475918367,nan
113.475918367,114.013605442,114.013605442
114.013605442,114.213151927,nan
114.213151927,114.509206349,nan
114.509206349,114.660136054,nan
114.660136054,114.895238095,114.895238095
114.973605442,115.319727891,nan
115.319727891,115.646984127,nan
115.646984127,115.954285714,115.954285714
116.239092971,116.370068027,nan
116.370068027,116.482539683,nan
116.482539683,116.785487528,nan
116.785487528,116.954195011,nan
116.954195011,117.26984127,117.26984127
117.375056689,117.520181406,nan
117.520181406,117.656235828,nan
117.656235828,118.031020408,nan
118.096689342,118.479818594,118.479818594
118.479818594,118.628571429,nan
118.628571429,118.723265306,nan
118.786394558,119.04399093,nan
119.04399093,119.222857143,nan
119.310657596,119.658231293,119.658231293
119.658231293,119.88462585,nan
119.978231293,120.273922902,nan
120.273922902,120.375510204,nan
120.375510204,120.770975057,120.770975057
120.770975057,120.954195011,nan
120.954195011,121.1138322,nan
121.1138322,121.671655329,121.671655329
121.857596372,121.995464853,nan
121.995464853,122.126077098,nan
122.126077098,122.24399093,nan
122.24399093,122.488163265,nan
122.543310658,122.884353741,122.884353741
123.096598639,123.229024943,nan
123.229024943,123.359637188,nan
123.359637188,123.686893424,nan
123.686893424,123.814603175,nan
123.814603175,124.234013605,124.234013605
124.234013605,124.54893424,nan
124.54893424,124.963265306,nan
124.963265306,125.384126984,125.384126984
125.384126984,125.676190476,nan
125.676190476,126.097052154,nan
126.097052154,126.467482993,126.467482993
126.531337868,126.668480726,nan
126.668480726,126.808163265,nan
126.808163265,127.26276644,nan
127.26276644,127.55446712,127.55446712
127.65170068,127.811337868,nan
127.811337868,127.918367347,nan
127.980045351,128.185034014,nan
128.185034014,128.440816327,nan
128.440816327,128.838095238,128.838095238
128.838095238,128.966893424,nan
128.966893424,129.137414966,nan
129.137414966,129.619591837,129.619591837
130.229115646,131.430748299,131.430748299
134.513197279,134.646712018,nan
134.646712018,134.829931973,nan
134.829931973,135.076281179,nan
135.076281179,135.256235828,nan
135.256235828,135.650975057,135.650975057
135.650975057,135.802267574,nan
135.802267574,135.967346939,nan
135.967346939,136.13968254,nan
136.13968254,136.313469388,nan
136.395464853,136.69877551,136.69877551
136.763718821,136.941496599,nan
136.941496599,137.106575964,nan
137.106575964,137.433469388,nan
137.537596372,137.816235828,137.816235828
137.909115646,138.098866213,nan
138.098866213,138.280272109,nan
138.280272109,138.557006803,nan
138.649251701,138.88,138.88
138.942403628,139.083900227,nan
139.083900227,139.232653061,nan
139.232653061,139.389387755,nan
139.389387755,140.203174603,140.203174603
140.203174603,140.368253968,nan
140.368253968,140.517006803,nan
140.517006803,140.662131519,nan
140.662131519,140.817414966,nan
140.817414966,141.289795918,141.289795918
141.3569161,141.612698413,nan
141.612698413,142.091609977,nan
142.091609977,142.525170068,142.525170068
142.525170068,142.586122449,nan
142.802721088,142.912653061,nan
142.976870748,143.13106576,nan
143.13106576,143.647346939,143.647346939
143.647346939,143.784126984,nan
143.784126984,144.146575964,nan
144.146575964,144.770612245,144.770612245
144.851882086,145.002811791,nan
145.002811791,145.153741497,nan
145.153741497,145.570975057,nan
145.570975057,145.863219955,145.863219955
145.960634921,146.128979592,nan
146.128979592,146.267573696,nan
146.267573696,146.608979592,nan
146.668843537,147.087528345,147.087528345
147.087528345,147.256235828,nan
147.256235828,147.412244898,nan
147.412244898,148.071836735,148.071836735
148.552562358,150.494331066,nan
150.494331066,152.798911565,nan
152.798911565,154.883265306,154.883265306
154.953287982,155.091156463,nan
155.091156463,155.247165533,nan
155.247165533,155.538321995,nan
155.63537415,156.072108844,156.072108844
156.217687075,156.357369615,nan
156.357369615,156.491609977,nan
156.491609977,156.604081633,nan
156.604081633,156.76553288,nan
156.76553288,157.057596372,nan
157.057596372,157.456326531,157.456326531
157.672562358,159.663310658,nan
159.663310658,161.941768707,nan
161.941768707,164.006530612,164.006530612
164.097959184,164.248526077,nan
164.248526077,164.391836735,nan
164.391836735,164.684353741,nan
164.78185941,165.220498866,165.220498866
165.366712018,165.68707483,nan
165.68707483,165.830385488,nan
165.830385488,165.980952381,nan
165.980952381,166.240362812,nan
166.240362812,166.562539683,166.562539683
203.102040816,203.250068027,nan
203.250068027,203.403900227,nan
203.403900227,203.877006803,nan
203.877006803,204.2369161,204.2369161
204.2369161,204.556190476,nan
204.556190476,204.843537415,nan
204.977052154,205.37324263,205.37324263
205.37324263,205.78829932,nan
205.897505669,206.098866213,nan
206.098866213,206.512471655,206.512471655
206.512471655,206.624217687,nan
206.820136054,207.087165533,nan
