word_start,word_end,line_end
20.427755102,20.669387755,nan
20.669387755,21.051428571,nan
21.051428571,21.39755102,nan
21.463945578,23.216326531,23.216326531
23.268571429,23.661133787,nan
23.661133787,23.89877551,nan
23.89877551,24.267755102,nan
24.32,24.512653061,nan
24.633469388,25.547755102,nan
25.547755102,26.4,26.4
26.925714286,27.206530612,nan
27.206530612,27.552653061,nan
27.552653061,27.902040816,nan
27.964081633,29.396462585,29.396462585
29.396462585,29.606530612,nan
29.606530612,29.795918367,nan
29.795918367,30.812879819,nan
30.812879819,31.004081633,nan
31.004081633,31.207619048,nan
31.207619048,32.017414966,nan
32.017414966,32.626938776,32.626938776
33.413877551,33.648979592,nan
33.648979592,34.44244898,nan
34.44244898,35.294693878,nan
35.294693878,35.857959184,35.857959184
36.045714286,36.267755102,nan
36.267755102,36.894693878,nan
36.894693878,39.503673469,39.503673469
39.918367347,40.127346939,nan
40.127346939,40.940408163,nan
40.940408163,41.767619048,nan
41.767619048,42.150748299,nan
42.150748299,42.58829932,42.58829932
42.58829932,43.43292517,nan
43.43292517,44.088163265,nan
44.234013605,46.127891156,46.127891156
66.372789116,66.956190476,nan
66.956190476,67.369795918,nan
67.369795918,68.578684807,68.578684807
68.777142857,69.064852608,nan
69.15047619,70.18122449,nan
70.18122449,70.589387755,nan
70.589387755,71.720634921,71.720634921
72.357006803,73.007891156,nan
73.007891156,73.273469388,nan
73.399727891,74.993197279,74.993197279
75.265306122,75.464852608,nan
75.464852608,75.895510204,nan
75.895510204,77.49877551,nan
77.49877551,78.679365079,78.679365079
79.15755102,79.353469388,nan
79.353469388,79.76707483,nan
79.76707483,81.364172336,81.364172336
81.56952381,81.752380952,nan
81.752380952,82.367346939,nan
82.367346939,82.989569161,nan
83.080272109,84.702040816,84.702040816
85.407346939,85.629387755,nan
85.629387755,87.89478458,87.89478458
88.252517007,88.64,nan
88.64,89.549206349,nan
89.662040816,90.281632653,nan
90.488163265,91.385034014,91.385034014
91.896598639,92.096870748,nan
92.096870748,92.266666667,nan
92.266666667,92.497414966,nan
92.497414966,92.702040816,nan
92.702040816,92.889251701,nan
92.889251701,94.241088435,nan
93.705578231,93.879727891,nan
93.879727891,94.13877551,nan
94.13877551,94.34122449,nan
94.34122449,94.526258503,nan
94.526258503,95.647346939,95.647346939
95.337142857,95.536326531,nan
95.536326531,95.749659864,nan
95.749659864,95.954285714,nan
95.954285714,96.156734694,nan
96.156734694,96.584489796,nan
96.584489796,96.966530612,nan
96.966530612,97.168979592,nan
97.168979592,97.374693878,nan
97.374693878,97.580408163,nan
97.580408163,97.769795918,nan
97.769795918,98.194285714,nan
98.194285714,98.591927438,98.591927438
98.591927438,98.801632653,nan
98.801632653,99.006258503,nan
99.006258503,99.219591837,nan
99.219591837,100.393650794,nan
100.257959184,100.447346939,nan
100.447346939,100.646530612,nan
100.646530612,100.855510204,nan
100.855510204,101.73968254,101.73968254
101.842721088,102.031020408,nan
102.031020408,102.220045351,nan
102.220045351,102.432653061,nan
102.432653061,103.751111111,nan
103.266394558,103.462312925,nan
103.462312925,103.660408163,nan
103.660408163,103.865034014,nan
103.865034014,104.069659864,nan
104.069659864,105.389206349,105.389206349
105.038367347,105.219047619,nan
105.219047619,105.48462585,nan
105.48462585,105.910204082,nan
105.910204082,107.296507937,nan
106.671020408,106.871292517,nan
106.871292517,107.118367347,nan
107.118367347,107.514195011,nan
107.514195011,108.642539683,108.642539683
108.340680272,108.523537415,nan
108.523537415,108.739047619,nan
108.739047619,108.9538322,nan
108.9538322,109.176598639,nan
109.176598639,110.290793651,nan
109.971156463,110.174693878,nan
110.174693878,110.364081633,nan
110.364081633,110.573061224,nan
110.573061224,110.789659864,nan
110.789659864,111.652063492,111.652063492
111.525442177,111.806258503,nan
111.806258503,112.111020408,nan
112.111020408,112.40707483,nan
112.40707483,112.629115646,nan
112.629115646,114.133333333,nan
113.179863946,113.473741497,nan
113.473741497,113.714285714,nan
113.714285714,113.945396825,nan
114.011428571,114.217142857,nan
114.217142857,115.248253968,115.248253968
114.825578231,115.02585034,nan
115.02585034,115.444897959,nan
115.444897959,116.062040816,nan
116.062040816,116.48,nan
116.48,117.414603175,117.414603175
144.041360544,144.222040816,nan
144.222040816,145.234285714,nan
145.234285714,145.643537415,nan
145.643537415,145.831836735,nan
145.831836735,148.347936508,148.347936508
147.324081633,147.517823129,nan
147.517823129,148.523537415,nan
148.523537415,148.943673469,nan
148.943673469,149.147573696,nan
149.147573696,151.65968254,151.65968254
150.539319728,150.74829932,nan
150.74829932,151.758367347,nan
151.758367347,152.182857143,nan
152.182857143,152.367891156,nan
152.367891156,154.686984127,154.686984127
153.758911565,153.975510204,nan
153.975510204,154.987755102,nan
154.987755102,155.391564626,nan
155.391564626,155.626666667,nan
155.626666667,160.223492063,160.223492063
