word_start,word_end,line_end
11.209433107,11.795736961,nan
11.795736961,11.935056689,nan
11.935056689,12.294965986,nan
12.294965986,13.15047619,nan
13.273106576,13.754195011,nan
13.914557823,14.213514739,nan
14.213514739,15.880634921,15.880634921
16.61968254,16.863492063,nan
16.863492063,17.014421769,nan
17.014421769,17.769070295,nan
17.769070295,18.491428571,nan
18.593378685,18.892335601,nan
18.892335601,19.794285714,nan
19.899501134,20.26521542,nan
20.26521542,21.048888889,21.048888889
21.908027211,22.444988662,nan
22.444988662,23.01968254,nan
23.01968254,23.263492063,nan
23.263492063,23.928163265,nan
23.928163265,24.25324263,nan
24.25324263,24.531882086,nan
24.531882086,25.074648526,nan
25.074648526,26.567619048,26.567619048
27.382131519,27.862857143,nan
27.968435374,28.203174603,nan
28.316734694,28.477460317,nan
28.589569161,29.135238095,nan
29.135238095,29.291972789,nan
29.291972789,30.307845805,nan
30.307845805,31.273650794,31.273650794
32.699501134,33.572063492,nan
33.634104308,33.782857143,nan
33.90984127,34.632562358,nan
34.632562358,34.831746032,nan
34.989569161,35.959002268,nan
35.959002268,36.17015873,nan
36.292789116,37.234285714,37.234285714
38.022675737,38.46893424,nan
38.617687075,38.945668934,nan
38.945668934,40.039909297,nan
40.039909297,40.248888889,nan
40.248888889,41.163174603,nan
41.270566893,41.644988662,nan
41.644988662,41.970068027,nan
41.970068027,42.422857143,42.422857143
43.226848073,43.555555556,nan
43.615782313,44.573968254,nan
44.675192744,45.216507937,nan
45.351473923,45.572063492,nan
45.572063492,45.754920635,nan
45.754920635,46.38185941,nan
46.38185941,47.857777778,47.857777778
48.66031746,49.224126984,nan
49.31047619,49.554285714,nan
49.664580499,49.820952381,nan
49.995464853,50.503401361,nan
50.503401361,50.634013605,nan
50.634013605,51.372698413,nan
51.716643991,52.891428571,52.891428571
53.69324263,53.93015873,nan
54.024126984,55.69015873,nan
55.69015873,55.899138322,nan
55.899138322,56.703129252,nan
56.703129252,57.068843537,nan
57.068843537,57.393922902,nan
57.393922902,58.148571429,nan
58.148571429,59.051247166,nan
59.051247166,60.739047619,60.739047619
61.651882086,61.762176871,nan
61.762176871,61.851428571,nan
62.023401361,62.455873016,nan
62.531337868,62.868027211,nan
62.868027211,63.715555556,63.715555556
64.275736961,64.595011338,nan
64.595011338,66.052063492,nan
66.287165533,66.879274376,nan
66.879274376,67.492063492,nan
67.604897959,67.866122449,nan
67.866122449,68.619319728,nan
68.870385488,69.432018141,nan
69.619229025,71.662585034,71.662585034
75.363265306,75.82185941,nan
75.82185941,76.027936508,nan
76.027936508,76.390748299,nan
76.390748299,77.222312925,nan
77.354376417,78.021950113,nan
78.021950113,78.373151927,nan
78.373151927,79.908571429,79.908571429
80.703854875,81.359818594,nan
81.359818594,81.95047619,nan
82.00707483,82.642721088,nan
82.642721088,82.842993197,nan
82.973605442,83.336417234,nan
83.336417234,85.111292517,85.111292517
86.027029478,86.67138322,nan
86.67138322,86.833922902,nan
86.833922902,87.280907029,nan
87.280907029,87.867210884,nan
88.029750567,88.305487528,nan
88.305487528,88.523174603,nan
88.523174603,88.973061224,nan
88.973061224,90.196462585,90.196462585
91.364716553,91.806621315,nan
91.953922902,92.219501134,nan
92.308027211,92.50829932,nan
92.667936508,93.187482993,nan
93.187482993,93.338412698,nan
93.338412698,94.027755102,nan
94.345578231,95.299047619,95.299047619
96.693696145,97.050702948,nan
97.050702948,98.513560091,nan
98.513560091,98.632562358,nan
98.632562358,99.355283447,nan
99.355283447,99.607800454,nan
99.607800454,99.999637188,nan
99.999637188,100.330521542,nan
100.330521542,101.355102041,101.355102041
102.03138322,102.426122449,nan
102.426122449,102.611882086,nan
102.611882086,103.032743764,nan
103.032743764,103.88462585,nan
104.025396825,104.341768707,nan
104.341768707,105.110929705,nan
105.110929705,106.575238095,106.575238095
107.32553288,107.816054422,nan
107.935056689,108.2369161,nan
108.2369161,109.222312925,nan
109.328253968,109.679455782,nan
109.679455782,109.840544218,nan
110.007437642,110.672108844,nan
110.672108844,110.81723356,nan
110.81723356,111.379591837,111.379591837
112.695147392,113.159183673,nan
113.281451247,113.48244898,nan
113.667482993,113.789387755,nan
113.989659864,114.46276644,nan
114.46276644,114.654331066,nan
114.654331066,115.398820862,nan
115.646984127,116.692244898,116.692244898
117.611972789,117.880816327,nan
117.998004535,119.40244898,nan
119.672743764,120.047165533,nan
120.047165533,120.630204082,nan
120.691519274,121.019501134,nan
121.019501134,121.582585034,nan
121.582585034,121.933786848,nan
121.933786848,123.030929705,nan
123.030929705,124.839909297,124.839909297
125.637369615,125.733151927,nan
125.799909297,125.901496599,nan
126.020498866,126.444263039,nan
126.52553288,126.862222222,nan
126.862222222,127.660408163,127.660408163
128.275736961,128.541315193,nan
128.62984127,130.153650794,nan
130.333605442,130.943129252,nan
131.01569161,131.532335601,nan
131.642630385,131.996734694,nan
131.996734694,132.783310658,nan
132.896507937,133.645351474,nan
133.645351474,135.984761905,135.984761905
138.954013605,141.244081633,nan
141.659138322,144.013061224,nan
144.370068027,146.337959184,nan
146.993922902,149.281088435,149.281088435
149.704852608,151.685804989,nan
152.346122449,154.073106576,nan
154.073106576,155.013514739,nan
155.013514739,156.891428571,156.891428571
160.040634921,160.673378685,nan
160.673378685,162.246530612,nan
162.36553288,162.699319728,nan
162.699319728,163.340770975,nan
163.340770975,163.738412698,nan
163.738412698,164.156371882,nan
164.156371882,164.574331066,nan
164.574331066,165.680181406,nan
165.680181406,167.678548753,167.678548753
168.344671202,168.475283447,nan
168.475283447,168.681360544,nan
168.681360544,169.163174603,nan
169.163174603,169.546303855,nan
169.546303855,170.475102041,170.475102041
170.971428571,171.293605442,nan
171.293605442,172.831927438,nan
173.023492063,173.699773243,nan
173.699773243,174.259954649,nan
174.259954649,174.434104308,nan
174.434104308,175.409342404,nan
175.571882086,176.150929705,nan
176.343945578,178.036099773,nan
178.036099773,178.750113379,nan
178.988117914,180.93569161,180.93569161
181.73968254,183.63138322,nan
184.261950113,186.641995465,nan
186.972879819,188.853696145,nan
189.631564626,191.889705215,191.889705215
192.354104308,194.159455782,nan
195.038911565,197.717913832,nan
197.717913832,200.295328798,nan
200.446258503,202.193560091,202.193560091
