word_start,word_end,line_end
14.882539683,15.293968254,nan
15.293968254,15.720634921,nan
15.720634921,18.245804989,nan
18.245804989,18.383673469,nan
18.383673469,19.2,19.2
19.446712018,19.705034014,nan
19.874829932,21.894965986,nan
22.864399093,22.961632653,nan
23.053061224,23.303401361,nan
23.303401361,23.58276644,nan
23.58276644,23.854875283,nan
23.854875283,25.530340136,25.530340136
26.325623583,26.583945578,nan
26.746485261,27.006258503,nan
27.156462585,29.594557823,nan
29.594557823,29.750566893,nan
29.750566893,30.554557823,30.554557823
30.871655329,31.198911565,nan
31.325170068,33.474829932,nan
34.19138322,34.311111111,nan
34.311111111,34.448979592,nan
34.448979592,35.308843537,nan
35.308843537,35.439455782,nan
35.439455782,37.124353741,37.124353741
38.900680272,39.310657596,nan
39.310657596,41.874285714,nan
42.161632653,42.311111111,nan
42.311111111,42.474376417,nan
42.474376417,42.717460317,nan
42.717460317,43.141950113,nan
43.141950113,43.316099773,nan
43.316099773,43.453968254,nan
43.453968254,45.157006803,45.157006803
45.587301587,45.743310658,nan
45.743310658,46.759183673,nan
46.878911565,47.154648526,nan
47.154648526,47.53414966,nan
47.749659864,49.719727891,49.719727891
50.144217687,50.296598639,nan
50.296598639,51.149206349,nan
51.149206349,51.424943311,nan
51.424943311,51.726077098,nan
51.726077098,51.896598639,nan
52.012698413,53.999455782,53.999455782
54.882539683,55.192743764,nan
55.296145125,57.826394558,nan
58.19755102,58.302040816,nan
58.302040816,59.18185941,nan
59.18185941,59.316099773,nan
59.316099773,59.464852608,nan
59.464852608,61.157006803,61.157006803
61.583673469,61.696145125,nan
61.696145125,62.1569161,nan
62.1569161,62.581405896,nan
62.581405896,63.187301587,nan
63.187301587,63.346938776,nan
63.346938776,63.669115646,nan
63.742403628,66.155102041,66.155102041
66.307482993,66.448979592,nan
66.448979592,66.735600907,nan
66.735600907,66.880725624,nan
66.880725624,67.160090703,nan
67.160090703,67.432199546,nan
67.432199546,67.697052154,nan
67.697052154,67.954648526,nan
67.954648526,70.286802721,70.286802721
70.878911565,71.325170068,nan
71.325170068,71.632108844,nan
71.73877551,72.580498866,nan
72.580498866,73.987482993,nan
74.158730159,74.296598639,nan
74.296598639,74.441723356,nan
74.441723356,74.875646259,74.875646259
75.446712018,75.889342404,nan
75.889342404,76.177414966,nan
76.3138322,78.280272109,nan
78.737414966,78.864399093,nan
78.864399093,79.310657596,nan
79.310657596,79.854875283,nan
79.854875283,81.319183673,81.319183673
82.314739229,82.568707483,nan
82.7138322,83.174603175,nan
83.174603175,83.602721088,nan
83.602721088,85.263673469,nan
85.583673469,85.717913832,nan
85.717913832,86.308571429,86.308571429
86.831746032,87.140136054,nan
87.267120181,87.684353741,nan
87.684353741,89.33877551,nan
90.296598639,90.445351474,nan
90.445351474,91.029478458,nan
91.029478458,91.450340136,nan
91.450340136,91.573696145,nan
91.573696145,93.048163265,93.048163265
93.750566893,95.974603175,nan
95.974603175,96.442630385,nan
96.442630385,96.569614512,nan
96.569614512,96.99138322,nan
97.131972789,97.458503401,nan
97.458503401,100.118639456,100.118639456
100.560544218,100.716553288,nan
100.716553288,102.044444444,nan
102.044444444,102.177959184,nan
102.320181406,104.655238095,104.655238095
108.29569161,108.611337868,nan
108.611337868,110.871655329,nan
110.871655329,111.299773243,nan
111.299773243,111.448526077,nan
111.448526077,112.293877551,nan
112.293877551,112.448435374,nan
112.587755102,112.756099773,nan
112.878004535,114.793650794,114.793650794
115.301587302,115.435827664,nan
115.435827664,115.767800454,nan
115.87845805,116.016326531,nan
116.016326531,116.239092971,nan
116.3138322,116.784761905,nan
116.876190476,117.180952381,nan
117.180952381,117.442176871,nan
117.442176871,119.40861678,119.40861678
119.847619048,120.007256236,nan
120.007256236,120.464399093,nan
120.464399093,121.00861678,nan
121.00861678,121.086258503,nan
121.153741497,121.298866213,nan
121.298866213,122.819047619,122.819047619
132.604081633,133.028571429,nan
133.028571429,133.315192744,nan
133.315192744,133.888435374,nan
133.888435374,134.450793651,nan
134.450793651,134.73015873,nan
134.73015873,135.00952381,135.00952381
135.00952381,135.288888889,nan
135.288888889,136.130612245,nan
136.130612245,136.420861678,nan
136.420861678,136.700226757,nan
136.700226757,137.346031746,137.346031746
