word_start,word_end,line_end
19.467755102,19.555555556,nan
19.663673469,20.052244898,nan
20.052244898,20.30585034,nan
20.30585034,21.549206349,nan
21.897142857,22.12244898,nan
22.12244898,22.278095238,nan
22.416326531,22.790385488,nan
22.790385488,22.870204082,nan
22.870204082,23.935510204,23.935510204
24.290612245,24.380952381,nan
24.506122449,24.922267574,nan
24.922267574,25.108027211,nan
25.108027211,26.323809524,nan
26.684081633,26.915918367,nan
26.915918367,27.085714286,nan
27.222857143,27.592562358,nan
27.592562358,27.686530612,nan
27.686530612,28.715102041,28.715102041
29.057959184,29.293061224,nan
29.293061224,30.004897959,nan
30.004897959,30.28244898,nan
30.28244898,30.413061224,nan
30.413061224,31.354920635,nan
31.493877551,31.873469388,nan
32.0,32.124444444,nan
32.27755102,32.600816327,nan
32.600816327,32.708571429,nan
32.708571429,33.427301587,33.427301587
33.880816327,34.096326531,nan
34.096326531,34.808163265,nan
34.808163265,35.062857143,nan
35.062857143,35.265306122,nan
35.265306122,35.890793651,nan
36.287346939,36.622222222,nan
36.770612245,36.911746032,nan
37.067755102,37.369614512,nan
37.369614512,37.511836735,nan
37.511836735,38.298412698,38.298412698
38.703673469,39.484444444,nan
39.598367347,39.712653061,nan
39.712653061,40.728979592,nan
41.067755102,41.178412698,nan
41.257142857,42.119183673,nan
42.119183673,42.246530612,nan
42.246530612,43.212698413,43.212698413
43.503673469,44.274285714,nan
44.414693878,44.512653061,nan
44.512653061,45.506031746,nan
45.867755102,46.070204082,nan
46.070204082,46.945306122,nan
46.945306122,47.043265306,nan
47.043265306,48.02031746,48.02031746
48.290612245,48.832653061,nan
48.832653061,49.353650794,nan
49.502040816,50.552743764,nan
50.552743764,50.644897959,nan
50.644897959,50.738503401,nan
50.738503401,51.448163265,nan
51.448163265,51.614693878,nan
51.614693878,52.380952381,52.380952381
53.087346939,53.670022676,nan
53.670022676,54.144036281,nan
54.302040816,55.34185941,nan
55.34185941,55.438367347,nan
55.438367347,55.506938776,nan
55.506938776,56.231836735,nan
56.231836735,56.414693878,nan
56.414693878,57.053877551,57.053877551
57.266938776,57.456326531,nan
57.456326531,57.617777778,nan
57.724081633,58.714920635,nan
58.765714286,58.91047619,nan
58.91047619,60.142222222,60.142222222
60.297142857,60.499591837,nan
60.499591837,60.93968254,nan
61.025306122,61.247346939,nan
61.247346939,61.469387755,nan
61.469387755,62.201904762,62.201904762
62.266122449,62.402539683,nan
62.480544218,63.22031746,nan
63.281632653,63.415510204,nan
63.415510204,64.815238095,64.815238095
65.073922902,65.81877551,nan
65.81877551,65.900408163,nan
65.900408163,66.03755102,nan
66.03755102,66.256326531,nan
66.256326531,66.384761905,nan
66.452244898,66.946031746,66.946031746
67.053061224,67.214693878,nan
67.268571429,68.312380952,nan
68.385306122,68.514829932,nan
68.514829932,69.87755102,69.87755102
69.87755102,70.08,nan
70.08,70.612244898,nan
70.612244898,70.824489796,nan
70.824489796,71.753650794,71.753650794
71.897687075,72.03047619,nan
72.133877551,72.840634921,nan
72.894693878,73.028571429,nan
73.028571429,74.445714286,74.445714286
74.666666667,75.408979592,nan
75.408979592,75.52,nan
75.52,75.647346939,nan
75.647346939,75.853061224,nan
75.853061224,76.052244898,nan
76.052244898,76.672290249,76.672290249
98.034285714,98.076734694,nan
98.076734694,98.346666667,nan
98.346666667,98.465306122,nan
98.592653061,98.827755102,nan
98.827755102,99.510204082,99.510204082
99.963356009,100.156734694,nan
100.156734694,100.679183673,nan
100.679183673,100.826122449,nan
100.826122449,100.884897959,nan
100.986122449,101.48244898,101.48244898
102.240362812,102.383673469,nan
102.51755102,104.36244898,104.36244898
105.155918367,105.433469388,nan
105.433469388,105.893877551,105.893877551
125.064489796,125.165714286,nan
125.260408163,125.609795918,nan
125.609795918,125.920362812,nan
125.920362812,127.36,nan
127.36,127.435102041,nan
127.435102041,127.559183673,nan
127.653877551,127.88244898,nan
127.95755102,128.333061224,nan
128.408163265,129.312653061,129.312653061
129.854693878,130.070204082,nan
130.070204082,130.360816327,nan
130.360816327,130.631836735,nan
130.631836735,132.157823129,nan
132.157823129,132.297142857,nan
132.297142857,132.457142857,nan
132.457142857,132.754285714,nan
132.754285714,133.129795918,nan
133.217959184,134.292244898,134.292244898
134.646712018,134.83755102,nan
134.83755102,135.46122449,nan
135.46122449,135.598367347,nan
135.598367347,136.088163265,nan
136.088163265,136.937142857,nan
136.937142857,137.084081633,nan
137.084081633,137.257142857,nan
137.257142857,137.616326531,nan
137.616326531,137.743673469,nan
137.884081633,138.190204082,nan
138.292244898,139.188027211,139.188027211
139.486621315,139.598367347,nan
139.598367347,140.276099773,nan
140.276099773,140.326530612,nan
140.424489796,140.74122449,nan
140.891428571,141.738956916,nan
141.738956916,141.897142857,nan
141.897142857,142.089795918,nan
142.089795918,142.45877551,nan
142.45877551,142.635102041,nan
142.635102041,142.968163265,nan
143.079183673,143.987755102,143.987755102
144.290612245,144.909931973,nan
144.909931973,145.224489796,nan
145.224489796,145.453061224,nan
145.453061224,146.404081633,nan
146.721088435,146.866938776,nan
146.866938776,147.026938776,nan
147.115102041,147.591836735,nan
147.591836735,147.74276644,nan
147.74276644,148.803265306,148.803265306
149.088072562,149.769795918,nan
149.769795918,150.017959184,nan
150.017959184,150.148571429,nan
150.262857143,151.105306122,nan
151.484081633,151.673469388,nan
151.673469388,151.856326531,nan
151.911836735,152.411428571,nan
152.411428571,152.545306122,nan
152.607346939,153.596734694,153.596734694
153.853968254,154.070204082,nan
154.070204082,154.148571429,nan
154.148571429,154.262857143,nan
154.334693878,154.968163265,nan
154.968163265,155.046530612,nan
155.046530612,155.219591837,nan
155.219591837,156.287346939,nan
156.287346939,156.450612245,nan
156.450612245,156.574693878,nan
156.574693878,157.07755102,nan
157.188571429,157.459591837,nan
157.459591837,158.262857143,158.262857143
158.702585034,158.870204082,nan
158.870204082,158.93478458,nan
158.93478458,159.160816327,nan
159.160816327,159.758367347,nan
159.758367347,159.859591837,nan
159.859591837,160.026122449,nan
160.026122449,161.071020408,nan
161.071020408,161.263673469,nan
161.263673469,161.335510204,nan
161.335510204,161.916734694,nan
162.02122449,162.259591837,nan
162.259591837,162.940226757,162.940226757
162.940226757,163.049795918,nan
163.049795918,163.226122449,nan
163.30122449,164.411428571,nan
164.411428571,164.515918367,nan
164.515918367,165.769795918,165.769795918
165.887346939,166.099591837,nan
166.099591837,166.622040816,nan
166.622040816,166.834285714,nan
166.834285714,167.728979592,167.728979592
167.869387755,168.016326531,nan
168.120816327,168.875102041,nan
168.875102041,169.00244898,nan
169.00244898,170.422857143,170.422857143
170.689886621,170.795102041,nan
170.886530612,171.346938776,nan
171.41877551,171.529795918,nan
171.529795918,171.644081633,nan
171.644081633,171.859591837,nan
171.859591837,171.983673469,nan
172.05877551,172.679546485,172.679546485
172.679546485,172.8,nan
172.904489796,173.968979592,nan
173.968979592,174.076734694,nan
174.076734694,175.826938776,175.826938776
175.497142857,175.653877551,nan
175.653877551,176.254693878,nan
176.254693878,176.401632653,nan
176.401632653,177.332244898,177.332244898
177.485714286,177.635918367,nan
177.743673469,178.484897959,nan
178.484897959,178.589387755,nan
178.589387755,180.032653061,180.032653061
180.27755102,180.401632653,nan
180.493061224,180.933877551,nan
181.031836735,181.146122449,nan
181.146122449,181.231020408,nan
181.231020408,181.462857143,nan
181.462857143,181.577142857,nan
181.668571429,182.256326531,182.256326531
201.878639456,201.97877551,nan
202.060408163,202.814693878,nan
202.814693878,203.062857143,nan
203.062857143,203.88244898,nan
204.287346939,204.385306122,nan
204.483265306,205.106213152,nan
205.106213152,205.208163265,nan
205.208163265,205.309387755,nan
205.309387755,206.336870748,206.336870748
206.679365079,206.883265306,nan
206.883265306,207.160816327,nan
207.160816327,207.438367347,nan
207.438367347,207.817142857,nan
207.817142857,207.895510204,nan
207.895510204,208.055510204,nan
208.055510204,208.751020408,nan
209.071020408,209.257142857,nan
209.257142857,209.55755102,nan
209.55755102,209.808979592,nan
209.808979592,210.001632653,nan
210.001632653,211.066122449,211.066122449
211.441632653,211.56244898,nan
211.663673469,212.215510204,nan
212.215510204,212.42122449,nan
212.42122449,212.607346939,nan
212.688979592,213.688163265,nan
213.808979592,214.066938776,nan
214.066938776,214.213877551,nan
214.213877551,214.331428571,nan
214.331428571,214.798367347,nan
214.798367347,214.88,nan
214.88,215.888979592,215.888979592
216.290612245,216.440453515,nan
216.440453515,217.188571429,nan
217.188571429,217.319183673,nan
217.479183673,218.491428571,nan
218.671020408,218.886530612,nan
218.886530612,219.288163265,nan
219.288163265,219.41260771,nan
219.41260771,219.611428571,nan
219.611428571,219.72462585,nan
219.72462585,220.414693878,220.414693878
220.414693878,220.548571429,nan
220.646530612,220.819591837,nan
220.911020408,221.991836735,nan
221.991836735,222.112653061,nan
222.112653061,223.30122449,223.30122449
223.484081633,223.696326531,nan
223.696326531,224.146938776,nan
224.231836735,224.440816327,nan
224.440816327,224.675918367,nan
224.675918367,225.39755102,225.39755102
225.459591837,225.622857143,nan
225.727346939,226.484897959,nan
226.484897959,226.592653061,nan
226.592653061,228.016326531,228.016326531
228.271020408,229.031836735,nan
229.031836735,229.093877551,nan
229.093877551,229.224489796,nan
229.224489796,229.453061224,nan
229.453061224,229.652244898,nan
229.652244898,230.164897959,230.164897959
230.233469388,230.394195011,nan
230.504489796,231.582040816,nan
231.582040816,231.693061224,nan
231.693061224,233.441814059,233.441814059
233.084081633,233.28,nan
233.28,233.81877551,nan
233.81877551,234.02122449,nan
234.02122449,234.948208617,234.948208617
235.08244898,235.229387755,nan
235.330612245,236.048979592,nan
236.104489796,236.222040816,nan
236.222040816,237.635918367,237.635918367
237.864489796,237.998367347,nan
238.093061224,238.514285714,nan
238.631836735,238.710204082,nan
238.710204082,238.850612245,nan
238.850612245,239.066122449,nan
239.066122449,239.268571429,nan
239.268571429,239.947755102,239.947755102
241.466122449,243.160816327,243.160816327
243.905306122,244.084897959,nan
244.084897959,245.270204082,nan
245.404081633,245.874285714,nan
245.874285714,246.452244898,nan
246.76244898,246.902857143,nan
246.902857143,247.056326531,nan
247.056326531,248.610612245,248.610612245
248.999183673,249.159183673,nan
249.302857143,249.456326531,nan
249.6,249.795918367,nan
249.900408163,250.233469388,250.233469388
