word_start,word_end,line_end
21.362358277,21.667120181,nan
21.667120181,22.415238095,nan
22.51755102,23.243174603,nan
23.357823129,23.646258503,nan
23.742403628,23.893333333,nan
24.043537415,24.975963719,nan
24.975963719,25.965714286,nan
26.180498866,27.662222222,27.662222222
28.310204082,28.645986395,nan
28.757913832,29.463945578,nan
29.463945578,30.352834467,nan
30.352834467,30.749024943,nan
30.881088435,32.228571429,nan
33.959183673,34.171428571,nan
34.242176871,34.508843537,nan
34.597732426,35.890793651,nan
35.953197279,37.983492063,37.983492063
40.257596372,40.587755102,nan
40.587755102,40.867120181,nan
40.867120181,41.604353741,nan
41.604353741,42.433015873,nan
42.644897959,42.935147392,nan
42.935147392,43.177324263,nan
43.258049887,44.144761905,nan
44.204988662,44.807256236,nan
44.807256236,45.361632653,nan
45.361632653,46.628571429,46.628571429
47.473922902,48.065306122,nan
48.065306122,48.968707483,nan
48.968707483,51.494603175,nan
53.14829932,53.485714286,nan
53.485714286,53.683809524,nan
53.794829932,55.230839002,nan
55.230839002,56.587029478,56.587029478
78.968163265,79.264217687,nan
79.264217687,79.597278912,nan
79.597278912,79.94829932,nan
80.065306122,80.828662132,80.828662132
81.049251701,81.594920635,nan
81.654421769,82.586122449,nan
82.586122449,83.820408163,nan
83.820408163,85.019863946,85.019863946
85.860136054,86.177959184,nan
86.177959184,86.478367347,nan
86.478367347,87.349115646,nan
87.349115646,88.57324263,nan
88.57324263,90.07600907,90.07600907
91.834920635,91.968435374,nan
92.168707483,92.752108844,nan
92.752108844,95.103129252,95.103129252
98.213151927,98.514285714,nan
98.514285714,98.825578231,nan
98.825578231,99.36399093,nan
99.439455782,99.967709751,99.967709751
100.253605442,100.83845805,nan
100.889251701,101.786122449,nan
101.786122449,102.707664399,nan
102.83537415,104.234376417,104.234376417
105.092063492,105.373605442,nan
105.373605442,105.697959184,nan
105.697959184,106.583945578,nan
106.583945578,107.009160998,nan
107.128163265,108.936417234,108.936417234
110.759183673,110.950748299,nan
111.046530612,111.241904762,nan
111.307029478,111.978231293,nan
111.978231293,112.64,nan
112.740136054,113.893877551,113.893877551
117.659863946,118.011791383,nan
118.011791383,118.474013605,nan
118.474013605,119.463401361,nan
119.793197279,120.809070295,nan
120.957823129,122.028117914,nan
122.800907029,123.091156463,nan
123.091156463,123.419863946,nan
123.419863946,123.689795918,nan
123.689795918,123.892970522,nan
123.972789116,124.183219955,nan
124.273197279,125.082993197,nan
125.170068027,126.164172336,126.164172336
126.965986395,127.557369615,nan
127.557369615,128.333786848,nan
128.428117914,129.110204082,nan
129.3569161,130.536054422,nan
130.536054422,131.359637188,nan
132.350113379,132.662131519,nan
132.662131519,132.976326531,nan
132.976326531,133.050340136,nan
133.194013605,133.558276644,nan
133.558276644,133.868843537,nan
133.868843537,134.073469388,nan
134.147482993,134.675736961,nan
134.809251701,135.778684807,135.778684807
136.881632653,137.190022676,nan
137.190022676,137.839455782,nan
137.839455782,138.710204082,nan
139.018594104,140.215873016,nan
140.215873016,140.995918367,nan
141.975510204,142.288979592,nan
142.288979592,142.60244898,nan
142.60244898,142.885442177,nan
142.885442177,143.181496599,nan
143.181496599,143.412244898,nan
143.464489796,144.317823129,nan
144.383129252,145.414965986,145.414965986
146.496145125,146.773333333,nan
146.773333333,147.313197279,nan
147.392290249,148.067845805,nan
148.582312925,149.823129252,nan
149.823129252,150.471111111,nan
151.58276644,151.887528345,nan
151.887528345,152.14585034,nan
152.14585034,152.241632653,nan
152.389659864,152.740136054,nan
152.740136054,152.984671202,nan
153.038367347,153.309750567,nan
153.309750567,153.872834467,nan
153.961360544,155.109297052,155.109297052
196.292789116,196.810884354,nan
196.889251701,197.524353741,nan
197.736054422,198.552380952,nan
198.552380952,198.969614512,nan
198.969614512,199.179138322,nan
199.248979592,200.089251701,nan
200.089251701,202.610068027,202.610068027
203.450340136,203.763809524,nan
203.763809524,203.921995465,nan
204.016326531,204.665034014,nan
204.665034014,204.969795918,nan
204.969795918,205.430204082,nan
205.583673469,207.629931973,207.629931973
209.153741497,209.45414966,nan
209.45414966,209.719727891,nan
209.785034014,210.467482993,nan
210.694965986,212.288435374,212.288435374
215.492789116,215.745306122,nan
215.745306122,215.974603175,nan
216.076190476,216.61170068,nan
216.61170068,216.920816327,nan
216.920816327,217.520181406,nan
217.882993197,218.183401361,nan
218.183401361,218.401088435,nan
218.401088435,218.927891156,nan
219.075918367,220.480725624,nan
220.589569161,221.968253968,221.968253968
222.563265306,223.085714286,nan
223.259863946,223.934693878,nan
224.159637188,225.124716553,nan
225.39755102,226.975056689,226.975056689
228.368253968,228.596825397,nan
228.673015873,228.95600907,nan
228.95600907,229.598185941,nan
229.598185941,230.254875283,nan
230.359365079,232.67845805,232.67845805
