word_start,word_end,line_end
48.782222222,49.401904762,nan
49.401904762,49.696507937,nan
49.696507937,49.945396825,nan
49.945396825,50.864761905,50.864761905
50.864761905,51.253333333,nan
51.382857143,51.774693878,nan
51.774693878,51.996734694,nan
52.092517007,52.572517007,52.572517007
52.732517007,52.897959184,nan
52.897959184,53.942857143,nan
54.948571429,55.266394558,nan
55.266394558,56.32,56.32
57.669659864,57.996190476,nan
57.996190476,58.466394558,nan
58.466394558,59.319727891,59.319727891
59.319727891,59.918367347,nan
60.212244898,60.688979592,nan
60.843537415,61.622857143,61.622857143
61.622857143,61.779591837,nan
61.923265306,62.746122449,nan
63.821496599,64.121904762,nan
64.121904762,65.005714286,65.005714286
66.546938776,66.90829932,nan
66.90829932,67.763809524,nan
68.048979592,68.382040816,nan
68.571428571,69.172244898,nan
69.172244898,69.276734694,nan
69.389931973,70.262857143,70.262857143
71.357823129,71.619047619,nan
71.619047619,71.85414966,nan
71.85414966,72.653061224,nan
73.556462585,73.97877551,nan
74.118095238,74.703673469,74.703673469
75.480816327,75.816054422,nan
75.816054422,76.658503401,nan
76.939319728,77.771972789,nan
78.04952381,79.124897959,79.124897959
79.878095238,79.982585034,nan
79.982585034,80.835918367,nan
81.027482993,82.314739229,82.314739229
104.354829932,104.925170068,nan
104.925170068,105.195102041,nan
105.195102041,105.256054422,nan
105.256054422,106.031020408,106.031020408
106.031020408,106.35755102,nan
106.35755102,107.17170068,nan
107.17170068,107.334240363,nan
107.463401361,108.158548753,108.158548753
110.218594104,111.263492063,nan
111.263492063,112.198820862,112.198820862
113.034013605,113.696507937,nan
113.748752834,113.963537415,nan
114.042630385,114.946031746,114.946031746
114.946031746,115.207256236,nan
115.207256236,115.896598639,nan
115.969160998,116.092517007,nan
116.092517007,117.661315193,117.661315193
118.996462585,119.615419501,nan
119.615419501,120.964353741,120.964353741
122.463492063,123.328798186,nan
123.61723356,123.971337868,nan
124.13968254,124.720181406,nan
124.720181406,124.948752834,nan
124.948752834,125.712834467,125.712834467
126.889795918,127.14122449,nan
127.14122449,127.373061224,nan
127.373061224,128.290249433,nan
129.071020408,129.816961451,nan
129.926530612,130.449705215,130.449705215
131.012789116,131.40244898,nan
131.40244898,132.365351474,nan
132.466938776,133.319183673,nan
133.603265306,134.559637188,134.559637188
135.399183673,135.490612245,nan
135.490612245,136.434648526,nan
136.58122449,139.52,139.52
142.001632653,142.889795918,142.889795918
143.960816327,144.150204082,nan
144.150204082,144.914285714,144.914285714
146.106122449,146.279183673,nan
146.279183673,147.108571429,147.108571429
148.737959184,150.040816327,150.040816327
150.589387755,151.41877551,151.41877551
152.528979592,152.715102041,nan
152.715102041,154.031020408,154.031020408
154.648163265,154.716734694,nan
154.850612245,155.990204082,155.990204082
157.355102041,158.628571429,158.628571429
194.073469388,194.419591837,nan
194.419591837,195.595102041,nan
195.595102041,195.931428571,nan
196.137142857,196.702040816,nan
196.702040816,196.904489796,nan
196.904489796,197.820952381,197.820952381
198.863673469,199.055238095,nan
199.115102041,199.356734694,nan
199.356734694,200.162539683,nan
201.028571429,201.828571429,nan
201.906938776,202.321269841,202.321269841
202.984489796,203.379591837,nan
203.379591837,204.220952381,nan
204.434285714,205.293877551,nan
205.580408163,206.679365079,206.679365079
207.389387755,207.467755102,nan
207.467755102,208.431746032,nan
208.555102041,211.418412698,211.418412698
