word_start,word_end,line_end
18.542222222,18.773333333,nan
18.773333333,19.069387755,nan
19.16952381,19.609977324,nan
19.707936508,20.999546485,20.999546485
22.968888889,23.418412698,nan
23.418412698,23.746031746,nan
23.746031746,24.515192744,24.515192744
26.303492063,26.948571429,nan
26.948571429,27.631746032,nan
27.766349206,28.078004535,nan
28.424126984,28.797460317,nan
28.797460317,29.239365079,nan
29.239365079,29.674376417,nan
30.011428571,30.897052154,30.897052154
34.989206349,35.260952381,nan
35.260952381,35.52,nan
35.52,36.971972789,nan
38.465306122,39.12707483,nan
39.235918367,39.719183673,nan
39.719183673,40.042811791,nan
40.042811791,41.499863946,41.499863946
42.435555556,42.906122449,nan
42.991746032,43.268571429,nan
43.268571429,43.687619048,nan
43.687619048,44.429206349,nan
44.429206349,45.003174603,nan
45.003174603,45.254603175,nan
45.254603175,45.70122449,nan
45.925079365,47.47755102,47.47755102
50.485986395,50.722539683,nan
50.722539683,51.014240363,nan
51.197460317,51.453968254,nan
51.453968254,51.735873016,nan
51.735873016,53.016961451,53.016961451
54.520453515,54.75047619,nan
54.75047619,55.188027211,nan
55.32154195,55.704671202,nan
55.704671202,56.499954649,56.499954649
58.462040816,58.949659864,nan
58.949659864,59.476462585,nan
59.476462585,59.728253968,nan
59.728253968,59.936507937,nan
60.022857143,60.754285714,nan
60.754285714,62.567619048,62.567619048
66.461315193,66.705124717,nan
66.705124717,67.266031746,nan
67.266031746,67.49968254,nan
67.49968254,67.738412698,nan
67.738412698,67.97968254,nan
67.97968254,68.897959184,68.897959184
70.514285714,70.883265306,nan
70.984126984,71.209795918,nan
71.281269841,71.736598639,nan
71.736598639,72.568163265,72.568163265
74.488163265,74.729795918,nan
74.884353741,75.23845805,nan
75.23845805,75.46122449,nan
75.644807256,76.630204082,76.630204082
76.948027211,77.252789116,nan
77.252789116,77.548843537,nan
77.548843537,77.979863946,nan
77.979863946,78.733061224,78.733061224
98.503401361,98.671746032,nan
98.76462585,99.456870748,nan
99.456870748,100.005442177,nan
100.005442177,101.155555556,101.155555556
102.465306122,102.796190476,nan
102.796190476,103.235918367,nan
103.235918367,103.70031746,nan
103.70031746,105.508571429,105.508571429
106.493968254,106.956190476,nan
106.956190476,107.23047619,nan
107.334603175,107.982222222,nan
107.982222222,108.805079365,nan
110.406530612,110.537142857,nan
110.68952381,111.490612245,nan
111.490612245,113.676190476,113.676190476
114.509206349,114.735238095,nan
114.735238095,115.23047619,nan
115.23047619,115.507301587,nan
115.507301587,115.974603175,nan
115.974603175,116.761904762,nan
116.761904762,117.13015873,117.13015873
118.473650794,118.626031746,nan
118.626031746,119.073650794,nan
119.222857143,119.488435374,nan
119.488435374,120.010884354,nan
120.010884354,120.690793651,nan
120.772789116,121.24952381,121.24952381
122.466394558,122.946031746,nan
122.946031746,123.476462585,nan
123.476462585,123.710113379,nan
123.710113379,123.949206349,nan
123.949206349,124.662857143,nan
124.736507937,125.77015873,125.77015873
126.24,126.74031746,nan
126.74031746,127.464126984,nan
127.464126984,127.735873016,nan
127.735873016,128.822857143,128.822857143
130.455873016,130.732698413,nan
130.732698413,131.225396825,nan
131.225396825,131.441269841,nan
131.441269841,131.709387755,nan
131.709387755,131.865396825,nan
131.948843537,132.794920635,132.794920635
134.478730159,134.846984127,nan
134.984126984,135.202539683,nan
135.283809524,135.761269841,nan
135.761269841,136.533333333,136.533333333
138.466031746,138.86984127,nan
138.86984127,139.276190476,nan
139.276190476,139.50984127,nan
139.69015873,140.673015873,140.673015873
141.000634921,141.264761905,nan
141.264761905,141.518730159,nan
141.518730159,141.993650794,nan
141.993650794,142.801269841,142.801269841
146.488888889,146.737777778,nan
146.737777778,147.197460317,nan
147.197460317,147.448888889,nan
147.448888889,147.713015873,nan
147.713015873,148.977777778,148.977777778
150.460952381,150.720725624,nan
150.720725624,151.268571429,nan
151.268571429,151.732244898,nan
151.732244898,152.511564626,152.511564626
154.462040816,154.975782313,nan
154.975782313,155.480816327,nan
155.480816327,155.733333333,nan
155.733333333,155.959727891,nan
155.959727891,156.744126984,nan
156.744126984,158.795464853,158.795464853
162.438095238,162.704761905,nan
162.704761905,163.259501134,nan
163.259501134,163.492063492,nan
163.492063492,163.718095238,nan
163.718095238,163.951746032,nan
163.951746032,164.78185941,164.78185941
166.482721088,166.871292517,nan
167.000816327,167.232653061,nan
167.309931973,167.732244898,nan
167.732244898,168.714739229,168.714739229
170.479455782,170.88,nan
170.88,171.25877551,nan
171.25877551,171.588208617,nan
171.641904762,172.517006803,172.517006803
173.005714286,173.248435374,nan
173.248435374,173.498412698,nan
173.498412698,173.986031746,nan
173.986031746,174.846258503,174.846258503
194.511746032,194.755918367,nan
194.755918367,195.187301587,nan
195.187301587,195.448888889,nan
195.448888889,195.685079365,nan
195.685079365,197.006802721,197.006802721
198.469659864,198.761360544,nan
198.761360544,199.151292517,nan
199.281269841,199.720634921,nan
199.720634921,200.736507937,200.736507937
202.462040816,202.994285714,nan
202.994285714,203.459047619,nan
203.459047619,203.72462585,nan
203.72462585,203.990204082,nan
203.990204082,204.764444444,nan
204.764444444,206.73015873,206.73015873
210.438095238,210.717460317,nan
210.717460317,211.243174603,nan
211.243174603,211.494603175,nan
211.494603175,211.720634921,nan
211.720634921,211.964444444,nan
211.964444444,212.81814059,212.81814059
214.478367347,214.871655329,nan
214.976507937,215.288163265,nan
215.288163265,215.766349206,nan
215.766349206,216.780045351,216.780045351
218.44462585,218.89015873,nan
218.89015873,219.271111111,nan
219.271111111,219.501133787,nan
219.672380952,220.672380952,220.672380952
221.005714286,221.257142857,nan
221.257142857,221.508571429,nan
221.508571429,221.960634921,nan
221.960634921,222.772244898,222.772244898
242.491428571,242.732698413,nan
242.732698413,243.187301587,nan
243.187301587,243.436190476,nan
243.436190476,243.672380952,nan
243.672380952,245.014058957,245.014058957
246.485623583,246.717460317,nan
246.717460317,247.250793651,nan
247.250793651,247.771428571,nan
247.771428571,248.794557823,248.794557823
250.460952381,250.963809524,nan
250.963809524,251.461587302,nan
251.461587302,251.728253968,nan
251.728253968,251.984761905,nan
251.984761905,252.746666667,nan
252.746666667,255.056689342,255.056689342
