word_start,word_end,line_end
28.604081633,28.900136054,nan
29.082993197,29.248435374,nan
29.248435374,29.413877551,nan
29.518367347,29.844897959,nan
29.844897959,30.145306122,nan
30.145306122,30.423945578,30.423945578
30.775147392,30.946394558,nan
31.050884354,31.420952381,nan
31.420952381,31.503673469,nan
31.503673469,31.573333333,nan
31.573333333,32.021768707,nan
32.021768707,32.156734694,nan
32.156734694,32.330884354,nan
32.330884354,32.644353741,nan
32.644353741,32.744489796,nan
32.744489796,33.214693878,33.214693878
33.750204082,33.83292517,nan
33.902585034,34.246530612,nan
34.246530612,34.503401361,nan
34.503401361,34.629659864,nan
34.629659864,34.738503401,nan
34.738503401,34.842993197,nan
34.842993197,35.143401361,nan
35.143401361,35.300136054,nan
35.300136054,35.413333333,nan
35.413333333,35.500408163,nan
35.500408163,35.700680272,nan
35.700680272,35.764535147,nan
35.764535147,35.932879819,nan
35.932879819,36.297142857,nan
36.394376417,36.81015873,nan
36.81015873,36.921904762,nan
36.986485261,38.20553288,38.20553288
38.611882086,38.897777778,nan
38.995011338,39.212698413,nan
39.212698413,39.410793651,nan
39.494240363,39.836734694,nan
39.836734694,40.158911565,nan
40.158911565,40.474920635,40.474920635
40.782947846,41.023854875,nan
41.023854875,41.723356009,nan
41.723356009,43.283809524,43.283809524
43.749297052,44.085986395,nan
44.085986395,44.532970522,nan
44.532970522,44.695510204,nan
44.695510204,45.006077098,nan
45.006077098,45.092063492,nan
45.142494331,45.45015873,nan
45.45015873,45.815873016,nan
45.815873016,46.60244898,nan
46.60244898,48.599365079,48.599365079
52.327619048,53.709206349,nan
57.321360544,58.636190476,58.636190476
62.354285714,63.837460317,nan
67.329160998,68.585941043,68.585941043
68.585941043,68.893605442,nan
69.003174603,69.209977324,nan
69.209977324,69.407346939,nan
69.520544218,69.839818594,nan
69.839818594,70.153287982,nan
70.153287982,70.475464853,70.475464853
70.475464853,70.965986395,nan
71.064671202,71.392653061,nan
71.392653061,71.462312925,nan
71.462312925,71.537777778,nan
71.537777778,72.016689342,nan
72.016689342,72.173424036,nan
72.173424036,72.338866213,nan
72.338866213,72.513015873,nan
72.513015873,72.629115646,nan
72.629115646,73.412789116,73.412789116
73.755283447,73.914920635,nan
73.914920635,74.205170068,nan
74.205170068,74.524444444,nan
74.524444444,74.602811791,nan
74.602811791,74.678276644,nan
74.678276644,74.835011338,nan
74.835011338,75.13106576,nan
75.13106576,75.22829932,nan
75.299410431,75.3661678,nan
75.3661678,75.855238095,nan
75.926349206,76.503945578,nan
76.503945578,76.588117914,nan
76.588117914,78.258503401,78.258503401
78.586848073,78.928979592,nan
79.004444444,79.214875283,nan
79.214875283,79.403537415,nan
79.496417234,79.844716553,nan
79.844716553,80.161088435,nan
80.161088435,80.462947846,80.462947846
80.462947846,81.023129252,nan
81.023129252,81.565895692,nan
81.565895692,82.036099773,nan
82.036099773,82.210521542,nan
82.210521542,82.619501134,nan
82.619501134,83.400272109,83.400272109
83.765986395,84.064943311,nan
84.064943311,84.517732426,nan
84.517732426,84.680272109,nan
84.680272109,84.985034014,nan
84.985034014,85.153378685,nan
85.153378685,85.455238095,nan
85.455238095,85.794829932,nan
85.794829932,86.566893424,nan
86.566893424,89.443265306,89.443265306
112.352653061,113.711020408,nan
117.347845805,118.791836735,118.791836735
122.348843537,123.807346939,123.807346939
130.054965986,130.423582766,nan
130.423582766,130.525170068,nan
130.525170068,130.815419501,nan
130.815419501,131.012789116,nan
131.012789116,131.258049887,nan
131.258049887,131.825487528,nan
131.825487528,131.977868481,nan
131.977868481,132.959637188,nan
133.114195011,134.176507937,nan
134.176507937,134.695147392,134.695147392
134.868027211,135.600907029,nan
135.600907029,136.282993197,nan
136.282993197,136.972335601,nan
136.972335601,137.139229025,nan
137.327891156,137.516553288,nan
137.665306122,138.009977324,nan
138.361904762,139.058503401,nan
139.058503401,139.410430839,nan
139.410430839,139.758730159,nan
139.758730159,140.673015873,140.673015873
140.776780045,141.136689342,nan
141.136689342,141.380498866,nan
141.461768707,141.856507937,nan
141.856507937,142.325260771,nan
142.325260771,142.541496599,nan
142.541496599,143.103854875,nan
143.226485261,143.563174603,nan
143.563174603,143.734421769,nan
143.734421769,144.631292517,nan
144.631292517,145.140680272,nan
145.31047619,145.795918367,145.795918367
146.03537415,146.735600907,nan
146.735600907,147.424943311,nan
147.424943311,148.13968254,nan
148.13968254,148.400907029,nan
148.487981859,148.71292517,nan
148.832653061,149.166439909,nan
149.554648526,150.22585034,nan
150.22585034,150.577777778,nan
150.577777778,150.926077098,nan
150.926077098,152.137868481,152.137868481
151.936870748,152.285170068,nan
152.285170068,152.468027211,nan
152.587755102,153.3569161,nan
153.3569161,154.0861678,nan
154.0861678,155.098412698,nan
155.098412698,155.788480726,nan
155.788480726,157.109115646,157.109115646
157.202721088,157.884807256,nan
157.884807256,158.588662132,nan
158.588662132,159.288888889,nan
159.288888889,159.437641723,nan
159.637188209,159.789569161,nan
