word_start,word_end,line_end
47.080634921,47.426031746,nan
47.426031746,48.02031746,nan
48.02031746,48.868571429,nan
48.868571429,49.121814059,nan
49.121814059,49.412063492,nan
49.412063492,50.285714286,nan
50.285714286,50.747210884,50.747210884
51.649886621,51.997460317,nan
51.997460317,52.531519274,nan
52.531519274,53.15047619,nan
53.15047619,53.434920635,nan
53.434920635,53.717913832,nan
53.717913832,54.537868481,54.537868481
55.89478458,56.264852608,nan
56.264852608,56.616780045,nan
56.616780045,57.037641723,nan
57.037641723,57.603628118,nan
57.603628118,57.879365079,nan
57.879365079,58.456235828,nan
58.456235828,58.816145125,nan
58.816145125,59.065759637,nan
59.065759637,60.371882086,60.371882086
60.807256236,61.143945578,nan
61.143945578,62.571972789,nan
62.571972789,62.871655329,nan
62.871655329,64.255419501,64.255419501
64.848979592,65.433106576,nan
65.433106576,65.980952381,nan
65.980952381,66.195011338,nan
66.195011338,66.913378685,nan
66.913378685,67.170975057,nan
67.170975057,67.457596372,nan
67.457596372,68.030839002,nan
68.030839002,68.502494331,nan
68.502494331,69.20707483,69.20707483
69.685260771,69.98276644,nan
69.98276644,70.809977324,nan
70.809977324,71.499319728,nan
71.499319728,72.510113379,nan
72.510113379,72.98031746,nan
73.055782313,73.827845805,73.827845805
74.396734694,74.747936508,nan
74.747936508,75.083900227,nan
75.083900227,75.363265306,nan
75.363265306,75.715192744,nan
75.715192744,76.184671202,nan
76.184671202,76.535147392,nan
76.535147392,77.479183673,nan
77.605442177,78.315102041,78.315102041
78.825941043,79.458684807,nan
79.458684807,79.720634921,nan
79.720634921,80.029024943,nan
80.029024943,81.131972789,nan
81.131972789,82.165986395,nan
82.510657596,87.446349206,87.446349206
101.420408163,101.953741497,nan
101.953741497,102.48707483,nan
102.48707483,102.849886621,nan
102.849886621,103.70031746,nan
103.70031746,103.996371882,nan
103.996371882,104.268480726,nan
104.268480726,104.627664399,nan
104.627664399,104.907029478,nan
104.907029478,105.171882086,nan
105.171882086,105.984580499,105.984580499
105.984580499,106.481632653,nan
106.481632653,107.438730159,nan
107.438730159,108.036643991,nan
108.036643991,108.553287982,nan
108.553287982,109.699773243,nan
109.699773243,110.393469388,110.393469388
110.570521542,111.720634921,nan
111.720634921,113.07537415,nan
113.07537415,114.009977324,nan
114.009977324,114.282811791,nan
114.282811791,115.13106576,115.13106576
115.13106576,115.604897959,nan
115.689795918,116.221678005,nan
116.221678005,117.138866213,nan
117.138866213,117.449433107,nan
117.449433107,117.783219955,nan
117.783219955,120.594285714,120.594285714
