word_start,word_end,line_end
20.0212208859,20.4502437389,nan
20.4502437389,20.7817086155,nan
20.7817086155,20.970521542,nan
21.0593824663,21.1771480773,nan
21.1771480773,21.3420494241,nan
21.3420494241,21.588610689,nan
21.588610689,21.804988662,21.804988662
21.9040216536,22.2094465609,nan
22.2094465609,22.4297043547,nan
22.4297043547,22.6159325522,nan
22.6159325522,22.8412953183,nan
22.8412953183,23.1839067908,nan
23.1839067908,23.3647467415,nan
23.3647467415,23.531972789,23.531972789
23.739397191,24.0187285288,nan
24.0187285288,24.2133421308,nan
24.2133421308,24.3288064918,nan
24.3288064918,24.728829666,nan
24.728829666,25.186394558,25.186394558
25.4426234708,25.7447745829,nan
25.7447745829,25.9207261948,nan
25.9207261948,26.0880718607,nan
26.0880718607,26.3634091454,nan
26.3634091454,26.6569563089,nan
26.6569563089,27.0250905708,27.0250905708
27.0250905708,27.2479802602,nan
27.2479802602,27.555555556,nan
27.606862999,27.7878308396,nan
27.7878308396,28.1471363054,nan
28.1471363054,28.4650424754,nan
28.4650424754,28.6169722355,nan
28.6169722355,28.861678005,28.861678005
29.6069424749,29.953741497,nan
30.0202719942,30.233106576,nan
30.3172152657,30.5895986665,nan
30.5895986665,30.727255921,nan
30.727255921,30.978021855,nan
30.978021855,31.1171672817,nan
31.1171672817,31.219954649,31.219954649
31.4177099817,31.8283412794,nan
31.8283412794,32.0503066901,nan
32.0503066901,32.1875368072,nan
32.1875368072,32.4198716478,nan
32.4198716478,32.6511847602,nan
32.6511847602,32.8991945285,nan
32.8991945285,32.986848073,32.986848073
33.3734306907,33.574603175,nan
33.6383523288,33.8029805855,nan
33.8029805855,33.8902874936,nan
33.8902874936,34.3215222561,nan
34.3215222561,34.902494331,34.902494331
35.0408082254,35.3495008845,nan
35.3495008845,35.5070082457,nan
35.5070082457,35.6391407973,nan
35.6391407973,35.9041319223,nan
35.9041319223,36.2705539245,nan
36.2705539245,36.6345172498,36.6345172498
36.6345172498,36.8652597515,nan
36.8652597515,37.112018141,nan
37.1627350273,37.3685657642,nan
37.3685657642,37.7268768482,nan
37.7268768482,38.0635739522,nan
38.0635739522,38.277120181,nan
38.3483074636,38.585034014,38.585034014
39.2623232823,39.5541031078,nan
39.5541031078,39.9061897735,nan
39.9061897735,40.2428602879,nan
40.2428602879,40.5083477193,nan
40.5083477193,40.863492063,40.863492063
41.0829286251,41.4084825095,nan
41.4084825095,41.614512472,nan
41.7010643681,41.926530612,41.926530612
42.0707431955,42.4063223,nan
42.4063223,42.6855496839,nan
42.6855496839,42.9596303585,nan
42.9596303585,43.109297052,43.109297052
43.4582601132,43.640262745,nan
43.640262745,43.7935806406,nan
43.7935806406,44.0953825304,nan
44.0953825304,44.36462585,44.36462585
44.4231526869,44.7348938806,nan
44.7348938806,44.977777778,44.977777778
