word_start,word_end,line_end
16.642902494,16.794920635,nan
16.794920635,16.905578231,nan
17.003174603,17.351836735,nan
17.351836735,17.714285714,nan
17.714285714,17.897142857,nan
17.897142857,18.085079365,nan
18.085079365,18.420680272,18.420680272
18.61877551,18.791836735,nan
18.791836735,19.05755102,nan
19.146122449,19.713015873,nan
19.713015873,19.898412698,nan
19.898412698,20.175238095,20.175238095
20.413061224,20.545306122,nan
20.613877551,20.788571429,nan
20.788571429,20.924081633,20.924081633
21.160816327,21.268027211,nan
21.343492063,21.518730159,nan
21.518730159,21.711746032,nan
21.711746032,22.052063492,nan
22.052063492,22.413061224,22.413061224
22.413061224,22.60244898,nan
22.60244898,22.682993197,nan
22.786938776,23.136326531,nan
23.136326531,23.410068027,nan
23.512380952,23.685079365,nan
23.685079365,23.857959184,nan
23.857959184,24.206802721,24.206802721
24.4,24.574693878,nan
24.574693878,24.925714286,nan
24.925714286,25.500408163,nan
25.500408163,25.660408163,nan
25.660408163,25.974421769,25.974421769
26.204444444,26.318367347,nan
26.395283447,26.566530612,nan
26.566530612,26.740680272,26.740680272
26.930612245,27.115102041,nan
27.115102041,27.302857143,nan
27.302857143,27.479183673,nan
27.479183673,27.794285714,nan
27.847619048,28.108843537,28.108843537
28.195918367,28.363174603,nan
28.363174603,28.45170068,nan
28.563265306,28.909387755,nan
28.909387755,29.239727891,nan
29.297777778,29.683628118,29.683628118
29.812244898,30.008163265,nan
30.008163265,30.16,nan
30.16,30.323809524,nan
30.387301587,30.659047619,nan
30.732698413,31.455782313,31.455782313
31.629387755,31.817142857,nan
31.817142857,32.005079365,nan
32.005079365,32.177777778,nan
32.177777778,32.345396825,nan
32.345396825,32.431020408,nan
32.540952381,32.7169161,nan
32.7169161,32.809795918,32.809795918
32.914285714,32.98829932,nan
33.072653061,33.219047619,nan
33.219047619,33.608163265,nan
33.608163265,33.706666667,nan
33.80244898,34.263945578,34.263945578
34.331428571,34.710204082,nan
34.710204082,35.069387755,nan
35.069387755,35.435102041,35.435102041
35.601632653,35.792653061,nan
35.792653061,35.96952381,nan
35.96952381,36.232380952,nan
36.32,37.185306122,37.185306122
37.414603175,37.516190476,nan
37.591836735,37.960816327,nan
37.960816327,38.316734694,nan
38.316734694,38.721884354,38.721884354
38.721884354,38.875102041,nan
38.875102041,39.043265306,nan
39.043265306,39.399183673,nan
39.399183673,39.596734694,nan
39.596734694,40.080544218,40.080544218
40.130612245,40.499591837,nan
40.499591837,40.841723356,nan
40.841723356,41.273469388,41.273469388
41.396825397,41.748752834,nan
41.748752834,41.926530612,nan
41.926530612,42.353197279,nan
42.415238095,42.628571429,nan
42.628571429,42.978684807,42.978684807
42.978684807,43.205442177,nan
43.205442177,43.386485261,nan
43.386485261,43.563174603,nan
43.563174603,43.728979592,nan
43.923809524,44.099773243,nan
44.099773243,44.395102041,44.395102041
44.468027211,44.653061224,nan
44.653061224,44.823582766,nan
44.823582766,45.173696145,nan
45.173696145,45.560090703,nan
45.560090703,45.792653061,45.792653061
45.908390023,46.274829932,nan
46.274829932,46.62675737,nan
46.62675737,47.077006803,47.077006803
47.18185941,47.539229025,nan
47.539229025,47.717006803,nan
47.717006803,48.104489796,nan
48.179591837,48.353741497,nan
48.411791383,48.620408163,48.620408163
48.620408163,48.798185941,nan
48.798185941,48.97414966,nan
48.97414966,49.170068027,nan
49.170068027,49.433469388,nan
49.521269841,49.747301587,nan
49.747301587,50.054965986,50.054965986
50.251247166,50.594104308,nan
50.594104308,50.779138322,nan
50.779138322,50.958730159,nan
50.958730159,51.156462585,nan
51.156462585,51.344761905,nan
51.344761905,51.574421769,51.574421769
51.692698413,52.061678005,nan
52.061678005,52.458231293,52.458231293
52.777142857,53.320634921,nan
53.320634921,53.863038549,nan
53.863038549,54.222222222,nan
54.222222222,54.57414966,54.57414966
54.57414966,54.946394558,nan
54.946394558,56.285170068,56.285170068
57.121088435,57.272018141,nan
57.272018141,57.364897959,nan
57.458503401,57.835102041,nan
57.835102041,58.222585034,58.222585034
58.557823129,59.102040816,nan
59.102040816,59.652789116,nan
59.652789116,60.009795918,nan
60.009795918,60.358095238,60.358095238
60.358095238,60.715102041,nan
60.715102041,61.988571429,nan
62.184489796,62.450068027,62.450068027
62.907210884,63.081360544,nan
63.081360544,63.257687075,nan
63.257687075,63.614693878,nan
63.614693878,63.976054422,nan
63.976054422,64.335238095,64.335238095
64.535873016,64.705306122,nan
64.705306122,64.875102041,nan
64.875102041,65.064126984,nan
65.064126984,65.327891156,nan
65.430204082,65.77414966,nan
65.77414966,66.072380952,66.072380952
66.337959184,66.52952381,nan
66.52952381,66.76462585,nan
66.873469388,67.435102041,67.435102041
67.435102041,67.526530612,nan
67.598367347,67.926349206,nan
67.926349206,68.231836735,nan
68.316734694,68.423401361,nan
68.497414966,68.717278912,nan
68.717278912,68.989387755,68.989387755
69.059047619,69.40952381,nan
69.40952381,69.764353741,nan
69.764353741,70.28244898,70.28244898
70.497959184,70.674285714,nan
70.674285714,70.765714286,nan
70.852063492,71.110566893,nan
71.196734694,71.558095238,nan
71.558095238,71.928163265,71.928163265
72.279365079,72.402721088,nan
72.48,72.835555556,nan
72.835555556,73.020952381,nan
73.020952381,73.34993424,73.34993424
73.34993424,73.737142857,nan
73.737142857,73.920725624,nan
73.920725624,74.089795918,nan
74.089795918,74.279183673,nan
74.279183673,74.740680272,74.740680272
74.827755102,75.184761905,nan
75.184761905,75.533061224,nan
75.533061224,76.181768707,76.181768707
76.264126984,76.59755102,nan
76.59755102,76.878367347,nan
76.957460317,77.147936508,nan
77.147936508,77.712108844,77.712108844
77.712108844,77.797006803,nan
77.879727891,78.088707483,nan
78.088707483,78.271564626,nan
78.271564626,78.442811791,nan
78.442811791,78.624217687,nan
78.624217687,78.802721088,nan
78.802721088,79.161904762,79.161904762
79.161904762,79.357460317,nan
79.357460317,79.518911565,nan
79.518911565,79.730068027,nan
79.730068027,79.958639456,nan
80.034829932,80.236553288,nan
80.236553288,80.503219955,80.503219955
80.592108844,80.981768707,nan
80.981768707,81.330068027,nan
81.330068027,81.793741497,81.793741497
82.061496599,82.417777778,nan
82.417777778,82.608253968,nan
82.608253968,82.933333333,nan
82.933333333,83.139047619,nan
83.139047619,83.49170068,83.49170068
83.814603175,84.227482993,nan
84.227482993,84.423401361,nan
84.423401361,84.606258503,nan
84.606258503,84.719455782,84.719455782
84.939319728,85.339138322,nan
85.339138322,85.590204082,nan
85.677278912,85.938503401,nan
86.025578231,86.291156463,86.291156463
86.378231293,86.759183673,nan
86.759183673,87.118367347,nan
87.118367347,87.288163265,nan
87.288163265,87.481904762,nan
87.481904762,87.780136054,87.780136054
88.010884354,88.195555556,nan
88.195555556,88.535510204,nan
88.535510204,89.079727891,nan
89.079727891,89.216870748,nan
89.275646259,89.565170068,89.565170068
89.817687075,89.994739229,nan
89.994739229,90.174693878,nan
90.174693878,90.392380952,90.392380952
90.534603175,90.70585034,nan
90.70585034,90.894512472,nan
90.894512472,91.075918367,nan
91.075918367,91.356734694,nan
91.450340136,91.807346939,91.807346939
91.807346939,91.929251701,nan
91.982222222,92.085986395,nan
92.164353741,92.514829932,nan
92.514829932,92.813061224,nan
92.871836735,93.06122449,nan
93.06122449,93.244081633,nan
93.244081633,93.592380952,93.592380952
93.798095238,93.90585034,nan
93.975873016,94.345578231,nan
94.345578231,94.865124717,nan
94.865124717,95.055238095,nan
95.055238095,95.355646259,95.355646259
95.573333333,95.725714286,nan
95.793197279,95.960816327,nan
95.960816327,96.134965986,96.134965986
96.339591837,96.500680272,nan
96.500680272,96.716190476,nan
96.716190476,96.888163265,nan
96.888163265,97.245170068,nan
97.245170068,97.597460317,97.597460317
97.597460317,97.777777778,nan
97.777777778,97.885170068,nan
97.953015873,98.314013605,nan
98.314013605,98.76462585,98.76462585
99.045079365,99.589659864,nan
99.589659864,100.125170068,nan
100.125170068,100.490884354,nan
100.490884354,100.843537415,100.843537415
100.843537415,101.215782313,nan
101.215782313,102.635102041,102.635102041
103.392653061,103.553741497,nan
103.553741497,103.64952381,nan
103.721360544,104.097959184,nan
104.097959184,104.563809524,104.563809524
104.822857143,105.371428571,nan
105.371428571,105.915646259,nan
105.915646259,106.277006803,nan
106.277006803,106.620952381,106.620952381
106.620952381,106.986666667,nan
106.986666667,108.242721088,nan
108.472018141,108.817414966,108.817414966
109.17877551,109.336961451,nan
