word_start,word_end,line_end
2.328526077,2.581768707,nan
2.581768707,2.943129252,nan
3.576598639,3.72244898,nan
3.844353741,4.284081633,4.284081633
10.338684807,10.566530612,nan
10.566530612,10.866938776,nan
11.297959184,11.447437642,nan
11.598367347,12.016326531,nan
13.176598639,13.481904762,nan
13.583673469,13.864489796,nan
13.958095238,14.243809524,nan
14.339047619,14.616598639,nan
14.709115646,14.973968254,14.973968254
24.576870748,24.721269841,nan
24.8,25.335147392,nan
25.335147392,25.594557823,nan
25.594557823,25.855782313,nan
25.855782313,26.676825397,26.676825397
28.429387755,28.573061224,nan
28.573061224,28.647619048,nan
28.715102041,28.946938776,nan
28.946938776,29.165714286,nan
29.304489796,29.45015873,nan
29.577142857,29.81877551,nan
29.81877551,30.053877551,nan
30.053877551,30.846984127,30.846984127
32.579591837,32.736326531,nan
32.736326531,32.92244898,nan
32.92244898,33.227346939,nan
33.328979592,34.636190476,34.636190476
36.431020408,36.60244898,nan
36.60244898,36.82031746,nan
36.943673469,37.17877551,nan
37.17877551,37.549387755,nan
37.549387755,38.684444444,38.684444444
40.587755102,40.77877551,nan
40.77877551,41.319183673,nan
41.319183673,41.575510204,nan
41.575510204,41.833469388,nan
41.833469388,42.702222222,42.702222222
44.458956916,44.657777778,nan
44.733061224,45.311020408,nan
45.311020408,45.46031746,nan
45.573877551,45.831836735,nan
45.831836735,46.076734694,nan
46.076734694,46.770793651,46.770793651
48.422857143,48.577959184,nan
48.577959184,48.849795918,nan
48.940408163,49.559183673,nan
49.559183673,50.722539683,50.722539683
52.43755102,52.579591837,nan
52.579591837,52.825396825,nan
52.940408163,53.570612245,nan
53.570612245,54.633650794,54.633650794
56.462040816,56.695510204,nan
56.695510204,56.827936508,nan
56.940408163,57.208888889,nan
57.293061224,58.895238095,58.895238095
60.426122449,60.51047619,nan
60.579591837,60.718367347,nan
60.718367347,60.951836735,nan
60.951836735,61.145396825,nan
61.307755102,61.591836735,nan
61.591836735,62.618412698,62.618412698
64.415419501,64.645079365,nan
64.752834467,64.822857143,nan
64.925170068,65.188571429,nan
65.295238095,65.567346939,nan
65.567346939,65.839455782,nan
65.839455782,66.813968254,66.813968254
68.429387755,68.495238095,nan
68.577959184,68.813061224,nan
68.813061224,68.871111111,nan
68.946938776,69.215102041,69.215102041
69.304489796,69.568979592,nan
69.568979592,69.93755102,nan
70.060408163,70.816507937,70.816507937
72.546938776,72.747755102,nan
72.814693878,73.319183673,nan
73.319183673,73.586938776,nan
73.586938776,73.828571429,nan
73.828571429,74.722539683,74.722539683
76.401632653,76.729795918,nan
76.729795918,77.312653061,nan
77.312653061,77.44,nan
77.570612245,77.825306122,nan
77.825306122,78.091428571,nan
