word_start,word_end,line_end
4.834829932,5.133061224,nan
5.133061224,5.261496599,nan
5.261496599,5.533061224,nan
5.657687075,6.497959184,6.497959184
7.037823129,7.251156463,nan
7.251156463,7.44707483,nan
7.44707483,7.828027211,nan
7.828027211,8.084897959,nan
8.084897959,8.599183673,8.599183673
9.48244898,10.050612245,nan
10.050612245,10.329251701,nan
10.329251701,10.644897959,nan
10.644897959,11.260408163,11.260408163
11.812426304,11.951746032,nan
11.951746032,12.170884354,nan
12.170884354,12.813061224,nan
12.813061224,12.969795918,nan
13.022040816,13.374693878,13.374693878
14.402176871,14.817959184,nan
14.817959184,15.2,nan
15.27292517,16.302040816,nan
16.387482993,17.071020408,17.071020408
17.769795918,17.874285714,nan
17.874285714,18.664489796,nan
18.664489796,18.85170068,nan
18.85170068,19.340045351,nan
19.340045351,19.386485261,nan
19.386485261,19.548662132,nan
19.602721088,21.204897959,nan
21.204897959,21.704489796,21.704489796
23.177142857,24.313469388,24.313469388
24.431020408,25.534693878,25.534693878
25.63047619,26.903945578,nan
26.903945578,27.80244898,27.80244898
28.066394558,29.231020408,nan
29.231020408,30.26122449,30.26122449
30.42031746,31.66984127,nan
31.66984127,32.662857143,32.662857143
32.846802721,34.059319728,34.059319728
34.059319728,35.113469388,35.113469388
35.206530612,36.458231293,nan
36.458231293,37.325170068,37.325170068
37.61414966,38.813605442,nan
38.813605442,39.830204082,39.830204082
40.017414966,41.980408163,41.980408163
42.865124717,42.971428571,nan
43.058503401,43.564081633,nan
43.648435374,44.165442177,nan
44.165442177,44.271020408,nan
44.271020408,44.829387755,44.829387755
45.283265306,45.513469388,nan
45.590204082,46.058231293,nan
46.058231293,46.245442177,nan
46.245442177,47.056326531,47.056326531
47.69015873,47.897687075,nan
47.897687075,48.015238095,nan
48.015238095,48.38675737,nan
48.38675737,48.46585034,nan
48.46585034,49.689795918,49.689795918
49.848163265,50.34739229,nan
50.34739229,50.505578231,nan
50.505578231,50.795102041,nan
50.795102041,51.291428571,nan
51.291428571,51.391020408,nan
51.48952381,51.697959184,51.697959184
52.673741497,53.25968254,nan
53.25968254,53.556553288,nan
53.655510204,54.900680272,nan
54.900680272,55.867755102,55.867755102
56.104489796,56.222040816,nan
56.222040816,56.309115646,nan
56.309115646,56.659591837,nan
56.659591837,57.033287982,nan
57.033287982,57.843265306,57.843265306
58.261405896,58.431564626,nan
58.431564626,59.493877551,nan
59.493877551,59.600544218,nan
59.600544218,60.225306122,60.225306122
61.618503401,62.680816327,62.680816327
62.814693878,63.875918367,63.875918367
63.997823129,65.264761905,nan
65.264761905,66.107755102,66.107755102
66.490340136,67.661496599,nan
67.661496599,68.517278912,68.517278912
68.802539683,70.010340136,nan
70.010340136,70.891428571,70.891428571
71.255510204,72.334693878,72.334693878
72.450612245,73.515102041,73.515102041
73.626122449,74.88,nan
74.88,75.769795918,75.769795918
76.066394558,77.226666667,nan
77.226666667,78.116190476,78.116190476
78.412698413,80.355918367,80.355918367
81.236825397,81.747664399,nan
81.747664399,81.933424036,nan
81.933424036,82.12244898,nan
82.200816327,82.630022676,nan
82.630022676,83.121632653,83.121632653
83.69414966,83.87047619,nan
83.87047619,84.44952381,nan
84.44952381,84.658503401,nan
84.658503401,85.213061224,85.213061224
86.11047619,86.322721088,nan
86.393469388,86.717823129,nan
86.717823129,86.859319728,nan
86.859319728,86.955102041,nan
87.048707483,87.982040816,87.982040816
88.511564626,88.688979592,nan
88.772789116,89.264761905,nan
89.264761905,89.689251701,nan
89.689251701,90.26122449,90.26122449
91.060680272,91.217414966,nan
91.217414966,91.905306122,nan
91.905306122,92.991564626,nan
92.991564626,93.289795918,nan
93.289795918,94.187755102,94.187755102
94.48707483,94.624217687,nan
94.624217687,94.780952381,nan
94.780952381,95.220680272,nan
95.220680272,95.510204082,nan
95.510204082,95.808435374,nan
95.808435374,96.482721088,96.482721088
96.707482993,96.859863946,nan
96.859863946,97.023129252,nan
97.023129252,97.567346939,nan
97.567346939,97.828571429,nan
97.828571429,98.933877551,98.933877551
99.98984127,101.110204082,101.110204082
