word_start,word_end,line_end
23.368163265,23.742040816,nan
23.742040816,24.415782313,24.415782313
24.626938776,24.736326531,nan
24.736326531,24.870204082,nan
24.870204082,25.000816327,nan
25.000816327,25.175510204,nan
25.262040816,25.694331066,nan
25.804081633,26.390929705,26.390929705
27.845079365,27.998911565,nan
27.998911565,28.199183673,nan
28.265941043,28.76553288,nan
28.932063492,29.698321995,29.698321995
31.80952381,32.08707483,nan
32.08707483,32.228571429,nan
32.361360544,32.515192744,nan
32.631292517,32.914285714,32.914285714
32.914285714,33.184217687,nan
33.184217687,33.306122449,nan
33.44399093,34.151473923,nan
34.265396825,34.542585034,nan
34.542585034,35.210884354,35.210884354
36.620770975,36.728163265,nan
36.728163265,37.01260771,nan
37.01260771,37.176961451,nan
37.231746032,37.276734694,nan
37.276734694,37.743310658,nan
38.093786848,38.34122449,38.34122449
40.973061224,41.102222222,nan
41.102222222,41.313378685,nan
41.363446712,41.810430839,nan
41.810430839,41.93015873,nan
42.036825397,42.198639456,nan
42.314013605,43.127437642,43.127437642
43.743492063,43.907482993,nan
43.907482993,44.194829932,nan
44.290612245,44.408163265,nan
44.493786848,44.607709751,nan
44.667936508,45.017687075,45.017687075
45.426938776,45.521269841,nan
45.521269841,45.754920635,nan
45.754920635,45.78829932,nan
45.78829932,46.43845805,nan
46.43845805,46.5661678,nan
46.5661678,46.6430839,nan
46.718548753,47.071201814,47.071201814
49.734240363,49.844535147,nan
49.844535147,50.272653061,nan
50.368435374,50.654331066,nan
50.654331066,50.850612245,nan
50.924263039,51.444897959,51.444897959
51.667301587,52.012698413,nan
52.012698413,52.543854875,nan
52.543854875,52.813786848,nan
52.813786848,53.093877551,nan
53.093877551,53.743673469,53.743673469
54.02122449,54.089795918,nan
54.180861678,54.442086168,nan
54.442086168,54.721814059,nan
54.815056689,54.87600907,nan
54.87600907,55.262040816,nan
55.394104308,55.513469388,nan
55.568253968,55.855600907,55.855600907
58.022312925,58.276281179,nan
58.276281179,58.533151927,nan
58.533151927,59.399546485,59.399546485
59.399546485,59.541768707,nan
59.541768707,60.087437642,nan
60.162902494,60.775328798,nan
60.775328798,60.919002268,nan
60.919002268,61.239727891,61.239727891
62.399274376,62.473287982,nan
62.631473923,63.094421769,nan
63.214875283,63.608163265,nan
63.608163265,63.753287982,nan
63.905668934,64.320725624,nan
64.320725624,64.702403628,64.702403628
66.728344671,66.94276644,nan
67.014240363,67.152108844,nan
67.152108844,67.279818594,nan
67.410430839,67.674557823,67.674557823
67.816780045,68.636734694,nan
68.636734694,68.895056689,nan
68.895056689,69.46829932,nan
69.46829932,70.106848073,70.106848073
71.087891156,71.636462585,nan
71.636462585,71.76707483,nan
71.900589569,72.13569161,nan
72.13569161,72.176326531,nan
72.176326531,72.359183673,nan
72.452063492,72.727800454,nan
72.727800454,72.926984127,nan
72.993378685,73.653696145,73.653696145
75.86829932,76.017777778,nan
76.017777778,76.213696145,nan
76.289160998,76.579410431,nan
76.755011338,76.898684807,nan
77.001723356,77.10185941,nan
77.254240363,77.763628118,77.763628118
78.638730159,78.721451247,nan
78.798367347,79.061768707,nan
79.149569161,79.267120181,nan
79.346938776,79.555918367,nan
79.555918367,79.879183673,79.879183673
79.986938776,80.127709751,nan
80.127709751,80.579047619,nan
80.579047619,80.618231293,nan
80.618231293,81.271292517,nan
81.271292517,81.381587302,nan
81.381587302,81.528888889,nan
81.590566893,82.275555556,82.275555556
84.645442177,84.764444444,nan
84.764444444,85.132335601,nan
85.254965986,85.549569161,nan
85.549569161,85.757460317,nan
85.82675737,86.50739229,86.50739229
86.50739229,86.936961451,nan
86.936961451,87.31138322,nan
87.436190476,87.858503401,nan
87.858503401,88.063129252,nan
88.063129252,88.817777778,88.817777778
88.817777778,88.965079365,nan
89.086258503,89.353287982,nan
89.353287982,89.650793651,nan
89.752380952,89.785759637,nan
89.785759637,90.068752834,nan
90.1630839,90.336507937,nan
90.438820862,90.855328798,90.855328798
110.614058957,110.90031746,nan
110.995736961,111.818594104,111.818594104
111.818594104,112.175600907,nan
112.175600907,112.335238095,nan
112.335238095,112.856235828,nan
112.856235828,113.262585034,nan
113.262585034,113.459954649,nan
113.459954649,114.227664399,114.227664399
115.076281179,115.145941043,nan
115.145941043,115.345124717,nan
115.345124717,116.070748299,nan
116.070748299,116.3261678,nan
116.3261678,116.426303855,nan
116.532244898,117.456689342,117.456689342
119.099501134,119.365079365,nan
119.365079365,119.630657596,nan
119.630657596,120.186485261,120.186485261
120.186485261,120.337414966,nan
120.482539683,120.742312925,nan
120.742312925,120.867120181,nan
121.003537415,121.30829932,nan
121.30829932,121.549206349,nan
121.549206349,122.666666667,122.666666667
123.856689342,124.003265306,nan
124.003265306,124.135328798,nan
124.135328798,124.308027211,nan
124.308027211,124.473469388,nan
124.598276644,124.71292517,nan
124.849342404,125.010430839,nan
125.096054422,125.264399093,nan
125.355827664,125.794104308,125.794104308
128.262675737,128.355555556,nan
128.355555556,128.618231293,nan
128.618231293,129.079727891,nan
129.079727891,129.26984127,nan
129.333696145,129.451247166,nan
129.621043084,130.140589569,130.140589569
130.969251701,131.069387755,nan
131.202902494,131.484807256,nan
131.57877551,131.802267574,nan
131.802267574,131.995283447,nan
131.995283447,132.107029478,132.107029478
132.343582766,132.461133787,nan
132.461133787,132.958911565,nan
132.958911565,132.998095238,nan
132.998095238,133.703401361,nan
133.703401361,133.82675737,nan
133.82675737,134.03138322,nan
134.03138322,134.523356009,134.523356009
137.011882086,137.104761905,nan
137.104761905,137.520181406,nan
137.626122449,137.920725624,nan
137.920725624,138.115192744,nan
138.187755102,138.811791383,138.811791383
138.881451247,139.261678005,nan
139.261678005,139.676371882,nan
139.814603175,140.07292517,nan
140.07292517,140.339954649,nan
140.339954649,141.186031746,141.186031746
141.186031746,141.315192744,nan
141.431292517,141.727346939,nan
141.727346939,141.968253968,nan
142.030657596,142.068390023,nan
142.068390023,142.537505669,nan
142.693877551,142.850612245,nan
142.850612245,143.209070295,143.209070295
145.432380952,145.689251701,nan
145.689251701,145.726984127,nan
145.726984127,145.941768707,nan
145.941768707,146.525170068,146.525170068
146.765714286,146.928253968,nan
146.928253968,147.011337868,nan
147.086984127,147.448888889,nan
147.448888889,147.723174603,nan
147.723174603,147.994920635,nan
147.994920635,148.629478458,148.629478458
150.034285714,150.177777778,nan
150.177777778,150.424126984,nan
150.424126984,150.97324263,nan
151.027301587,152.054421769,152.054421769
153.997278912,154.478004535,nan
154.530793651,154.702947846,nan
154.826666667,155.039047619,155.039047619
155.10984127,155.640634921,nan
155.640634921,155.826349206,nan
155.888253968,156.106349206,nan
156.179047619,156.388571429,nan
156.458412698,157.004444444,nan
157.004444444,157.743310658,157.743310658
158.86984127,159.045079365,nan
159.045079365,159.234285714,nan
159.234285714,159.634285714,nan
159.738412698,159.895510204,nan
160.012698413,160.624036281,160.624036281
163.168253968,163.221768707,nan
163.288888889,163.490249433,nan
163.55047619,163.978412698,nan
163.978412698,164.107029478,nan
164.226031746,164.368253968,nan
164.519365079,165.035827664,165.035827664
165.86031746,165.950113379,nan
166.043174603,166.366031746,nan
166.473650794,166.595918367,nan
166.661587302,166.784580499,nan
166.84952381,167.14739229,167.14739229
167.277460317,167.366349206,nan
167.366349206,167.86031746,nan
167.86031746,167.906031746,nan
167.906031746,168.562539683,nan
168.562539683,168.692063492,nan
168.692063492,168.844444444,nan
168.844444444,169.411337868,169.411337868
171.879183673,171.994557823,nan
171.994557823,172.466213152,nan
172.531156463,172.817414966,nan
172.817414966,173.092789116,nan
173.092789116,173.827482993,173.827482993
173.827482993,174.174693878,nan
174.174693878,174.591836735,nan
174.730884354,174.993197279,nan
174.993197279,175.251156463,nan
175.251156463,176.08707483,176.08707483
176.365714286,176.503945578,nan
176.503945578,176.638911565,nan
176.638911565,177.007891156,nan
177.007891156,177.045986395,nan
177.045986395,177.432108844,nan
177.560816327,177.706666667,nan
177.706666667,178.024489796,178.024489796
