word_start,word_end,line_end
15.258412698,15.531972789,nan
15.531972789,15.673469388,nan
15.673469388,15.906122449,nan
15.983673469,16.293877551,nan
16.293877551,16.751020408,16.751020408
17.943945578,18.387301587,18.387301587
21.999455782,22.156190476,nan
22.156190476,22.297687075,nan
22.297687075,22.441360544,nan
22.441360544,22.587210884,nan
22.587210884,22.743945578,nan
22.743945578,23.369433107,nan
23.369433107,23.512380952,nan
23.512380952,24.170340136,24.170340136
24.389659864,24.776417234,nan
24.831564626,25.434557823,nan
25.434557823,25.896054422,nan
25.896054422,26.561451247,26.561451247
26.793469388,26.950204082,nan
26.950204082,27.085714286,nan
27.085714286,27.312244898,nan
27.387755102,27.836734694,nan
27.836734694,27.991836735,nan
27.991836735,28.133877551,nan
28.133877551,28.290612245,nan
28.290612245,28.444081633,nan
28.444081633,28.948752834,28.948752834
29.193469388,29.340408163,nan
29.340408163,29.493877551,nan
29.493877551,29.78122449,nan
29.78122449,29.944489796,nan
29.944489796,30.193197279,nan
30.248163265,30.537142857,nan
30.537142857,30.692244898,nan
30.692244898,31.412244898,31.412244898
31.570612245,31.732244898,nan
31.732244898,31.879183673,nan
31.879183673,32.027755102,nan
32.027755102,32.184489796,nan
32.184489796,32.331428571,nan
32.331428571,32.912653061,nan
32.912653061,33.074285714,nan
33.074285714,33.753877551,33.753877551
33.980408163,34.422857143,nan
34.422857143,35.035102041,nan
35.035102041,35.479183673,nan
35.479183673,36.153877551,36.153877551
36.37877551,36.543673469,nan
36.543673469,36.687346939,nan
36.687346939,36.979591837,nan
36.979591837,37.423673469,nan
37.423673469,37.580408163,nan
37.580408163,37.732244898,nan
37.732244898,37.884081633,nan
37.884081633,38.03755102,nan
38.03755102,38.472562358,38.472562358
38.791836735,38.942040816,nan
38.942040816,39.080816327,nan
39.080816327,39.374693878,nan
39.374693878,39.537959184,nan
39.537959184,39.831836735,nan
39.831836735,40.120816327,nan
40.120816327,40.274285714,nan
40.274285714,40.751020408,40.751020408
40.445714286,40.600090703,nan
40.600090703,40.75537415,nan
40.75537415,40.928072562,nan
40.928072562,41.079002268,nan
41.079002268,41.356190476,nan
41.356190476,41.633378685,nan
41.633378685,42.224036281,nan
42.224036281,42.32707483,nan
42.390929705,42.889795918,nan
42.889795918,43.023673469,nan
43.023673469,43.155918367,nan
43.155918367,43.291428571,nan
43.291428571,43.44,nan
43.44,43.725714286,nan
43.725714286,44.03755102,nan
44.03755102,44.181768707,nan
44.181768707,44.333061224,nan
44.333061224,44.656326531,nan
44.656326531,44.808163265,nan
44.808163265,45.240816327,45.240816327
45.240816327,45.337687075,nan
45.412244898,45.555918367,nan
45.555918367,45.848163265,nan
45.848163265,46.022857143,nan
46.022857143,46.291156463,nan
46.499591837,46.739591837,nan
46.739591837,46.904489796,nan
46.904489796,47.054693878,nan
47.054693878,47.464489796,nan
47.683265306,48.128979592,nan
48.128979592,48.284081633,nan
48.284081633,48.716326531,nan
48.860408163,49.029659864,nan
49.136326531,49.299591837,nan
49.299591837,49.448163265,nan
49.448163265,49.6,nan
49.6,49.745306122,nan
49.745306122,50.076734694,50.076734694
50.076734694,50.244897959,nan
50.244897959,50.404897959,nan
50.404897959,50.564897959,nan
50.564897959,50.718367347,nan
50.718367347,51.213061224,nan
51.291428571,51.438367347,nan
51.438367347,51.580408163,nan
51.580408163,51.828571429,nan
51.828571429,51.985306122,nan
51.985306122,52.697687075,nan
52.775510204,52.912653061,nan
52.912653061,53.191836735,nan
53.191836735,53.355102041,nan
53.355102041,53.474285714,nan
53.474285714,53.62122449,nan
53.62122449,53.921632653,nan
53.921632653,54.230204082,nan
54.230204082,54.373877551,nan
54.373877551,54.527346939,nan
54.527346939,54.847346939,54.847346939
54.847346939,54.991020408,nan
54.991020408,55.137959184,nan
55.137959184,55.443265306,nan
55.443265306,55.611428571,nan
55.611428571,55.893333333,nan
56.029387755,56.194285714,nan
56.194285714,56.460408163,nan
56.460408163,56.600816327,nan
56.600816327,56.765714286,nan
56.765714286,56.912653061,nan
56.912653061,57.260408163,57.260408163
57.260408163,57.394285714,nan
57.394285714,57.539591837,nan
57.539591837,57.812244898,nan
57.812244898,57.960816327,nan
57.960816327,58.128979592,nan
58.128979592,58.409795918,nan
58.409795918,58.569795918,nan
58.569795918,58.72,nan
58.72,59.16244898,nan
59.16244898,59.307755102,nan
59.307755102,59.705034014,59.705034014
60.230204082,60.372244898,nan
60.372244898,60.563265306,nan
60.563265306,60.855510204,nan
60.855510204,61.449795918,nan
61.449795918,61.531428571,nan
61.583673469,61.725714286,nan
