word_start,word_end,line_end
18.27845805,18.420680272,nan
18.55600907,18.7138322,nan
18.7138322,18.971428571,nan
18.971428571,19.557006803,nan
20.484353741,20.67755102,nan
20.741950113,21.03446712,nan
21.131972789,22.086530612,22.086530612
22.650340136,22.800544218,nan
22.8861678,23.140136054,nan
23.140136054,23.341496599,nan
23.341496599,23.984761905,nan
24.409977324,24.463673469,nan
24.5569161,24.810884354,nan
24.810884354,24.957823129,nan
24.957823129,26.187755102,26.187755102
27.027664399,27.206530612,nan
27.288888889,27.524716553,nan
27.524716553,28.325442177,nan
28.917913832,29.202721088,nan
29.202721088,29.349659864,nan
29.349659864,29.636281179,nan
29.636281179,30.654693878,30.654693878
31.326984127,31.521088435,nan
31.655328798,31.923809524,nan
31.923809524,32.910204082,nan
33.239002268,33.556462585,nan
33.556462585,33.839455782,nan
33.839455782,35.282721088,35.282721088
35.763809524,35.959727891,nan
35.959727891,36.018503401,nan
36.018503401,36.201360544,nan
36.292789116,36.593197279,nan
36.593197279,37.298503401,nan
37.394285714,37.664217687,nan
37.664217687,37.921088435,nan
37.921088435,38.191020408,nan
38.191020408,38.471836735,nan
38.471836735,39.814965986,39.814965986
40.106666667,40.376598639,nan
40.376598639,40.537687075,nan
40.653061224,40.790204082,nan
40.938231293,41.467210884,nan
41.467210884,42.020861678,nan
42.020861678,42.476190476,nan
42.476190476,44.151292517,44.151292517
45.576417234,45.675102041,nan
45.815873016,46.146031746,nan
46.146031746,46.776598639,nan
47.707936508,47.856326531,nan
47.976417234,48.272108844,nan
48.272108844,48.409251701,nan
48.560544218,48.948752834,nan
48.948752834,49.74585034,49.74585034
49.906575964,50.10521542,nan
50.171428571,50.459863946,nan
50.459863946,51.121632653,nan
52.092517007,52.21877551,nan
52.353741497,52.634920635,nan
52.634920635,52.749931973,nan
52.916099773,53.349659864,nan
53.349659864,54.27845805,54.27845805
54.27845805,54.469659864,nan
54.525170068,54.840816327,nan
54.840816327,55.76707483,nan
56.482539683,56.74739229,nan
56.74739229,57.035827664,nan
57.035827664,57.552108844,nan
57.656235828,57.974421769,nan
58.06984127,58.635827664,58.635827664
58.635827664,58.740680272,nan
58.893424036,59.177142857,nan
59.177142857,59.846530612,nan
60.790929705,60.956734694,nan
61.086621315,61.283265306,nan
61.360544218,61.623582766,nan
61.623582766,64.700952381,64.700952381
66.318367347,66.477278912,nan
66.585034014,66.842630385,nan
66.842630385,67.452517007,nan
68.203174603,68.475283447,nan
68.475283447,68.588843537,nan
68.71292517,69.03292517,nan
69.146485261,69.328979592,nan
69.451247166,69.864489796,69.864489796
70.663038549,70.867120181,nan
70.935147392,71.074829932,nan
71.183673469,71.780136054,nan
72.549659864,72.847165533,nan
72.847165533,73.029659864,nan
73.081179138,73.358730159,nan
73.358730159,74.157278912,74.157278912
75.034920635,75.546485261,nan
75.546485261,76.299319728,nan
76.770975057,76.865306122,nan
76.928798186,77.326077098,nan
77.326077098,77.44,nan
77.607256236,78.367346939,78.367346939
79.370521542,79.575963719,nan
79.644444444,79.829478458,nan
79.829478458,80.587755102,nan
81.014058957,81.136326531,nan
81.293424036,81.711020408,nan
81.817687075,82.068027211,nan
82.068027211,82.271201814,nan
82.271201814,83.369795918,83.369795918
83.765986395,84.029024943,nan
84.029024943,84.197006803,nan
84.306575964,84.823945578,nan
85.667120181,85.87755102,nan
86.031746032,86.321632653,nan
86.450793651,87.33170068,87.33170068
88.112471655,88.662857143,nan
88.662857143,89.822040816,nan
89.973696145,90.287891156,nan
90.461678005,90.900680272,nan
90.900680272,92.59537415,92.59537415
93.563718821,93.675102041,nan
93.804988662,94.120634921,nan
94.120634921,94.789659864,nan
95.73877551,96.025396825,nan
96.025396825,96.292063492,nan
96.292063492,96.562358277,nan
96.562358277,96.959637188,nan
96.959637188,97.793741497,97.793741497
97.904761905,98.09414966,nan
98.204081633,98.465306122,nan
98.465306122,99.28707483,nan
100.107029478,100.231836735,nan
100.371882086,100.624036281,nan
100.624036281,100.758639456,nan
100.917913832,101.317006803,nan
101.317006803,102.283900227,102.283900227
102.283900227,102.421768707,nan
102.565079365,102.831746032,nan
102.831746032,103.723537415,nan
104.437188209,104.637823129,nan
104.732879819,105.012244898,nan
105.012244898,105.525986395,nan
105.645351474,105.980045351,nan
106.091609977,106.487528345,106.487528345
106.619501134,106.76244898,nan
106.878911565,107.058503401,nan
107.170975057,108.038095238,nan
108.832653061,108.97414966,nan
109.104761905,109.252789116,nan
109.380498866,109.483537415,nan
109.650793651,113.066666667,113.066666667
114.341950113,114.594829932,nan
114.715646259,114.931519274,nan
114.931519274,115.051972789,nan
115.121995465,115.674557823,nan
115.960090703,116.088888889,nan
116.088888889,116.228571429,nan
116.228571429,116.930612245,nan
116.930612245,117.838367347,117.838367347
118.641269841,118.857142857,nan
119.045804989,119.247165533,nan
119.247165533,119.434013605,nan
119.434013605,119.878911565,nan
120.027210884,120.189387755,nan
120.301133787,120.441904762,nan
120.555102041,121.256054422,nan
121.327891156,122.540408163,122.540408163
123.049433107,123.184761905,nan
123.30521542,123.58276644,nan
123.58276644,123.737687075,nan
123.876643991,124.633106576,nan
124.633106576,124.92154195,nan
124.92154195,125.219047619,nan
125.219047619,125.783219955,nan
125.783219955,126.437006803,126.437006803
127.366530612,127.662585034,nan
127.662585034,128.718367347,nan
128.718367347,128.90122449,nan
128.966893424,129.545124717,nan
129.737868481,130.052154195,nan
130.1569161,130.659410431,nan
130.659410431,131.731156463,131.731156463
132.819954649,132.911020408,nan
133.090249433,133.369614512,nan
133.369614512,133.677278912,nan
134.993197279,135.174965986,nan
135.274376417,135.562811791,nan
135.562811791,135.824036281,nan
135.824036281,136.232199546,nan
136.232199546,137.179138322,137.179138322
137.179138322,137.420408163,nan
137.420408163,137.714285714,nan
137.714285714,138.627482993,nan
139.386848073,139.506938776,nan
139.609977324,139.907482993,nan
139.907482993,140.033741497,nan
140.192290249,140.618594104,nan
140.618594104,141.444353741,141.444353741
141.578231293,141.80861678,nan
141.80861678,142.120634921,nan
