word_start,word_end,line_end
11.554829932,12.077278912,nan
12.251428571,12.604081633,nan
12.604081633,12.934965986,nan
12.934965986,13.309387755,nan
13.309387755,14.005986395,nan
14.005986395,14.171428571,nan
14.171428571,15.023310658,15.023310658
17.149387755,18.249795918,nan
18.249795918,18.455510204,nan
18.455510204,18.680453515,nan
18.853877551,19.533061224,nan
19.533061224,20.439365079,20.439365079
22.729795918,23.954285714,nan
23.954285714,24.127346939,nan
24.127346939,24.499591837,nan
24.499591837,24.809795918,nan
24.809795918,25.142857143,nan
25.142857143,26.110839002,26.110839002
28.382040816,29.391020408,nan
29.391020408,30.130793651,nan
30.130793651,30.757732426,nan
30.757732426,32.595011338,32.595011338
33.956281179,35.024399093,nan
35.024399093,35.398820862,nan
35.398820862,35.755827664,nan
35.755827664,36.109931973,nan
36.109931973,37.482811791,37.482811791
39.598730159,40.663945578,nan
40.663945578,41.006439909,nan
41.006439909,41.369251701,nan
41.369251701,41.729160998,nan
41.729160998,42.042630385,nan
42.042630385,43.167346939,43.167346939
50.854603175,51.362630385,nan
51.531972789,51.903854875,nan
51.903854875,51.941950113,nan
51.941950113,52.152380952,nan
52.152380952,52.419047619,nan
52.56707483,53.275283447,nan
53.275283447,53.449433107,nan
53.449433107,54.341950113,54.341950113
56.418684807,57.07755102,nan
57.07755102,58.151473923,nan
58.253061224,58.877097506,nan
59.022222222,59.312471655,nan
59.312471655,59.863945578,59.863945578
62.020498866,63.071201814,nan
63.071201814,63.442721088,nan
63.442721088,64.269931973,nan
64.269931973,64.420861678,nan
64.420861678,65.313378685,65.313378685
67.658956916,69.427664399,nan
69.427664399,69.952653061,nan
69.952653061,70.292244898,nan
70.292244898,71.031292517,71.031292517
73.257142857,75.026938776,nan
75.026938776,75.399546485,nan
75.611428571,75.902040816,nan
75.902040816,76.575056689,76.575056689
78.928253968,79.933968254,nan
79.933968254,80.261587302,nan
80.261587302,80.62984127,nan
80.62984127,80.997732426,nan
80.997732426,81.346031746,nan
81.346031746,82.249433107,82.249433107
90.126077098,91.501133787,nan
91.555555556,91.921995465,nan
91.921995465,92.598276644,nan
92.598276644,92.798548753,nan
92.798548753,93.503854875,93.503854875
95.712653061,96.123356009,nan
96.38893424,97.262585034,nan
97.410612245,97.66893424,nan
97.808253968,98.17106576,nan
98.17106576,99.11292517,99.11292517
101.305759637,101.971882086,nan
102.568344671,102.70185941,nan
102.70185941,103.161904762,nan
103.161904762,104.85260771,104.85260771
106.91047619,107.544671202,nan
107.990204082,108.59755102,nan
108.8,109.017687075,nan
109.017687075,110.439909297,110.439909297
112.55292517,113.110204082,nan
113.576054422,114.342312925,nan
114.342312925,114.838639456,nan
114.838639456,116.172335601,116.172335601
118.210612245,118.907936508,nan
119.481179138,119.655328798,nan
119.655328798,120.029024943,nan
120.029024943,120.334512472,nan
120.334512472,120.650884354,nan
120.650884354,121.544852608,121.544852608
129.410612245,130.031746032,nan
130.086893424,130.751564626,nan
130.858956916,131.041814059,nan
131.198548753,132.012698413,nan
132.012698413,132.19047619,nan
132.19047619,133.061950113,133.061950113
134.996825397,135.383945578,nan
135.624126984,135.926349206,nan
135.926349206,136.231473923,nan
136.386031746,137.020952381,nan
137.071746032,138.332879819,138.332879819
140.561269841,142.466031746,nan
142.685170068,143.928888889,143.928888889
146.250884354,147.152108844,nan
147.452517007,147.992380952,nan
148.048979592,148.349387755,nan
148.349387755,148.65414966,nan
148.710748299,150.105396825,150.105396825
151.893333333,153.6,nan
153.6,155.202176871,155.202176871
157.509659864,158.615510204,nan
158.615510204,158.811428571,nan
158.811428571,159.436190476,nan
159.436190476,160.050793651,nan
160.050793651,161.401904762,161.401904762
168.740136054,169.23537415,nan
169.400453515,169.664399093,nan
169.752380952,170.446077098,nan
170.503401361,170.826303855,nan
170.826303855,171.063038549,nan
171.141950113,171.341496599,nan
171.341496599,171.978594104,171.978594104
174.309297052,175.412244898,nan
175.412244898,175.731519274,nan
175.731519274,176.413605442,nan
176.413605442,177.609433107,177.609433107
179.885714286,180.977777778,nan
180.977777778,181.282539683,nan
181.282539683,181.997278912,nan
181.997278912,183.553741497,183.553741497
185.58185941,186.652154195,nan
186.652154195,186.93877551,nan
186.93877551,187.091156463,nan
187.141950113,187.953922902,nan
188.023582766,189.718639456,189.718639456
191.187301587,192.145124717,nan
192.221315193,193.56154195,nan
193.701587302,194.548390023,194.548390023
196.81814059,198.008163265,nan
198.058956916,198.214965986,nan
198.214965986,198.484172336,nan
198.546938776,199.238820862,nan
199.291428571,200.291428571,200.291428571
