word_start,word_end,line_end
24.119727891,25.33877551,nan
25.745124717,26.296598639,nan
26.296598639,26.575238095,nan
26.575238095,26.993197279,nan
26.993197279,27.624489796,nan
27.695600907,28.019954649,nan
28.229659864,28.473469388,nan
28.694058957,28.804353741,nan
28.804353741,29.361632653,nan
29.361632653,29.594557823,nan
29.734603175,30.406530612,nan
30.406530612,30.610430839,nan
30.749024943,31.017505669,nan
31.017505669,31.410793651,nan
31.410793651,31.638639456,nan
31.8461678,32.223492063,nan
32.223492063,33.613061224,33.613061224
35.584580499,37.424761905,nan
37.424761905,38.237460317,nan
38.237460317,38.334693878,nan
38.429024943,39.876643991,nan
40.199546485,40.629115646,nan
40.629115646,40.768435374,nan
40.768435374,41.836553288,nan
41.836553288,42.208072562,nan
42.208072562,42.369160998,nan
42.538956916,44.923356009,44.923356009
47.002993197,47.287437642,nan
47.287437642,47.525442177,nan
47.525442177,48.851882086,nan
49.081904762,50.213151927,nan
50.387301587,50.616598639,nan
50.735600907,52.140408163,nan
52.140408163,52.349387755,nan
52.349387755,52.911020408,nan
53.098231293,53.507482993,53.507482993
53.77015873,54.572698413,nan
54.665578231,54.967437642,nan
54.967437642,55.304126984,nan
55.304126984,56.087800454,nan
56.087800454,56.499954649,nan
56.499954649,56.792380952,nan
56.792380952,58.058594104,58.058594104
58.40399093,58.659410431,nan
58.659410431,59.475011338,nan
59.641904762,60.218049887,nan
60.604081633,60.717278912,nan
60.83047619,62.679365079,nan
62.908662132,63.936145125,nan
64.278639456,64.446984127,nan
64.446984127,64.539863946,nan
64.644353741,65.137777778,nan
65.137777778,65.28,nan
65.28,67.500408163,67.500408163
67.726802721,67.918367347,nan
67.918367347,68.104126984,nan
68.271746032,68.855873016,nan
68.855873016,69.009705215,nan
69.009705215,69.6830839,nan
69.6830839,70.249070295,nan
70.37968254,72.669750567,72.669750567
73.433106576,73.734965986,nan
73.734965986,73.935238095,nan
73.935238095,74.600634921,nan
74.600634921,74.750839002,nan
74.750839002,75.418412698,nan
75.418412698,76.080181406,nan
76.132426304,78.113378685,78.113378685
99.81968254,101.246258503,nan
101.500226757,102.06984127,nan
102.06984127,102.327437642,nan
102.327437642,102.494331066,nan
102.494331066,104.396190476,nan
104.547845805,104.812698413,nan
104.910657596,105.922902494,nan
105.922902494,106.12244898,nan
106.12244898,106.658503401,nan
106.837188209,107.438730159,nan
107.54829932,107.768888889,nan
107.936507937,109.465396825,109.465396825
110.784580499,111.33968254,nan
111.46984127,112.731428571,nan
113.070294785,113.304217687,nan
113.304217687,113.901133787,nan
113.901133787,115.646984127,115.646984127
115.911111111,116.088888889,nan
116.088888889,116.29569161,nan
116.29569161,116.839909297,nan
116.839909297,117.41968254,nan
117.47845805,117.801360544,nan
117.801360544,118.421768707,nan
118.628571429,120.944761905,120.944761905
122.710204082,123.272562358,nan
123.272562358,123.562811791,nan
123.562811791,124.554739229,nan
124.698412698,126.004535147,nan
126.439909297,126.664852608,nan
126.664852608,126.811428571,nan
126.811428571,127.557369615,nan
127.557369615,127.880997732,nan
128.264852608,128.89106576,nan
128.968707483,129.327891156,nan
129.327891156,130.093424036,130.093424036
130.093424036,130.394557823,nan
130.394557823,131.903854875,nan
131.903854875,132.219501134,nan
132.219501134,132.64399093,nan
132.64399093,133.765079365,133.765079365
134.13877551,134.367346939,nan
134.367346939,134.562539683,nan
134.708390023,134.795464853,nan
134.795464853,134.951473923,nan
135.056689342,135.987664399,nan
136.130612245,136.707482993,nan
136.838095238,137.601451247,nan
137.890249433,138.26031746,nan
138.26031746,138.407619048,nan
138.407619048,138.661587302,nan
138.661587302,139.451791383,nan
139.715192744,140.426303855,nan
140.426303855,140.620045351,nan
140.792743764,141.855782313,141.855782313
141.855782313,142.151111111,nan
142.151111111,142.252698413,nan
142.252698413,143.119092971,nan
143.267120181,143.502222222,nan
143.637188209,143.984036281,nan
144.126984127,144.326530612,nan
144.326530612,144.477460317,nan
144.477460317,144.680634921,nan
144.680634921,147.481723356,147.481723356
148.415419501,148.709297052,nan
148.709297052,148.999546485,nan
148.999546485,150.395646259,nan
150.588662132,151.858503401,nan
151.858503401,152.185034014,nan
152.185034014,153.505668934,nan
153.505668934,153.690702948,nan
153.690702948,154.335600907,nan
154.550566893,155.083900227,155.083900227
155.261678005,156.011972789,nan
156.117913832,156.48,nan
156.48,156.763718821,nan
156.906666667,157.56553288,nan
157.56553288,157.884807256,nan
157.884807256,158.09015873,nan
158.251247166,159.464852608,159.464852608
159.869387755,160.039909297,nan
160.039909297,160.966530612,nan
161.099319728,161.798639456,nan
162.031746032,162.185578231,nan
162.27845805,164.133151927,nan
164.360997732,165.511836735,nan
165.709206349,165.881904762,nan
165.881904762,166.008163265,nan
166.073469388,166.6430839,nan
166.6430839,166.795464853,nan
166.795464853,168.96,168.96
169.165351474,169.22122449,nan
169.295238095,169.499863946,nan
169.594920635,170.303129252,nan
170.303129252,170.499773243,nan
170.499773243,171.116553288,nan
171.116553288,172.222403628,172.222403628
172.683900227,172.981405896,nan
172.981405896,173.278911565,nan
173.278911565,174.68952381,nan
174.860770975,176.130612245,nan
176.130612245,176.317823129,nan
176.468027211,177.848888889,nan
177.848888889,178.021587302,nan
178.021587302,178.500498866,nan
178.702947846,179.260952381,179.260952381
179.512018141,180.247800454,nan
180.400907029,180.760090703,nan
180.760090703,181.011156463,nan
181.14829932,181.754195011,nan
181.819501134,182.164172336,nan
