word_start,word_end,line_end
16.782222222,16.992653061,nan
17.168253968,17.593469388,nan
18.839365079,18.999365079,nan
18.999365079,19.909659864,nan
21.887346939,22.008163265,nan
22.008163265,22.135510204,nan
22.135510204,22.679183673,nan
22.679183673,22.804897959,nan
22.93877551,23.623401361,23.623401361
25.103673469,25.483265306,nan
25.609795918,26.112653061,nan
26.112653061,26.248707483,nan
26.373877551,26.646530612,nan
26.646530612,27.137959184,nan
27.137959184,27.972789116,nan
29.696326531,29.853605442,nan
29.990204082,30.193197279,nan
30.249795918,30.52244898,nan
30.52244898,30.815782313,nan
30.883265306,31.791746032,31.791746032
33.204897959,33.492653061,nan
33.588571429,34.212063492,nan
34.386938776,34.935873016,nan
35.133061224,35.826938776,nan
35.826938776,36.226031746,nan
38.019591837,38.440816327,nan
38.440816327,38.585396825,nan
38.702040816,38.829206349,nan
38.933877551,39.333877551,nan
39.333877551,39.590748299,nan
39.590748299,40.035555556,40.035555556
41.376326531,41.676190476,nan
41.787755102,42.543673469,nan
42.543673469,43.028571429,nan
43.028571429,43.783401361,nan
43.783401361,44.172698413,nan
46.220408163,46.611156463,nan
46.611156463,46.991746032,nan
47.062857143,47.30122449,nan
47.30122449,47.547755102,nan
47.547755102,49.010793651,49.010793651
49.95047619,50.140952381,nan
50.337959184,50.603673469,nan
50.692244898,50.877460317,nan
50.984489796,51.126349206,nan
51.222857143,51.420952381,nan
51.510204082,51.768163265,nan
51.768163265,52.77968254,52.77968254
54.432653061,54.734693878,nan
54.734693878,54.860408163,nan
54.860408163,54.989387755,nan
54.989387755,55.121632653,nan
55.121632653,55.469387755,nan
55.469387755,55.667301587,nan
55.771428571,56.073469388,nan
56.073469388,56.675555556,56.675555556
57.934693878,58.204081633,nan
58.204081633,58.778367347,nan
58.969795918,59.093333333,nan
59.190204082,59.306666667,nan
59.399183673,59.88244898,nan
59.88244898,59.977142857,nan
60.097959184,60.182857143,nan
60.241632653,60.81015873,60.81015873
62.623673469,63.066122449,nan
63.066122449,63.320816327,nan
63.320816327,63.696326531,nan
63.696326531,63.973877551,nan
63.973877551,65.13015873,65.13015873
66.040816327,66.416326531,nan
66.416326531,66.72,nan
68.052244898,68.195918367,nan
68.195918367,68.993015873,nan
71.12,71.451428571,nan
71.547755102,71.66984127,nan
71.753469388,71.842539683,nan
71.952653061,72.189387755,nan
72.189387755,72.363174603,nan
72.481632653,73.097142857,73.097142857
74.525714286,75.273650794,nan
75.351836735,75.903492063,nan
76.300408163,76.533877551,nan
76.533877551,77.19755102,nan
77.41877551,77.56244898,nan
77.56244898,78.217142857,nan
78.93877551,79.095873016,nan
79.190204082,79.733877551,nan
79.733877551,79.965714286,nan
79.965714286,80.089977324,nan
80.089977324,80.231111111,nan
80.395102041,80.64,nan
80.64,81.094603175,81.094603175
82.393469388,82.791836735,nan
82.791836735,83.53015873,nan
84.040816327,84.233469388,nan
84.233469388,85.379047619,nan
87.490612245,87.784489796,nan
87.784489796,87.931428571,nan
87.931428571,88.192244898,nan
88.279183673,88.454603175,nan
88.576326531,88.822857143,nan
88.822857143,89.485714286,89.485714286
90.737959184,90.930793651,nan
91.025306122,91.2,nan
91.2,91.906031746,nan
92.048979592,92.294603175,nan
92.42122449,92.601904762,nan
92.791836735,93.414603175,nan
95.350204082,95.55755102,nan
95.55755102,95.88244898,nan
95.88244898,96.025396825,nan
96.099591837,96.213333333,nan
96.310204082,96.653061224,nan
96.653061224,97.062040816,nan
97.198367347,98.476190476,98.476190476
99.213061224,99.357460317,nan
99.565714286,99.828979592,nan
99.916734694,100.101587302,nan
100.20244898,100.345396825,nan
100.447346939,100.634920635,nan
100.708571429,100.991020408,nan
100.991020408,102.041904762,102.041904762
103.671292517,103.97877551,nan
103.97877551,104.097959184,nan
104.097959184,104.217142857,nan
104.217142857,104.30984127,nan
104.364081633,104.731428571,nan
104.731428571,104.896507937,nan
104.974693878,105.346938776,nan
105.346938776,105.92,105.92
107.177142857,107.435102041,nan
107.435102041,108.199183673,nan
108.199183673,108.447346939,nan
108.447346939,108.520634921,nan
108.61877551,109.084081633,nan
109.084081633,109.236825397,nan
109.351836735,109.513469388,nan
109.513469388,110.08,110.08
111.911473923,112.275918367,nan
112.275918367,112.563265306,nan
112.563265306,112.847346939,nan
112.942040816,113.191836735,nan
113.191836735,114.329251701,114.329251701
117.689795918,117.829659864,nan
118.03755102,118.317278912,nan
118.431020408,118.565442177,nan
118.703673469,118.951836735,nan
118.951836735,119.222857143,nan
119.222857143,119.497142857,nan
119.497142857,120.594285714,120.594285714
123.575510204,123.859591837,nan
123.859591837,124.599183673,nan
124.599183673,124.826122449,nan
124.826122449,124.91755102,nan
125.025306122,125.490612245,nan
125.490612245,125.605442177,nan
125.750204082,125.827482993,nan
125.888979592,126.502312925,126.502312925
128.326530612,128.700408163,nan
128.700408163,128.956734694,nan
128.956734694,129.24952381,nan
129.327346939,129.573877551,nan
129.573877551,131.207256236,131.207256236
140.093061224,140.331972789,nan
140.488163265,141.014058957,nan
141.128163265,141.2861678,nan
141.371428571,141.525623583,nan
141.63755102,141.863038549,nan
142.163265306,142.211337868,nan
142.297142857,142.410884354,nan
142.52244898,143.32154195,nan
143.448163265,143.707755102,nan
143.707755102,143.949206349,143.949206349
144.592653061,144.663945578,nan
144.726530612,144.857142857,nan
144.857142857,144.986848073,nan
145.087346939,145.373061224,nan
145.373061224,145.568979592,nan
145.568979592,146.009795918,nan
146.009795918,146.119183673,nan
146.119183673,146.311111111,nan
146.406530612,146.626938776,nan
146.626938776,147.031836735,nan
147.031836735,147.192743764,nan
147.297959184,147.642630385,147.642630385
148.403265306,148.607709751,nan
148.69877551,148.855510204,nan
148.855510204,148.977777778,nan
149.090612245,149.345306122,nan
149.345306122,149.585306122,nan
149.585306122,150.033560091,nan
150.347755102,150.436281179,nan
150.519183673,150.868571429,nan
150.868571429,151.002267574,nan
151.12,151.389387755,nan
151.389387755,151.662040816,nan
151.662040816,151.869387755,nan
151.869387755,152.322902494,152.322902494
152.775510204,152.878004535,nan
152.937142857,153.182040816,nan
153.182040816,153.277097506,nan
153.333877551,153.54122449,nan
