word_start,word_end,line_end
24.64,25.669659864,nan
26.126802721,26.462040816,nan
26.462040816,27.329886621,nan
27.624489796,27.89877551,nan
28.132426304,28.943673469,28.943673469
30.105396825,30.673560091,nan
30.863673469,32.116825397,nan
32.116825397,32.740136054,32.740136054
34.09015873,34.690612245,nan
35.111111111,35.700680272,nan
36.16,36.419047619,nan
36.419047619,37.151927438,37.151927438
38.107936508,38.719274376,nan
39.121269841,39.694512472,nan
40.081269841,40.406349206,nan
40.406349206,40.901950113,40.901950113
42.153650794,43.177505669,nan
43.64952381,44.101587302,nan
44.101587302,44.245623583,nan
44.386031746,45.313741497,45.313741497
46.125714286,46.741768707,nan
47.156825397,49.005714286,49.005714286
50.102857143,51.641904762,nan
51.641904762,53.173696145,53.173696145
54.118095238,55.298321995,nan
55.573333333,56.642539683,56.642539683
56.642539683,58.387301587,nan
58.387301587,59.624126984,nan
59.624126984,60.655238095,nan
60.655238095,62.066938776,62.066938776
64.61968254,66.415238095,nan
66.415238095,67.581678005,nan
67.639365079,68.685714286,nan
68.685714286,70.600272109,70.600272109
80.64,81.513650794,nan
82.085079365,82.220408163,nan
82.372063492,82.634013605,nan
82.824126984,83.170975057,nan
83.583492063,84.073650794,nan
84.073650794,84.81814059,84.81814059
86.146031746,86.733786848,nan
87.118730159,87.382857143,nan
87.382857143,87.84399093,nan
88.147301587,88.393650794,nan
88.393650794,88.85260771,88.85260771
90.148571429,90.688435374,nan
91.126349206,91.668027211,nan
92.126984127,92.401269841,nan
92.401269841,92.756462585,92.756462585
94.10031746,94.708390023,nan
95.139047619,95.891156463,nan
96.124444444,96.388571429,nan
96.388571429,96.655238095,96.655238095
96.655238095,97.400453515,nan
98.199365079,98.466031746,nan
98.466031746,99.584580499,nan
99.641904762,100.165079365,nan
100.165079365,100.29569161,nan
100.413968254,101.021315193,101.021315193
102.115555556,102.820861678,nan
103.172063492,103.727891156,nan
104.066031746,104.881632653,104.881632653
106.115555556,106.913378685,nan
107.128888889,107.398095238,nan
107.398095238,108.093968254,nan
108.093968254,108.360634921,nan
108.360634921,109.119274376,109.119274376
110.11047619,110.962358277,nan
111.144126984,111.420952381,nan
111.420952381,112.124444444,nan
112.124444444,112.373333333,nan
112.373333333,112.599365079,112.599365079
112.599365079,114.4,nan
114.4,115.641904762,nan
115.641904762,116.637460317,nan
116.637460317,118.298412698,118.298412698
120.622585034,122.346666667,nan
122.346666667,123.626666667,nan
123.626666667,124.647619048,nan
124.647619048,126.628571429,126.628571429
136.612063492,137.573877551,nan
138.095238095,138.359365079,nan
138.359365079,139.102040816,nan
139.621587302,139.951020408,nan
140.104126984,140.391111111,nan
140.391111111,140.669387755,140.669387755
142.097777778,143.231111111,nan
143.608888889,144.134603175,nan
144.134603175,144.835918367,144.835918367
146.052063492,146.36952381,nan
146.36952381,146.67755102,nan
147.052698413,147.696326531,nan
148.099047619,148.406349206,nan
148.406349206,148.911020408,148.911020408
150.072380952,150.349206349,nan
150.349206349,150.713469388,nan
151.090793651,151.666938776,nan
152.109206349,152.346122449,nan
152.408888889,152.568163265,152.568163265
152.685714286,153.351836735,nan
154.143492063,154.43047619,nan
154.43047619,154.657959184,nan
154.956190476,155.52,nan
155.606349206,155.885714286,nan
156.104126984,157.17877551,157.17877551
158.097777778,158.374603175,nan
158.374603175,158.550204082,nan
158.862222222,159.826031746,nan
160.147301587,160.421587302,nan
160.421587302,160.809795918,160.809795918
162.158730159,162.358730159,nan
162.425396825,163.17968254,nan
163.17968254,163.31755102,nan
163.431111111,165.224489796,165.224489796
166.148571429,166.342857143,nan
166.407619048,167.105306122,nan
167.174603175,167.384126984,nan
167.453968254,169.247346939,169.247346939
168.642902494,170.305306122,nan
170.36952381,171.598367347,nan
171.662222222,172.66031746,nan
172.66031746,174.275918367,174.275918367
176.667936508,178.387301587,nan
178.387301587,179.617959184,nan
179.687619048,180.617142857,nan
180.617142857,182.608979592,182.608979592
184.60952381,186.4,nan
186.4,187.667301587,nan
187.667301587,188.604081633,nan
188.667936508,190.497959184,190.497959184
192.642539683,194.390204082,nan
194.448253968,195.667301587,nan
195.667301587,196.623673469,nan
196.680634921,198.125714286,198.125714286
