word_start,word_end,line_end
51.1984419551,51.4237950592,nan
51.4237950592,51.5590673957,nan
51.5590673957,51.7499317808,nan
51.7499317808,52.0019817114,nan
52.0019817114,52.3786464725,nan
52.3786464725,53.263673469,nan
53.7803925118,54.0263356982,nan
54.0263356982,55.666938776,55.666938776
57.1673269593,57.3358035401,nan
57.3358035401,57.5199609065,nan
57.5199609065,57.9728656274,nan
57.9728656274,58.19257412,nan
58.19257412,58.8243216129,nan
58.8243216129,59.585306122,nan
60.4125121847,60.8539458601,nan
60.8539458601,62.16707483,62.16707483
64.0067849049,64.2592910108,nan
64.2592910108,64.4942907861,nan
64.4942907861,64.8585002029,nan
64.8585002029,65.219865374,nan
65.219865374,66.041904762,nan
66.7765394853,67.3437243442,nan
67.3437243442,68.440816327,68.440816327
70.4015033006,70.7932605184,nan
70.7932605184,71.0260643004,nan
71.0260643004,71.2562415876,nan
71.2562415876,71.6942214375,nan
71.6942214375,72.546394558,nan
72.9529933191,73.2722185966,nan
73.2722185966,74.861133787,74.861133787
89.5637955298,89.7834224107,nan
89.7834224107,89.9976250991,nan
89.9976250991,90.2309035674,nan
90.2309035674,90.3594919518,nan
90.3594919518,91.715396825,nan
92.167362547,92.2668951343,nan
92.2668951343,92.9115608712,nan
92.9115608712,94.196825397,94.196825397
96.0041728901,96.181290041,nan
96.181290041,96.3960262972,nan
96.3960262972,96.8523048837,nan
96.8523048837,98.314512472,nan
98.8019186867,99.3604461533,nan
99.3604461533,100.708571429,100.708571429
102.4031489786,102.6125800986,nan
102.6125800986,102.8916708234,nan
102.8916708234,103.0682093944,nan
103.0682093944,103.6377613261,nan
103.6377613261,104.386031746,nan
105.0074819186,105.1845846958,nan
105.1845846958,105.8142574038,nan
105.8142574038,107.616507937,107.616507937
108.8301886652,109.003433742,nan
109.003433742,109.1769312438,nan
109.1769312438,109.6164734457,nan
109.6164734457,110.943492063,nan
111.6029587676,112.1615342174,nan
112.1615342174,113.203809524,113.203809524
115.2082390642,116.4412389692,nan
116.4412389692,117.8699588158,nan
117.8699588158,121.4921016692,121.4921016692
121.4921016692,124.1942426478,nan
124.1942426478,127.9280219744,127.9280219744
127.9280219744,128.6494651115,nan
128.6494651115,129.3294563699,nan
129.3294563699,130.8916505305,nan
130.8916505305,134.0587622999,134.0587622999
134.0587622999,134.8846952629,nan
134.8846952629,135.3395091975,nan
135.3395091975,137.2512039151,nan
137.2512039151,137.7867179783,nan
137.7867179783,140.723809524,140.723809524
142.0282621089,142.3751586293,nan
142.3751586293,143.0043781006,nan
143.0043781006,144.802539683,144.802539683
145.0497291413,145.4142092251,nan
145.4142092251,145.5393197705,nan
145.5393197705,146.1827100461,nan
146.1827100461,146.604518854,nan
146.604518854,147.912335601,147.912335601
148.3482871855,148.8110766857,nan
148.8110766857,149.4306599549,nan
149.4306599549,149.9577527129,nan
149.9577527129,151.4845648674,151.4845648674
151.4845648674,151.7681009209,nan
151.7681009209,151.993898259,nan
151.993898259,152.5602216579,nan
152.5602216579,152.9821179249,nan
152.9821179249,153.140385488,nan
153.1931462552,154.300952381,154.300952381
154.7694356258,155.194996574,nan
155.194996574,155.8015785413,nan
155.8015785413,157.4007290402,157.4007290402
157.4007290402,157.8211447689,nan
157.8211447689,158.1130813292,nan
158.1130813292,158.283467215,nan
158.283467215,158.9918429495,nan
158.9918429495,159.4119668823,nan
159.4119668823,159.7475931459,nan
159.7475931459,161.239365079,161.239365079
172.8355583684,174.0394870316,nan
174.0394870316,175.2190410949,nan
175.2190410949,175.8442796801,nan
175.8442796801,178.973605442,nan
179.4630282921,180.6727517842,nan
180.6727517842,182.071235726,nan
182.071235726,182.6715034059,182.6715034059
182.6715034059,184.75537415,nan
185.5726781016,186.2877814845,nan
186.2877814845,186.9566663161,nan
186.9566663161,187.7889368724,nan
187.7889368724,188.5345497012,nan
188.5345497012,189.0603286659,nan
189.0603286659,191.094421769,191.094421769
