word_start,word_end,line_end
40.6052237396,40.7647975361,nan
40.7647975361,40.9481435452,nan
40.9481435452,41.1072185669,nan
41.1072185669,41.2617838493,nan
41.2617838493,41.3989287572,nan
41.3989287572,41.5727246538,nan
41.5727246538,41.8992261758,41.8992261758
41.8992261758,42.2162314152,nan
42.2162314152,42.4815497198,nan
42.4815497198,42.6269208145,nan
42.6269208145,42.858849615,nan
42.858849615,43.2763427066,43.2763427066
43.2763427066,43.461004666,nan
43.461004666,43.7673745973,nan
43.7673745973,43.8836465032,nan
43.8836465032,44.210970378,nan
44.210970378,44.888163265,44.888163265
45.654117137,45.7518930631,nan
45.7518930631,45.8672899011,nan
45.8672899011,46.012832886,nan
46.012832886,46.1162353538,nan
46.1162353538,46.3903081471,nan
46.3903081471,46.4903798457,nan
46.4903798457,46.8248735812,46.8248735812
46.8248735812,46.9710311484,nan
46.9710311484,47.1450804781,nan
47.1450804781,47.5860148022,nan
47.5860148022,47.814058957,nan
47.8900756881,48.1694446927,48.1694446927
48.1694446927,48.4960497374,nan
48.4960497374,48.7285015594,nan
48.7285015594,48.8334765054,nan
48.8334765054,48.904489796,nan
48.9944144955,49.4023645672,nan
49.4023645672,50.226938776,50.226938776
50.7186613252,50.8636712806,nan
50.8636712806,50.9555656018,nan
50.9555656018,51.3211389931,nan
51.3211389931,51.5061753224,nan
51.5061753224,51.9510295192,nan
51.9510295192,52.450612245,nan
53.1753529391,53.33147633,nan
53.33147633,53.42766444,nan
53.42766444,53.7622284928,nan
53.7622284928,54.0049150166,nan
54.0049150166,54.3824380397,nan
54.3824380397,55.111836735,55.111836735
55.5456448007,55.683265306,nan
55.7893640538,55.902040816,nan
55.9715574976,56.2885670904,nan
56.2885670904,56.468144176,nan
56.468144176,56.7399715837,nan
56.7399715837,56.969795918,nan
57.059153833,57.9655472023,nan
57.9655472023,58.2821483823,nan
58.2821483823,58.5112727975,nan
58.5112727975,58.7825314465,nan
58.7825314465,58.9672340071,nan
58.9672340071,59.768163265,59.768163265
69.9929748719,70.354997956,nan
70.354997956,70.6433871098,nan
70.6433871098,70.7934308371,nan
70.7934308371,71.3026961191,nan
71.3026961191,71.584217687,71.584217687
71.6387781887,71.7360192005,nan
71.7360192005,71.9079419899,nan
71.9079419899,72.132789116,nan
72.2171675335,72.424489796,nan
72.4912665674,72.8501218374,72.8501218374
72.8501218374,73.042721088,nan
73.1777765902,73.356190476,nan
73.4089729266,73.5852750259,nan
73.5852750259,73.800272109,nan
73.8916269467,74.505578231,74.505578231
74.929519967,75.014965986,nan
75.0721645962,75.2565413118,nan
75.2565413118,75.4473039549,nan
75.4473039549,75.7109451892,nan
75.7109451892,76.0242238778,nan
76.0242238778,76.1594109987,nan
76.1594109987,76.19047619,nan
76.2533132519,76.5257578463,76.5257578463
