word_start,word_end,line_end
10.298412698,10.745396825,nan
10.745396825,10.987301587,nan
11.067936508,11.261678005,nan
11.261678005,11.476462585,nan
11.476462585,11.687619048,nan
11.687619048,12.793469388,12.793469388
12.947301587,13.287619048,nan
13.287619048,13.63047619,nan
13.63047619,14.097777778,nan
14.097777778,14.384761905,nan
14.384761905,14.53968254,nan
14.53968254,15.327346939,15.327346939
15.517460317,15.613968254,nan
15.613968254,15.826938776,nan
15.926349206,16.190113379,nan
16.190113379,16.544217687,nan
16.544217687,17.133061224,nan
17.267301587,18.448979592,18.448979592
18.738503401,19.017142857,nan
19.017142857,19.190204082,nan
19.245714286,19.593650794,nan
19.593650794,20.181768707,nan
20.181768707,21.116734694,21.116734694
21.394285714,21.564444444,nan
21.564444444,22.221496599,nan
22.221496599,22.514285714,nan
22.616235828,23.486439909,23.486439909
23.776507937,24.247437642,nan
24.247437642,24.42739229,nan
24.42739229,24.60154195,nan
24.60154195,24.735056689,nan
24.735056689,26.151836735,26.151836735
26.443174603,26.599365079,nan
26.651428571,27.219591837,nan
27.219591837,27.353106576,nan
27.353106576,28.355918367,28.355918367
28.566349206,28.7230839,nan
28.7230839,29.052517007,nan
29.052517007,29.489342404,nan
29.489342404,29.57968254,nan
29.57968254,29.750204082,nan
29.874285714,31.030204082,31.030204082
31.235555556,31.512380952,nan
31.512380952,31.71845805,nan
31.71845805,32.269206349,nan
32.269206349,32.441904762,nan
32.441904762,33.453061224,33.453061224
33.719365079,33.866303855,nan
33.866303855,34.092698413,nan
34.092698413,34.628571429,nan
34.717460317,35.474285714,nan
35.474285714,35.57877551,nan
35.57877551,35.964081633,nan
36.048979592,36.770612245,36.770612245
37.086984127,37.477006803,nan
37.477006803,37.62031746,nan
37.62031746,37.803174603,nan
37.803174603,38.179047619,nan
38.179047619,38.372063492,nan
38.372063492,38.66122449,nan
38.66122449,39.683265306,39.683265306
39.903492063,40.032653061,nan
40.124444444,40.314920635,nan
40.314920635,40.780045351,nan
40.780045351,40.948390023,nan
40.948390023,41.516190476,nan
41.516190476,42.386938776,42.386938776
42.610793651,42.968888889,nan
42.968888889,43.119455782,nan
43.119455782,43.898412698,nan
43.898412698,44.109206349,nan
44.109206349,44.355555556,nan
44.355555556,44.584126984,nan
44.584126984,45.005714286,45.005714286
45.25968254,45.458866213,nan
45.458866213,45.783945578,nan
45.783945578,46.265396825,nan
46.265396825,46.752653061,nan
47.075555556,47.273650794,nan
47.273650794,47.48952381,nan
47.48952381,48.29968254,nan
48.29968254,48.816326531,48.816326531
49.102222222,49.274920635,nan
49.274920635,49.787936508,nan
49.787936508,49.975873016,nan
49.975873016,50.130793651,nan
50.130793651,50.305306122,nan
50.372789116,51.185578231,51.185578231
51.456507937,51.682539683,nan
51.682539683,51.867573696,nan
51.867573696,51.96952381,nan
51.96952381,52.235102041,nan
52.28553288,52.924081633,52.924081633
52.924081633,53.028571429,nan
53.028571429,53.202721088,nan
53.202721088,53.823854875,nan
53.823854875,54.311111111,nan
54.311111111,54.49723356,nan
54.49723356,55.111111111,nan
55.111111111,55.608163265,55.608163265
55.855238095,55.960816327,nan
56.033015873,57.080453515,nan
57.080453515,57.274920635,nan
57.274920635,57.585487528,nan
57.585487528,57.833650794,nan
57.833650794,58.344489796,58.344489796
58.605714286,59.065759637,nan
59.065759637,59.611428571,nan
59.611428571,59.781587302,nan
59.781587302,59.967346939,nan
60.017777778,60.953469388,60.953469388
61.109115646,61.300680272,nan
61.300680272,61.767619048,nan
61.767619048,61.946122449,nan
62.066938776,62.252698413,nan
62.252698413,62.520816327,nan
62.600997732,63.593650794,63.593650794
63.924535147,64.162539683,nan
64.162539683,64.336326531,nan
64.43537415,65.155918367,nan
65.219047619,65.782131519,nan
65.782131519,66.310385488,66.310385488
66.310385488,66.443900227,nan
66.443900227,66.629659864,nan
66.629659864,67.486984127,nan
67.486984127,68.127346939,nan
68.127346939,68.255056689,nan
68.255056689,68.51047619,nan
68.51047619,69.16244898,69.16244898
69.340589569,69.706303855,nan
69.706303855,69.799183673,nan
69.799183673,69.973333333,nan
69.973333333,70.269387755,nan
70.269387755,70.37968254,nan
70.37968254,70.577052154,nan
70.577052154,71.602358277,71.602358277
71.944126984,72.353378685,nan
72.353378685,72.469478458,nan
72.469478458,72.878730159,nan
72.878730159,73.073197279,nan
73.073197279,73.274920635,nan
73.274920635,75.294693878,75.294693878
74.354285714,74.684444444,nan
74.684444444,75.015873016,nan
75.126349206,75.337142857,nan
75.418412698,75.699591837,nan
75.761269841,76.924444444,76.924444444
76.924444444,77.348571429,nan
77.348571429,77.479183673,nan
77.479183673,77.925079365,nan
77.925079365,78.097777778,nan
78.097777778,78.262857143,nan
78.344126984,79.639365079,79.639365079
79.639365079,79.817324263,nan
79.876643991,80.111020408,nan
80.166893424,80.439727891,nan
80.439727891,80.735782313,nan
80.735782313,81.09968254,nan
81.09968254,81.231746032,nan
81.231746032,81.447619048,nan
81.447619048,81.696507937,nan
81.696507937,82.903945578,82.903945578
82.903945578,83.058503401,nan
83.110022676,84.093968254,nan
84.093968254,84.410340136,nan
84.410340136,85.126530612,85.126530612
85.228843537,85.490068027,nan
85.490068027,85.754920635,nan
85.754920635,86.082176871,nan
86.082176871,87.572244898,87.572244898
87.900952381,88.12553288,nan
88.12553288,88.264852608,nan
88.264852608,88.433197279,nan
88.433197279,89.100770975,nan
89.100770975,89.226666667,nan
89.226666667,89.488253968,nan
89.488253968,90.429387755,90.429387755
90.604263039,90.784217687,nan
90.784217687,91.022222222,nan
91.022222222,91.440181406,nan
91.440181406,91.601269841,nan
91.601269841,91.800816327,nan
91.941587302,92.36244898,nan
92.49015873,92.991111111,92.991111111
93.158095238,93.445079365,nan
93.445079365,93.613061224,nan
93.709206349,94.023401361,nan
94.023401361,94.12244898,nan
94.185941043,94.615510204,nan
94.684444444,95.78122449,95.78122449
96.053333333,96.199183673,nan
96.302222222,97.10984127,nan
97.10984127,97.355464853,nan
97.355464853,97.635555556,nan
97.635555556,98.733061224,98.733061224
98.938412698,99.120181406,nan
99.120181406,99.613605442,nan
99.613605442,99.741315193,nan
99.741315193,99.956099773,nan
99.956099773,100.327619048,nan
100.327619048,100.484353741,nan
100.484353741,100.687528345,nan
100.687528345,101.08952381,nan
101.08952381,102.106122449,102.106122449
102.341950113,102.452244898,nan
102.452244898,102.829569161,nan
102.829569161,103.405714286,nan
103.48952381,103.753650794,nan
103.753650794,103.923809524,nan
103.923809524,104.467301587,nan
104.467301587,104.761904762,nan
104.761904762,105.544489796,105.544489796
105.706666667,106.130793651,nan
106.130793651,106.300952381,nan
106.300952381,106.811428571,nan
106.811428571,107.351655329,nan
107.351655329,107.450340136,nan
107.450340136,108.137142857,108.137142857
108.393650794,108.614603175,nan
108.614603175,109.969705215,nan
109.969705215,110.232380952,nan
110.232380952,110.433015873,nan
110.433015873,111.281632653,111.281632653
111.613968254,111.702857143,nan
111.786666667,111.956825397,nan
111.956825397,112.20462585,nan
112.20462585,112.426666667,nan
112.426666667,112.599365079,nan
112.599365079,113.112380952,nan
113.112380952,113.792653061,113.792653061
113.975147392,114.151111111,nan
114.151111111,114.390204082,nan
114.390204082,114.811428571,nan
114.811428571,115.56,nan
115.80952381,116.227482993,nan
116.227482993,116.378412698,nan
116.378412698,116.918276644,116.918276644
116.918276644,117.080816327,nan
117.080816327,117.1969161,nan
117.1969161,117.831111111,nan
117.831111111,118.316190476,nan
118.316190476,118.49723356,nan
118.49723356,119.048707483,nan
119.048707483,119.625034014,119.625034014
119.817142857,120.140045351,nan
120.140045351,121.097868481,nan
121.097868481,121.254603175,nan
121.254603175,121.453061224,nan
121.57968254,121.823492063,nan
121.823492063,122.380408163,122.380408163
122.595555556,123.078095238,nan
123.078095238,123.605623583,nan
123.605623583,123.739138322,nan
123.739138322,123.924897959,nan
123.924897959,124.91755102,124.91755102
125.158095238,125.381950113,nan
125.381950113,125.754920635,nan
125.754920635,125.993287982,nan
126.072743764,126.258503401,nan
126.258503401,126.641632653,nan
126.641632653,127.590748299,127.590748299
127.907120181,128.139319728,nan
128.139319728,128.313469388,nan
128.417959184,129.139591837,nan
129.224126984,129.764716553,nan
129.764716553,130.490340136,130.490340136
130.490340136,130.562176871,nan
130.562176871,130.635464853,nan
130.635464853,131.52,nan
