word_start,word_end,line_end
14.425396825,14.56,nan
14.68952381,14.854965986,nan
14.854965986,15.934693878,nan
16.004353741,16.419410431,nan
16.419410431,17.226303855,nan
17.226303855,17.664580499,17.664580499
17.664580499,17.937414966,nan
17.937414966,18.008163265,nan
18.070929705,19.301587302,nan
19.301587302,19.578049887,nan
19.670204082,20.122993197,nan
20.122993197,20.912471655,20.912471655
20.912471655,21.080816327,nan
21.21723356,21.32462585,nan
21.32462585,22.561088435,nan
22.561088435,22.793287982,nan
22.793287982,22.857142857,nan
22.926802721,23.533061224,nan
23.64952381,24.169795918,24.169795918
24.598639456,24.920816327,nan
24.920816327,25.031111111,nan
25.031111111,25.198367347,nan
25.263310658,25.840907029,nan
25.840907029,26.27047619,nan
26.27047619,26.551292517,nan
26.644897959,27.4430839,27.4430839
27.4430839,27.695600907,nan
27.695600907,27.881360544,nan
27.881360544,29.724081633,nan
29.910204082,30.161632653,nan
30.336870748,30.73015873,nan
30.73015873,31.126349206,nan
31.126349206,31.480453515,31.480453515
33.834376417,33.991111111,nan
33.991111111,34.228390023,nan
34.307482993,34.795102041,nan
34.795102041,35.175328798,nan
35.175328798,35.553015873,nan
35.628117914,35.813877551,nan
35.813877551,35.959365079,nan
36.03446712,36.655600907,nan
36.655600907,37.355102041,37.355102041
37.526349206,37.578594104,nan
37.578594104,37.648253968,nan
37.648253968,38.192653061,nan
38.280997732,38.742494331,nan
38.742494331,38.890521542,nan
38.890521542,39.322993197,nan
39.322993197,40.007981859,nan
40.007981859,40.515918367,40.515918367
40.515918367,40.759727891,nan
40.759727891,40.899047619,nan
40.899047619,41.598548753,nan
41.755283447,42.096326531,nan
42.179047619,42.579591837,nan
42.579591837,43.570793651,43.570793651
44.039546485,44.142585034,nan
44.204988662,45.406621315,nan
45.406621315,45.836190476,nan
45.836190476,46.236734694,nan
46.236734694,46.738866213,46.738866213
46.81723356,47.14521542,nan
47.44707483,49.069569161,nan
49.121814059,49.376507937,nan
49.461405896,49.709569161,nan
49.765442177,50.738503401,nan
50.738503401,51.294693878,51.294693878
53.562630385,53.777414966,nan
53.777414966,53.866666667,nan
53.919637188,55.344761905,nan
55.344761905,55.449251701,nan
55.449251701,55.652426304,nan
55.652426304,56.830839002,56.830839002
56.830839002,56.997006803,nan
57.094965986,57.260408163,nan
57.260408163,58.496870748,nan
58.496870748,58.627482993,nan
58.697142857,58.819047619,nan
58.819047619,59.180408163,nan
59.297959184,60.079455782,60.079455782
60.293514739,60.386394558,nan
60.386394558,60.540226757,nan
60.540226757,61.028571429,nan
61.103310658,61.561904762,nan
61.561904762,61.933424036,nan
61.933424036,62.119183673,nan
62.119183673,62.722176871,nan
62.801269841,63.23446712,63.23446712
63.378866213,63.503673469,nan
63.599455782,63.627755102,nan
63.840362812,64.862040816,nan
65.062312925,65.256780045,nan
65.256780045,65.36707483,nan
65.448344671,65.741496599,nan
65.845986395,66.552380952,66.552380952
66.664489796,66.770793651,nan
66.862585034,67.065034014,nan
67.065034014,68.822857143,nan
69.09968254,69.254603175,nan
69.416054422,70.150385488,nan
70.150385488,70.811428571,70.811428571
