word_start,word_end,line_end
19.010612245,20.157823129,nan
20.310204082,20.571428571,nan
20.780408163,22.309297052,22.309297052
22.840816327,23.217959184,nan
23.343673469,24.10122449,nan
24.10122449,24.942585034,24.942585034
27.154285714,28.299319728,nan
28.434285714,28.708571429,nan
28.920816327,30.236734694,30.236734694
30.951836735,31.072653061,nan
31.072653061,31.595102041,nan
31.732244898,32.248163265,nan
32.248163265,32.483265306,nan
32.483265306,32.764081633,nan
32.764081633,33.066666667,nan
33.201632653,33.531428571,nan
33.531428571,33.915646259,33.915646259
35.252244898,35.430748299,nan
35.555918367,36.310204082,nan
36.310204082,37.325714286,nan
37.325714286,37.479183673,nan
37.479183673,38.620952381,38.620952381
39.357097506,39.532698413,nan
39.614693878,40.368979592,nan
40.368979592,40.485079365,nan
40.636734694,40.75755102,nan
40.75755102,40.868571429,nan
40.868571429,41.437460317,41.437460317
43.412244898,43.924897959,nan
43.924897959,44.521360544,nan
44.695510204,44.979954649,nan
45.227755102,45.473378685,nan
45.730612245,46.532789116,46.532789116
47.235918367,47.371609977,nan
47.493877551,47.647346939,nan
47.758367347,48.0,nan
48.0,48.238367347,nan
48.238367347,48.333061224,nan
48.333061224,48.608072562,nan
48.764081633,49.513650794,49.513650794
51.059591837,51.568979592,nan
51.568979592,52.584489796,nan
52.584489796,53.342040816,nan
53.342040816,53.593469388,nan
53.593469388,54.608979592,nan
54.608979592,55.382857143,nan
55.382857143,55.62122449,nan
55.62122449,55.879183673,nan
55.879183673,56.856961451,nan
57.665306122,58.142040816,nan
58.142040816,58.920816327,58.920816327
59.180408163,59.702857143,nan
59.702857143,60.724897959,nan
60.724897959,61.485714286,nan
61.485714286,61.740408163,nan
61.740408163,62.759183673,nan
62.759183673,63.513469388,nan
63.513469388,63.771428571,nan
63.771428571,64.04244898,nan
64.04244898,65.182040816,nan
65.711020408,66.288979592,nan
66.288979592,67.2,67.2
84.04244898,84.349387755,nan
84.349387755,85.361632653,nan
85.361632653,85.681632653,nan
85.871020408,86.217142857,nan
86.393469388,87.737959184,87.737959184
88.186122449,88.483265306,nan
88.656326531,89.041632653,nan
89.041632653,89.17877551,nan
89.17877551,89.44,nan
89.44,90.000544218,90.000544218
92.238367347,92.355918367,nan
92.470204082,93.183129252,nan
93.253877551,93.518367347,nan
93.518367347,94.272653061,nan
94.524081633,95.525442177,95.525442177
96.032653061,96.545306122,nan
96.545306122,96.700952381,nan
96.819591837,97.152653061,nan
97.152653061,97.319183673,nan
97.319183673,98.128979592,98.128979592
100.382040816,101.503129252,nan
101.632653061,103.73877551,103.73877551
104.440816327,104.916462585,nan
104.969795918,105.339591837,nan
105.462857143,105.596734694,nan
105.596734694,106.35755102,106.35755102
108.499591837,109.531428571,nan
109.531428571,109.779591837,nan
109.779591837,111.568979592,111.568979592
112.075102041,112.326530612,nan
112.548571429,113.458503401,nan
113.567346939,114.56,114.56
116.120816327,116.600816327,nan
116.600816327,117.671836735,nan
117.671836735,118.380408163,nan
118.380408163,118.66122449,nan
118.66122449,119.709387755,nan
119.709387755,120.48,nan
120.48,120.563809524,nan
120.715102041,120.966530612,nan
120.966530612,122.022312925,nan
122.651428571,123.245714286,nan
123.245714286,124.031836735,124.031836735
124.293877551,124.783673469,nan
124.783673469,125.792653061,nan
125.792653061,126.576326531,nan
126.576326531,126.811428571,nan
126.811428571,127.833469388,nan
127.833469388,128.577959184,nan
128.577959184,128.714013605,nan
128.865306122,129.116734694,nan
129.116734694,130.395102041,nan
130.82122449,131.36,nan
131.36,132.243446712,132.243446712
148.692244898,149.118548753,nan
149.564081633,149.890612245,nan
149.96244898,150.993560091,nan
151.222857143,151.480816327,nan
151.480816327,153.417142857,153.417142857
156.767346939,157.355102041,nan
157.355102041,159.343673469,nan
159.343673469,159.582040816,nan
159.582040816,160.432471655,nan
160.59755102,160.881632653,nan
160.881632653,161.459954649,nan
161.580408163,162.416326531,nan
162.416326531,162.654693878,nan
162.654693878,163.346575964,163.346575964
164.943673469,165.436371882,nan
165.844897959,166.213877551,nan
166.213877551,167.357823129,nan
167.497142857,167.787755102,nan
167.787755102,169.853968254,169.853968254
173.028571429,173.746938776,nan
173.746938776,175.386122449,nan
175.386122449,175.88244898,nan
175.88244898,176.59755102,nan
176.835918367,177.071020408,nan
177.071020408,177.893877551,nan
177.893877551,178.184489796,nan
178.184489796,178.684081633,nan
178.684081633,178.93877551,nan
178.93877551,179.664399093,179.664399093
181.185306122,181.668571429,nan
181.668571429,182.759183673,nan
182.759183673,183.471020408,nan
183.471020408,183.774693878,nan
183.774693878,184.803265306,nan
184.803265306,185.54122449,nan
185.54122449,185.672562358,nan
185.782857143,186.017959184,nan
186.017959184,187.325714286,nan
187.761632653,188.293877551,nan
188.293877551,189.08244898,189.08244898
189.345306122,189.825306122,nan
189.825306122,190.886530612,nan
190.886530612,191.595102041,nan
191.595102041,191.732970522,nan
191.908571429,192.930612245,nan
192.930612245,193.684897959,nan
193.684897959,193.926530612,nan
193.926530612,194.155102041,nan
194.155102041,195.462857143,nan
195.89877551,196.466938776,nan
196.466938776,197.572789116,197.572789116
199.947755102,200.470204082,nan
200.470204082,201.826394558,201.826394558
208.120816327,208.633469388,nan
208.633469388,209.994013605,209.994013605
