word_start,word_end,line_end
1.855782313,1.970068027,nan
1.970068027,2.040816327,nan
2.040816327,2.155102041,nan
2.155102041,2.269387755,nan
2.269387755,2.53968254,nan
2.53968254,2.69569161,nan
2.69569161,2.802721088,nan
2.802721088,3.502222222,3.502222222
5.264399093,5.413151927,nan
5.413151927,5.558276644,nan
5.558276644,5.663492063,nan
5.663492063,5.736054422,nan
5.736054422,6.020861678,nan
6.020861678,6.516099773,nan
6.681179138,6.768253968,nan
6.820861678,7.125623583,nan
7.125623583,7.259863946,nan
7.259863946,8.091428571,8.091428571
9.287981859,9.483900227,nan
9.483900227,10.224036281,nan
10.224036281,10.390929705,nan
10.390929705,10.675736961,nan
10.675736961,10.75047619,nan
10.857142857,11.123809524,nan
11.123809524,11.354920635,11.354920635
11.713378685,12.078004535,nan
12.078004535,12.235827664,nan
12.235827664,12.558730159,nan
12.558730159,12.709297052,nan
12.709297052,12.851156463,nan
12.851156463,13.068480726,nan
13.068480726,13.15047619,nan
13.240816327,13.551746032,13.551746032
13.648979592,13.886621315,nan
13.886621315,13.935600907,nan
13.935600907,14.126077098,nan
14.126077098,14.200453515,nan
14.200453515,14.811791383,nan
14.811791383,15.25260771,nan
15.25260771,15.434013605,nan
15.434013605,15.900226757,15.900226757
15.900226757,15.949206349,nan
15.949206349,16.375510204,nan
16.375510204,16.416507937,nan
16.511564626,16.97015873,nan
17.055782313,17.122539683,nan
17.257142857,17.511111111,nan
17.511111111,17.554285714,nan
17.690702948,18.265396825,18.265396825
18.517913832,18.728344671,nan
18.728344671,18.83138322,nan
18.83138322,19.010975057,nan
19.070839002,19.267482993,nan
19.267482993,19.406077098,nan
19.406077098,19.664761905,nan
19.815328798,19.93723356,nan
19.93723356,20.089614512,nan
20.089614512,20.220226757,nan
20.220226757,20.711111111,20.711111111
20.983582766,21.379773243,nan
21.379773243,21.504580499,nan
21.504580499,22.09814059,nan
22.09814059,22.231655329,nan
22.231655329,22.359365079,nan
22.359365079,22.981587302,22.981587302
23.265668934,23.401360544,nan
23.401360544,23.730793651,nan
23.730793651,23.829478458,nan
23.829478458,23.935419501,nan
23.935419501,24.367891156,nan
24.367891156,24.513015873,nan
24.513015873,24.793106576,nan
24.793106576,25.478095238,25.478095238
25.534693878,25.592380952,nan
25.716099773,25.907664399,nan
25.907664399,26.003446712,nan
26.003446712,26.144217687,nan
26.144217687,26.345941043,nan
26.345941043,26.776961451,nan
26.776961451,27.078820862,nan
27.078820862,27.504036281,27.504036281
27.504036281,27.639002268,nan
27.639002268,27.660770975,nan
27.660770975,27.927800454,nan
27.927800454,28.136780045,nan
28.136780045,28.360997732,nan
28.435736961,28.475646259,nan
28.546031746,28.694058957,nan
28.694058957,28.745578231,nan
28.823219955,28.980680272,nan
29.07138322,29.133061224,nan
29.27600907,29.490068027,29.490068027
29.844897959,29.951564626,nan
30.020498866,30.257052154,nan
30.257052154,30.390566893,nan
30.390566893,30.590839002,nan
30.590839002,30.812879819,nan
30.812879819,30.992834467,nan
30.992834467,31.381768707,nan
31.381768707,31.47755102,nan
31.567528345,31.838911565,31.838911565
31.838911565,31.982585034,nan
31.982585034,32.065306122,nan
32.133514739,32.328707483,nan
32.438276644,32.584852608,nan
32.584852608,33.005714286,nan
33.100045351,33.221950113,nan
33.221950113,33.573514739,nan
33.690702948,34.259591837,34.259591837
34.259591837,34.380045351,nan
34.380045351,34.480181406,nan
34.480181406,34.727619048,nan
34.796553288,34.829931973,nan
34.829931973,35.269659864,nan
35.361088435,35.504761905,nan
35.504761905,35.609251701,nan
35.662947846,35.700680272,nan
35.796462585,36.073650794,nan
36.073650794,36.510113379,36.510113379
36.655600907,36.728163265,nan
36.793469388,36.860952381,nan
36.934240363,37.076462585,nan
37.076462585,37.228843537,nan
37.228843537,37.26585034,nan
37.372517007,37.517641723,nan
37.517641723,37.797006803,nan
38.10829932,38.222947846,nan
38.222947846,38.382585034,nan
38.382585034,38.42829932,nan
38.500136054,38.939863946,38.939863946
39.074829932,39.219954649,nan
39.219954649,39.360725624,nan
39.360725624,39.510204082,nan
39.510204082,39.790294785,nan
39.790294785,39.955736961,nan
39.955736961,40.234376417,nan
40.234376417,40.466575964,nan
40.466575964,40.737959184,nan
40.798911565,41.312653061,41.312653061
41.364897959,42.165986395,nan
42.232743764,42.729795918,nan
42.940952381,43.075918367,nan
43.075918367,43.215238095,nan
43.215238095,43.324081633,nan
43.374875283,43.949569161,43.949569161
43.949569161,44.228208617,nan
44.228208617,44.621496599,nan
44.683900227,44.97414966,nan
44.97414966,45.226666667,nan
45.226666667,45.45015873,nan
45.45015873,45.951564626,45.951564626
46.2338322,46.503764172,nan
46.503764172,47.152471655,nan
47.368707483,47.666938776,nan
47.808435374,47.834557823,nan
47.834557823,48.132789116,nan
48.516643991,48.798185941,nan
48.798185941,49.438911565,nan
49.690702948,49.902585034,49.902585034
49.964988662,51.178231293,nan
51.715192744,52.253605442,52.253605442
59.061405896,60.231111111,nan
60.842086168,61.465396825,61.465396825
63.650249433,65.046349206,nan
65.420770975,66.036825397,66.036825397
68.226031746,69.938503401,nan
69.938503401,70.408707483,70.408707483
81.396099773,81.844535147,nan
82.27845805,82.808163265,nan
83.201451247,83.678911565,nan
84.127346939,84.648344671,84.648344671
87.39845805,87.518911565,nan
87.518911565,87.632108844,nan
87.632108844,87.743854875,nan
87.743854875,88.11537415,nan
88.409977324,88.547845805,nan
88.547845805,88.605170068,nan
88.690068027,88.900498866,nan
88.900498866,88.948390023,nan
88.948390023,89.151564626,nan
89.272018141,89.402630385,nan
89.402630385,89.456326531,nan
89.536145125,89.733514739,89.733514739
89.733514739,89.938866213,nan
89.938866213,90.044081633,nan
90.044081633,90.20952381,nan
90.276281179,90.425759637,nan
90.425759637,90.69569161,nan
90.69569161,91.186213152,nan
91.186213152,91.369070295,nan
91.369070295,91.535963719,nan
91.535963719,91.814603175,91.814603175
91.814603175,91.974240363,nan
91.974240363,92.027210884,nan
92.087437642,92.281904762,nan
92.281904762,92.427029478,nan
92.427029478,92.617142857,nan
93.129433107,93.335510204,nan
93.386303855,93.446530612,nan
93.543038549,93.99292517,93.99292517
93.99292517,94.297687075,nan
94.297687075,94.394920635,nan
94.394920635,94.467482993,nan
94.522630385,94.558911565,nan
94.558911565,94.624217687,nan
94.704036281,94.856417234,nan
94.856417234,95.002993197,nan
95.240997732,95.338231293,nan
95.406439909,95.634285714,nan
95.634285714,95.783764172,nan
95.783764172,96.32,96.32
96.396190476,96.531156463,nan
96.531156463,96.673378685,nan
96.673378685,96.833015873,nan
96.833015873,96.894693878,nan
96.959274376,97.246621315,nan
97.246621315,97.780680272,nan
97.780680272,97.837278912,nan
97.837278912,97.902585034,nan
97.970793651,98.105759637,nan
98.105759637,98.66739229,98.66739229
98.66739229,98.827029478,nan
98.827029478,98.969251701,nan
98.969251701,99.156462585,nan
99.156462585,99.293605442,nan
99.377052154,99.514920635,nan
99.514920635,99.647709751,nan
99.647709751,100.268843537,nan
100.381315193,100.524988662,nan
100.524988662,100.673015873,nan
100.673015873,100.799274376,nan
100.799274376,100.874013605,nan
100.932789116,101.122176871,101.122176871
101.253514739,101.529251701,nan
101.529251701,101.851972789,nan
101.959546485,102.099591837,nan
102.099591837,102.298412698,nan
102.298412698,102.363718821,nan
102.363718821,102.793287982,nan
102.793287982,102.974693878,nan
102.974693878,103.188027211,nan
103.188027211,103.253333333,nan
103.253333333,103.533424036,nan
103.533424036,103.65968254,nan
103.65968254,104.090702948,nan
104.234376417,104.673015873,nan
104.819229025,105.243718821,nan
105.38521542,105.750929705,105.750929705
105.750929705,106.213877551,nan
106.213877551,106.377868481,nan
106.377868481,106.558548753,nan
106.61877551,106.827755102,nan
106.827755102,107.143401361,nan
107.199274376,107.35600907,nan
107.35600907,107.504036281,nan
107.504036281,107.95537415,107.95537415
107.95537415,108.100498866,nan
108.100498866,108.530068027,nan
108.530068027,108.582312925,nan
108.678095238,109.088798186,nan
109.088798186,109.249886621,nan
109.249886621,109.568435374,nan
109.650430839,109.814421769,nan
109.814421769,110.245442177,110.245442177
110.245442177,110.386213152,nan
110.386213152,110.52553288,nan
110.52553288,110.818684807,nan
110.818684807,110.872380952,nan
110.947845805,111.104580499,nan
111.104580499,111.407891156,nan
111.407891156,111.551564626,nan
111.551564626,111.786666667,nan
111.786666667,111.849795918,nan
111.959365079,112.002176871,nan
112.089977324,112.248163265,nan
112.248163265,112.515192744,112.515192744
112.515192744,112.689342404,nan
112.689342404,112.946213152,nan
112.946213152,112.98829932,nan
113.10585034,113.239365079,nan
113.239365079,113.385941043,nan
113.385941043,113.724081633,nan
113.724081633,113.7661678,nan
113.7661678,113.987482993,nan
113.987482993,114.234920635,nan
114.234920635,114.384399093,nan
114.384399093,114.676099773,114.676099773
114.676099773,114.822675737,nan
114.822675737,115.191292517,nan
115.191292517,115.330612245,nan
115.330612245,115.411156463,nan
115.469931973,115.729705215,nan
115.729705215,115.765986395,nan
115.765986395,115.909659864,nan
115.909659864,116.059138322,nan
116.059138322,116.366802721,nan
116.366802721,116.514829932,nan
116.514829932,116.916825397,116.916825397
116.916825397,116.944399093,nan
116.944399093,117.180952381,nan
117.180952381,117.365260771,nan
117.365260771,117.500226757,nan
117.500226757,117.625034014,nan
117.625034014,117.675102041,nan
117.778866213,118.183764172,nan
118.183764172,118.488526077,nan
118.488526077,118.633650794,nan
118.633650794,118.854965986,nan
118.955827664,119.262040816,119.262040816
119.262040816,119.78739229,nan
119.78739229,119.814965986,nan
119.814965986,120.02829932,nan
120.099410431,120.267755102,nan
120.267755102,120.3969161,nan
120.3969161,120.536235828,nan
120.536235828,120.602993197,nan
120.661043084,120.89324263,nan
120.89324263,120.975238095,nan
121.0369161,121.179138322,nan
121.179138322,121.543401361,121.543401361
121.539047619,121.555011338,nan
121.555011338,121.681269841,nan
121.681269841,121.76399093,nan
121.76399093,121.852517007,nan
121.852517007,122.533151927,nan
122.533151927,122.689886621,nan
122.689886621,123.062857143,nan
123.062857143,123.23845805,nan
123.23845805,123.813877551,nan
123.952471655,124.338503401,nan
124.53877551,124.900136054,nan
125.100408163,125.532879819,125.532879819
151.502947846,151.620498866,nan
151.620498866,151.740952381,nan
151.740952381,152.005079365,nan
152.005079365,152.11537415,nan
152.11537415,152.22276644,nan
152.22276644,152.362086168,nan
152.362086168,152.479637188,nan
152.479637188,152.62185941,nan
152.62185941,152.891791383,nan
152.891791383,153.081904762,nan
153.081904762,153.213968254,nan
153.213968254,153.380498866,nan
153.43600907,154.13877551,154.13877551
