word_start,word_end,line_end
14.6279866782,14.8242523226,nan
14.8242523226,15.0118381655,nan
15.0118381655,15.461587302,nan
15.8946716579,16.5765461703,nan
16.5765461703,16.9704271616,nan
16.9704271616,17.097142857,nan
17.1846232014,17.574603175,17.574603175
17.9802656465,18.2126095657,nan
18.2126095657,18.3675982487,nan
18.3675982487,18.946031746,nan
19.2571577219,19.5431474117,nan
19.5431474117,19.9338668444,nan
19.9338668444,20.286984127,nan
20.3706113055,20.5331388907,nan
20.5331388907,21.094603175,21.094603175
21.4323030906,21.726517887,nan
21.726517887,22.374603175,nan
22.7203180371,22.9760644275,nan
22.9760644275,23.4009978983,nan
23.4009978983,23.730793651,nan
23.8239322448,24.081269841,nan
24.2536961501,24.585442177,nan
24.696013022,25.1149284512,nan
25.1149284512,26.427936508,26.427936508
28.2790116896,28.5058110829,nan
28.5058110829,28.7402278084,nan
28.7402278084,29.297777778,nan
29.5683136482,30.2754934307,nan
30.2754934307,30.676012868,nan
30.676012868,30.8990685833,nan
30.8990685833,31.375238095,31.375238095
31.7242488852,32.060952381,nan
32.1522813844,32.685714286,nan
33.0047190922,33.2572974992,nan
33.2572974992,33.6793203808,nan
33.6793203808,34.790521542,34.790521542
35.1609233219,35.4035116533,nan
35.4035116533,35.6486462404,nan
35.6486462404,36.058412698,nan
36.4536793588,36.7099090276,nan
36.7099090276,36.9774922478,nan
36.9774922478,37.4941220995,nan
37.4941220995,37.6891198069,nan
37.6891198069,38.288253968,38.288253968
38.6735569262,38.8261538853,nan
38.8261538853,39.3033171052,nan
39.3033171052,39.4731353927,nan
39.4731353927,40.325079365,40.325079365
40.7551712988,41.0294984305,nan
41.0294984305,41.224126984,nan
41.3880034802,41.8253881038,nan
41.8253881038,42.252822206,nan
42.252822206,42.6748939786,nan
42.6748939786,43.1495979585,nan
43.1495979585,44.038095238,44.038095238
44.155381268,44.4057680936,nan
44.4057680936,44.713650794,nan
44.8076511773,45.2540151543,nan
45.2540151543,45.5969611426,nan
45.5969611426,46.5172086994,nan
46.5172086994,47.227936508,47.227936508
47.3973487115,47.5948431186,nan
47.5948431186,47.9644997563,nan
47.9644997563,48.2562046002,nan
48.2562046002,48.792380952,nan
49.0983484616,49.3120924011,nan
49.3120924011,49.7529903141,nan
49.7529903141,50.1233748087,nan
50.1233748087,50.514285714,50.514285714
50.7539845854,51.0097309537,nan
51.0097309537,51.4377858401,nan
51.4377858401,51.8634225657,nan
51.8634225657,52.3177368289,nan
52.3177368289,52.5414418158,nan
52.5414418158,52.7377864569,nan
52.7377864569,53.6143817403,nan
53.6143817403,54.298412698,54.298412698
83.1390221302,83.3598320036,nan
83.3598320036,84.068571429,nan
84.4568621707,84.6942342055,nan
84.6942342055,85.022040816,nan
85.0856298162,85.5414171327,nan
85.5414171327,85.7031172423,nan
85.7031172423,86.145306122,86.145306122
86.1999917559,86.5690977364,nan
86.5690977364,86.8577433754,nan
86.8577433754,87.2163803693,87.2163803693
87.2163803693,87.3551946544,nan
87.3551946544,87.8622469203,nan
87.8622469203,88.130224803,nan
88.130224803,88.5334330366,nan
88.5334330366,89.0801250048,nan
89.0801250048,89.567346939,89.567346939
89.9883906994,90.2045639401,nan
90.2045639401,90.3468378784,nan
90.3468378784,90.888707483,90.888707483
91.0574221625,91.287212199,nan
91.287212199,91.500180157,nan
91.500180157,91.9512973894,nan
91.9512973894,92.7305337926,nan
92.7305337926,93.6340113758,nan
93.6340113758,94.811428571,94.811428571
95.7500674097,95.9788794026,nan
95.9788794026,96.3315049759,nan
96.3315049759,96.655728947,nan
96.655728947,96.8744999799,nan
96.8744999799,97.103146762,nan
97.103146762,97.262585034,nan
97.3257868132,97.737142857,97.737142857
97.947275777,98.5177170391,nan
98.5177170391,99.4503243634,nan
99.4503243634,99.8848467613,nan
99.8848467613,100.314557823,nan
100.7014928222,100.9183494336,nan
100.9183494336,101.1448459713,nan
101.1448459713,101.311564626,nan
101.3958490408,101.921088435,101.921088435
102.8267099115,103.2652910438,nan
103.2652910438,103.7800128252,nan
103.7800128252,104.0137726754,nan
104.0137726754,104.2010049938,nan
104.2010049938,104.537687075,nan
104.5951279697,104.737959184,nan
104.824213859,105.4444380868,nan
105.4444380868,105.7479276658,nan
105.7479276658,105.8981825843,nan
105.8981825843,106.3224442576,106.3224442576
106.3224442576,107.158639456,nan
107.3057947906,107.5821949185,nan
107.5821949185,107.8049313526,nan
107.8049313526,108.0201542629,nan
108.0201542629,108.2477986326,nan
108.2477986326,109.040054683,109.040054683
109.040054683,109.3130093865,nan
109.3130093865,109.7372643343,nan
109.7372643343,109.9769661094,nan
109.9769661094,110.663401361,nan
110.8041546696,111.0291701368,nan
111.0291701368,111.464406892,nan
111.464406892,111.8570211102,nan
111.8570211102,112.332698413,112.332698413
112.4912506028,112.7516299567,nan
112.7516299567,113.1710807123,nan
113.1710807123,113.5789595898,nan
113.5789595898,113.9936949509,nan
113.9936949509,114.227569616,nan
114.227569616,114.470620668,nan
114.470620668,115.3041906146,nan
115.3041906146,115.805170068,115.805170068
115.9375594089,116.1653360125,nan
116.1653360125,116.549659864,nan
116.6146367858,117.463945578,nan
117.6580422405,117.8927041439,nan
117.8927041439,118.2858140878,nan
118.2858140878,118.6634894385,nan
118.6634894385,119.15755102,119.15755102
119.3917117746,119.6127011991,nan
119.6127011991,120.0432568356,nan
120.0432568356,120.3936651453,nan
120.3936651453,120.8906110408,nan
120.8906110408,121.0884528119,nan
121.0884528119,121.25170068,nan
121.3198561573,122.679727891,122.679727891
122.8387577004,123.0361731617,nan
123.0361731617,123.4691253613,nan
123.4691253613,123.7718907594,nan
123.7718907594,124.83047619,124.83047619
155.1768350918,155.6010010883,nan
155.6010010883,156.0017117846,nan
156.0017117846,156.2830526336,nan
156.2830526336,157.028571429,157.028571429
158.5285306165,158.8164018171,nan
158.8164018171,159.875793142,nan
159.875793142,160.561632653,160.561632653
162.0267319062,162.4557954499,nan
162.4557954499,162.801632653,nan
162.8935364563,164.055510204,164.055510204
165.3374302893,165.714285714,nan
165.8843292538,167.47755102,167.47755102
166.9578035134,167.5390463194,nan
167.5390463194,168.0149765204,nan
168.0149765204,168.3023897264,nan
168.3023897264,169.606530612,169.606530612
