word_start,word_end,line_end
54.6666278308,54.8456074501,nan
54.8456074501,55.7841323211,nan
55.7841323211,56.0329665111,nan
56.0329665111,56.5533584508,nan
56.5533584508,56.878730159,nan
56.9503289218,57.5,nan
57.5,57.876640907,nan
57.876640907,58.3234692815,58.3234692815
58.3234692815,58.5255247738,nan
58.5255247738,58.7536718591,nan
58.7536718591,58.9217165992,nan
58.9217165992,59.657142857,nan
60.0108897747,61.0626264883,nan
61.0626264883,62.572698413,62.572698413
62.9011223601,63.7209603081,nan
63.7209603081,64.2670717671,nan
64.2670717671,64.5083783556,nan
64.5083783556,65.2666440427,nan
65.2666440427,66.245079365,66.245079365
66.7303300315,67.0672698224,nan
67.0672698224,67.4980773705,nan
67.4980773705,67.7650881502,nan
67.7650881502,67.9875331019,nan
67.9875331019,68.4402414385,nan
68.4402414385,68.7694556494,nan
68.7694556494,68.9732533594,nan
68.9732533594,70.095238095,70.095238095
70.2792924405,70.9334878386,nan
70.9334878386,71.8104356645,nan
71.8104356645,72.414163615,nan
72.414163615,72.8512794321,nan
72.8512794321,74.20952381,74.20952381
75.0230875465,75.4981711711,nan
75.4981711711,75.764495401,nan
75.764495401,76.1978684685,nan
76.1978684685,77.0146979375,77.0146979375
77.0146979375,77.4302096825,nan
77.4302096825,78.105396825,nan
78.2417523651,78.5593146407,nan
78.5593146407,78.7269144789,nan
78.7269144789,79.0316326438,79.0316326438
79.0316326438,79.573333333,nan
79.7673711623,80.203174603,nan
80.3959727669,81.2676597919,nan
81.2676597919,81.791451247,nan
81.9660370224,82.813968254,82.813968254
82.9357364171,83.4925232732,nan
83.4925232732,84.386580323,nan
84.386580323,85.0498738332,85.0498738332
85.0498738332,85.3300167246,nan
85.3300167246,85.7438862698,nan
85.7438862698,86.281043084,86.281043084
86.4600866649,87.023773114,nan
87.023773114,87.7722601767,nan
87.7722601767,88.5074481421,nan
88.5074481421,90.275555556,90.275555556
92.6434249511,93.7204031891,nan
93.7204031891,94.0272466441,nan
94.0272466441,94.5065279741,nan
94.5065279741,94.6880586912,nan
94.6880586912,94.9244782694,nan
94.9244782694,95.974603175,95.974603175
96.2638319931,96.4962583351,nan
96.4962583351,97.96904495,nan
97.96904495,98.885079365,nan
99.0022901235,100.46984127,100.46984127
100.7780038194,101.0253336586,nan
101.0253336586,101.5286812504,nan
101.5286812504,102.1751214479,nan
102.1751214479,102.4953110172,nan
102.4953110172,102.9220168122,nan
102.9220168122,104.386031746,104.386031746
104.7004551161,105.7252183519,nan
105.7252183519,105.9678569729,nan
105.9678569729,106.34876891,nan
106.34876891,106.4625106401,nan
106.4625106401,106.7724355632,nan
106.7724355632,106.9496043654,nan
106.9496043654,108.185396825,108.185396825
108.4847157198,108.7666338451,nan
108.7666338451,108.9787144564,nan
108.9787144564,109.6912158485,nan
109.6912158485,109.8766793577,nan
109.8766793577,110.3853245519,nan
110.3853245519,110.562539683,nan
110.7038719595,110.8758905174,nan
110.8758905174,112.193015873,112.193015873
112.9935043431,113.5033874963,nan
113.5033874963,113.7782905488,nan
113.7782905488,114.2297275434,nan
114.2297275434,115.0023059228,115.0023059228
115.0023059228,115.3235944626,nan
115.3235944626,116.1748627568,nan
116.1748627568,116.5437628859,nan
116.5437628859,116.760288988,nan
116.760288988,117.0193644845,117.0193644845
117.0193644845,117.526349206,nan
117.764235403,118.3223771927,nan
118.3223771927,119.126349206,nan
