word_start,word_end,line_end
16.871111111,16.985396825,nan
17.160634921,17.244444444,nan
17.391746032,17.478095238,nan
17.625396825,17.779591837,nan
17.851428571,18.029206349,nan
18.029206349,18.4,nan
18.951111111,19.184761905,nan
19.184761905,19.890793651,nan
19.890793651,20.496326531,20.496326531
21.026394558,21.126530612,nan
21.268027211,21.52707483,nan
21.52707483,21.927619048,nan
21.927619048,22.45877551,nan
22.794013605,22.906122449,nan
23.042176871,23.552653061,nan
23.845442177,24.100136054,nan
24.100136054,24.594285714,24.594285714
25.160272109,25.490068027,nan
25.6,26.131156463,nan
26.131156463,26.644897959,nan
27.156462585,27.350748299,nan
27.415510204,27.542857143,nan
27.670204082,28.04244898,nan
28.04244898,28.695510204,28.695510204
29.211428571,29.263673469,nan
29.455238095,29.720816327,nan
29.720816327,30.084353741,nan
30.084353741,30.204081633,nan
30.395646259,30.847346939,nan
31.259863946,31.497142857,nan
31.497142857,31.995646259,nan
31.995646259,32.14585034,nan
32.14585034,32.84244898,32.84244898
33.321360544,33.547755102,nan
33.547755102,34.013605442,nan
34.013605442,34.821768707,nan
35.091156463,35.186938776,nan
35.341496599,35.836734694,nan
36.133877551,36.299319728,nan
36.299319728,36.368979592,nan
36.460408163,36.930612245,36.930612245
37.398639456,37.521632653,nan
37.635918367,37.750204082,nan
37.816598639,37.871020408,nan
37.940680272,38.024489796,nan
38.151836735,38.28244898,nan
38.432653061,38.977959184,nan
39.449251701,39.542857143,nan
39.701768707,39.925986395,nan
39.925986395,40.048979592,nan
40.198095238,40.326530612,nan
40.461496599,40.989387755,40.989387755
41.497687075,41.580408163,nan
41.758911565,42.21170068,nan
42.21170068,42.366258503,nan
42.366258503,42.629659864,nan
42.629659864,43.324081633,nan
43.600544218,43.709387755,nan
43.813877551,44.066394558,nan
44.066394558,44.410340136,nan
44.410340136,44.496326531,nan
44.680272109,45.247346939,45.247346939
45.594557823,46.117006803,nan
46.117006803,46.391292517,nan
46.391292517,47.105306122,nan
47.662585034,47.906394558,nan
47.906394558,48.509387755,nan
48.509387755,48.633469388,nan
48.768435374,49.684897959,49.684897959
49.926530612,50.582857143,nan
50.954013605,51.546122449,nan
51.646258503,51.996734694,nan
51.996734694,53.266938776,53.266938776
54.025578231,54.295510204,nan
54.51755102,55.444897959,nan
55.53414966,56.989387755,56.989387755
57.36707483,57.647891156,nan
57.647891156,57.92,nan
57.92,59.164444444,59.164444444
76.401632653,76.499591837,nan
76.667210884,77.161360544,nan
