word_start,word_end,line_end
19.2,22.208435374,22.208435374
22.638004535,23.04,nan
23.04,23.283809524,nan
23.283809524,27.119455782,27.119455782
27.46122449,27.634285714,nan
27.634285714,28.045714286,nan
28.045714286,28.480725624,nan
28.607346939,28.871836735,nan
28.96,29.544489796,nan
29.544489796,29.727346939,nan
29.727346939,30.483446712,30.483446712
30.76244898,31.079183673,nan
31.079183673,31.346122449,nan
31.435102041,31.911836735,nan
31.911836735,32.140408163,nan
32.140408163,33.015873016,33.015873016
33.216145125,33.289795918,nan
33.289795918,33.425124717,nan
33.425124717,34.008163265,nan
34.008163265,34.142040816,nan
34.142040816,34.30122449,nan
34.354285714,35.147845805,35.147845805
35.147845805,35.461247166,nan
35.565714286,36.460408163,nan
36.460408163,37.505668934,37.505668934
38.405804989,41.429478458,41.429478458
41.867755102,42.733061224,nan
42.733061224,43.075918367,nan
43.075918367,46.271201814,46.271201814
46.685170068,46.775510204,nan
46.775510204,47.04,nan
47.04,47.555918367,nan
47.555918367,47.820408163,nan
47.820408163,48.493061224,48.493061224
48.493061224,48.620408163,nan
48.767346939,48.922993197,nan
48.922993197,49.528163265,nan
49.528163265,49.663492063,nan
49.76,49.959183673,nan
49.959183673,50.840816327,nan
50.840816327,51.011337868,nan
51.151020408,51.798639456,51.798639456
52.48,52.760816327,nan
52.760816327,53.191836735,nan
53.253877551,53.596734694,nan
53.596734694,54.24,nan
54.24,54.782040816,nan
54.782040816,55.092244898,nan
55.092244898,55.399183673,nan
55.399183673,55.614693878,nan
55.686530612,56.965079365,56.965079365
57.299591837,57.512653061,nan
57.583673469,60.605895692,60.605895692
61.113469388,61.195102041,nan
61.195102041,61.397913832,nan
61.397913832,61.648979592,nan
61.648979592,62.311836735,nan
62.311836735,65.748752834,65.748752834
65.87537415,66.191020408,nan
66.191020408,66.592653061,nan
66.592653061,67.686530612,nan
67.686530612,67.79755102,nan
67.79755102,67.951020408,nan
68.026122449,68.133877551,nan
68.133877551,68.303673469,nan
68.303673469,68.617142857,nan
68.617142857,68.917188209,nan
68.917188209,69.889705215,69.889705215
70.213877551,70.426122449,nan
70.426122449,70.625306122,nan
70.625306122,71.239909297,nan
71.585306122,71.719183673,nan
71.719183673,72.248163265,nan
72.248163265,72.52244898,nan
72.52244898,72.806530612,nan
72.806530612,73.71755102,73.71755102
73.71755102,73.995102041,nan
73.995102041,74.886530612,nan
74.886530612,75.036734694,nan
75.036734694,76.192290249,76.192290249
76.506122449,76.806530612,nan
76.806530612,79.856689342,79.856689342
80.251428571,80.891428571,nan
80.891428571,81.524897959,nan
81.524897959,84.673015873,84.673015873
85.015510204,85.198367347,nan
85.198367347,86.097052154,nan
86.233469388,86.739591837,nan
86.739591837,86.893061224,nan
86.893061224,87.337142857,nan
87.337142857,87.940136054,87.940136054
88.385306122,88.662857143,nan
88.662857143,89.234285714,nan
89.234285714,89.458503401,nan
89.567346939,89.789387755,nan
89.789387755,90.543310658,90.543310658
90.765714286,91.030204082,nan
91.118367347,91.653877551,nan
91.653877551,91.784489796,nan
91.784489796,92.891428571,92.891428571
92.891428571,92.989387755,nan
92.989387755,93.093877551,nan
93.175510204,93.995464853,nan
94.109387755,94.710204082,nan
94.710204082,95.304489796,nan
95.304489796,96.007256236,96.007256236
96.790204082,96.894693878,nan
96.894693878,97.054693878,nan
97.054693878,97.39755102,nan
97.39755102,97.583673469,nan
97.583673469,98.276643991,98.276643991
98.994285714,99.281632653,nan
99.281632653,99.46122449,nan
99.46122449,100.10122449,nan
100.10122449,100.673015873,100.673015873
101.093877551,101.250612245,nan
101.250612245,101.848163265,nan
101.848163265,102.028117914,nan
102.142040816,102.390204082,nan
102.390204082,102.592653061,nan
102.592653061,103.09478458,103.09478458
103.399183673,103.611428571,nan
103.611428571,103.823673469,nan
103.823673469,103.920181406,nan
104.003265306,104.274285714,nan
104.274285714,104.888163265,nan
104.888163265,105.025306122,nan
105.025306122,105.70521542,105.70521542
106.148571429,106.230204082,nan
106.230204082,106.360816327,nan
106.360816327,106.641632653,nan
106.641632653,106.958367347,nan
106.958367347,107.851247166,107.851247166
108.222040816,108.355918367,nan
108.355918367,108.414693878,nan
108.414693878,108.591020408,nan
108.591020408,109.201632653,nan
109.201632653,109.361632653,nan
109.361632653,109.449795918,nan
109.449795918,110.228027211,110.228027211
110.040816327,110.236734694,nan
110.236734694,110.4,nan
110.4,110.824489796,nan
110.824489796,111.066122449,nan
111.066122449,111.634285714,111.634285714
111.634285714,111.784489796,nan
111.784489796,112.055510204,nan
112.055510204,112.568163265,112.568163265
112.656326531,113.10984127,nan
113.10984127,113.414603175,nan
113.414603175,113.882267574,nan
113.882267574,114.238367347,nan
114.295873016,115.064489796,115.064489796
115.2,118.207346939,118.207346939
118.653968254,118.97324263,nan
118.97324263,119.890430839,nan
119.890430839,123.147755102,123.147755102
123.477913832,124.081632653,nan
124.081632653,124.3138322,nan
124.3138322,124.398367347,nan
124.398367347,125.260408163,nan
125.260408163,125.521632653,nan
125.521632653,125.613061224,nan
125.730612245,126.205714286,126.205714286
126.883265306,126.958367347,nan
126.958367347,127.666938776,nan
127.666938776,127.777959184,nan
127.777959184,128.82122449,128.82122449
129.168979592,129.283265306,nan
129.283265306,129.479183673,nan
129.479183673,130.024489796,nan
130.024489796,130.380408163,nan
130.380408163,131.268571429,131.268571429
131.268571429,131.755102041,nan
131.89877551,132.48,nan
132.48,133.048163265,nan
133.048163265,133.342040816,nan
