word_start,word_end,line_end
15.423854875,15.568979592,nan
15.683265306,15.931428571,nan
15.931428571,16.111020408,nan
16.111020408,16.561632653,nan
16.561632653,16.863492063,nan
17.008979592,17.266938776,nan
17.266938776,17.699410431,17.699410431
18.912653061,19.086802721,nan
19.160816327,19.844353741,nan
19.947755102,20.568163265,nan
20.568163265,21.23755102,nan
21.559727891,21.766530612,nan
21.766530612,22.213877551,nan
22.213877551,22.73015873,nan
25.025306122,25.61015873,25.61015873
29.64244898,29.844897959,nan
29.844897959,30.406530612,nan
30.406530612,30.571972789,nan
30.687346939,30.907210884,nan
31.09877551,31.316462585,31.316462585
31.46122449,32.006530612,nan
32.006530612,32.548571429,nan
32.548571429,32.999183673,nan
32.999183673,33.145034014,nan
33.273469388,33.580408163,nan
33.580408163,34.063673469,34.063673469
35.408979592,35.496054422,nan
35.595102041,35.940136054,nan
36.060589569,36.556190476,nan
38.905034014,39.401360544,39.401360544
43.173877551,43.373061224,nan
43.373061224,43.705759637,nan
43.836734694,44.338503401,nan
44.979591837,45.133786848,nan
45.263673469,45.720090703,nan
45.805714286,46.614058957,nan
46.723265306,46.846258503,nan
46.955102041,47.108571429,nan
47.108571429,47.705396825,47.705396825
48.587755102,49.37723356,nan
49.537959184,50.654331066,nan
51.624489796,51.84244898,nan
51.915102041,52.267755102,nan
52.267755102,52.669387755,nan
52.669387755,52.900861678,nan
53.100408163,53.707755102,53.707755102
54.893061224,55.547936508,nan
55.644081633,56.441904762,nan
57.743673469,58.044897959,nan
58.145306122,58.351746032,nan
58.351746032,58.758095238,nan
58.994285714,59.837823129,59.837823129
64.542040816,64.783673469,nan
64.911020408,65.051428571,nan
65.224489796,65.942857143,nan
65.942857143,66.829931973,66.829931973
73.619591837,73.786122449,nan
73.786122449,74.142040816,nan
74.142040816,74.354285714,nan
74.354285714,74.932244898,nan
74.932244898,75.095510204,nan
75.095510204,75.247165533,nan
75.383582766,75.964081633,nan
75.964081633,76.440816327,nan
76.440816327,77.217959184,nan
77.361632653,77.554648526,nan
77.71138322,78.309297052,78.309297052
80.399092971,80.561632653,nan
80.561632653,81.152653061,nan
81.152653061,81.576326531,nan
81.71755102,82.333968254,nan
82.44244898,82.638367347,nan
82.638367347,82.955102041,nan
82.955102041,83.545306122,nan
83.742040816,84.241632653,nan
84.241632653,84.985034014,84.985034014
87.683265306,88.015238095,nan
88.094693878,88.264852608,nan
88.339591837,89.211428571,nan
89.211428571,89.994739229,nan
90.194285714,90.464943311,nan
90.638367347,90.877097506,nan
91.062857143,91.314285714,nan
91.314285714,91.904580499,nan
92.284081633,92.568163265,nan
92.568163265,92.862040816,nan
92.862040816,93.177959184,nan
93.283265306,93.665306122,nan
93.665306122,94.087256236,nan
96.11755102,97.117460317,nan
97.377959184,97.62829932,nan
97.805714286,98.110113379,98.110113379
98.817959184,99.329160998,nan
99.381405896,99.636825397,nan
99.636825397,100.092879819,nan
100.244897959,100.623673469,nan
102.331428571,102.662040816,nan
102.772244898,103.131428571,nan
103.282358277,103.543582766,nan
103.543582766,104.373696145,104.373696145
105.469387755,106.016507937,nan
106.089795918,106.308571429,nan
106.308571429,106.93877551,nan
106.93877551,107.421315193,nan
108.90122449,109.336961451,nan
109.404081633,109.621405896,nan
109.621405896,110.292244898,nan
110.292244898,110.776598639,nan
112.303673469,112.653877551,nan
112.770612245,113.155102041,nan
113.283265306,113.499138322,nan
113.499138322,114.380045351,114.380045351
127.930340136,128.107482993,nan
128.166530612,128.339591837,nan
128.401632653,128.607346939,nan
128.607346939,129.015510204,nan
129.355102041,129.662040816,nan
129.854693878,130.174693878,nan
130.174693878,130.687709751,nan
130.687709751,131.482993197,131.482993197
134.931156463,135.110748299,nan
135.170612245,135.376326531,nan
135.376326531,135.588571429,nan
135.588571429,136.010884354,nan
136.329795918,136.897959184,nan
136.897959184,137.204897959,nan
137.204897959,137.485714286,nan
137.485714286,138.388027211,138.388027211
141.985306122,142.217142857,nan
142.217142857,142.455510204,nan
142.455510204,142.857142857,nan
142.857142857,143.299773243,nan
143.506938776,143.7569161,nan
143.980408163,144.094331066,nan
144.179591837,144.257596372,nan
144.352653061,144.568163265,nan
144.568163265,144.813061224,nan
144.813061224,145.298866213,nan
145.400816327,145.795918367,nan
145.795918367,146.566530612,146.566530612
146.566530612,146.942403628,nan
147.010612245,147.208707483,nan
147.208707483,147.650340136,nan
147.79755102,148.339229025,nan
149.92,150.223673469,nan
150.324897959,150.945306122,nan
150.945306122,151.209795918,nan
151.209795918,151.829478458,151.829478458
153.110204082,153.621768707,nan
153.70122449,153.864852608,nan
153.955918367,154.533877551,nan
154.533877551,154.887981859,nan
156.551836735,156.86893424,nan
156.973061224,157.541587302,nan
157.541587302,157.743310658,nan
157.80244898,158.585034014,158.585034014
159.549387755,160.148752834,nan
160.20244898,160.43755102,nan
160.43755102,160.85260771,nan
161.067755102,161.538321995,nan
162.925714286,163.410430839,nan
163.500408163,163.671655329,nan
163.72244898,164.342857143,nan
164.342857143,164.756462585,nan
166.354285714,166.743673469,nan
166.873469388,167.392653061,nan
167.392653061,167.603265306,nan
167.673469388,168.269206349,168.269206349
182.115918367,182.333968254,nan
182.396734694,182.648163265,nan
182.648163265,182.853877551,nan
182.853877551,183.258412698,nan
183.324081633,183.598730159,nan
183.777959184,183.970612245,nan
183.970612245,184.259047619,184.259047619
185.635918367,185.846530612,nan
185.916734694,186.544761905,nan
187.164081633,187.415510204,nan
187.415510204,187.895873016,nan
188.222040816,188.502857143,nan
188.502857143,189.216507937,189.216507937
