word_start,word_end,line_end
18.422857143,18.692063492,nan
18.692063492,18.996825397,nan
18.996825397,19.578412698,nan
19.578412698,19.812063492,nan
19.812063492,20.530702948,nan
20.770249433,20.843174603,nan
20.843174603,20.91537415,nan
21.041269841,21.855782313,nan
21.942857143,22.117006803,nan
22.117006803,22.73814059,22.73814059
23.112562358,23.156099773,nan
23.280907029,23.601632653,nan
23.601632653,23.829478458,nan
23.829478458,24.666848073,nan
24.666848073,25.199455782,nan
25.4461678,25.611609977,nan
25.611609977,26.010702948,nan
26.010702948,26.225487528,nan
26.225487528,26.962721088,nan
26.962721088,27.631746032,27.631746032
27.785578231,28.011972789,nan
28.011972789,28.177414966,nan
28.332698413,29.379047619,nan
29.476281179,29.872471655,nan
30.111927438,30.286077098,nan
30.286077098,30.839002268,nan
30.839002268,31.056689342,nan
31.056689342,31.39845805,nan
31.512380952,32.130612245,32.130612245
32.45569161,32.548571429,nan
32.647256236,33.547029478,nan
33.547029478,33.740045351,nan
33.740045351,34.115918367,nan
34.19138322,34.423582766,nan
34.835736961,34.99537415,nan
34.99537415,35.590385488,nan
35.657142857,35.764535147,nan
35.864671202,36.172335601,nan
36.172335601,36.75138322,36.75138322
37.112743764,37.295600907,nan
37.295600907,37.894965986,nan
37.894965986,38.198276644,nan
38.198276644,38.381133787,nan
38.381133787,38.582857143,nan
38.582857143,38.793287982,nan
38.793287982,39.424580499,39.424580499
39.424580499,39.600181406,nan
39.600181406,39.918004535,nan
39.918004535,40.192290249,nan
40.192290249,40.766984127,nan
40.766984127,40.912108844,nan
40.912108844,41.083356009,nan
41.083356009,41.578594104,41.578594104
41.743673469,41.878639456,nan
41.878639456,42.319818594,nan
42.319818594,42.514285714,nan
42.514285714,43.071564626,nan
43.071564626,43.440181406,nan
43.440181406,43.717369615,43.717369615
44.033741497,44.206439909,nan
44.206439909,44.367528345,nan
44.367528345,44.675192744,nan
44.791292517,45.064126984,nan
45.183129252,45.975510204,45.975510204
54.495238095,54.610793651,nan
54.610793651,54.682993197,nan
54.742857143,54.942222222,nan
54.942222222,55.056689342,nan
55.127619048,55.732063492,nan
55.732063492,55.851247166,nan
55.936507937,56.620408163,nan
56.85968254,56.963809524,nan
56.963809524,57.079365079,nan
57.079365079,57.426031746,nan
57.426031746,57.835827664,nan
57.926349206,58.179047619,nan
58.179047619,58.37968254,nan
58.37968254,58.906122449,58.906122449
59.168253968,59.555555556,nan
59.734603175,60.234013605,nan
60.339047619,60.573968254,nan
60.573968254,61.239002268,nan
61.518730159,61.98276644,nan
62.086349206,62.681904762,nan
62.681904762,62.897777778,nan
62.897777778,63.621587302,63.621587302
63.862857143,64.060952381,nan
64.060952381,64.392380952,nan
64.392380952,64.477460317,nan
64.477460317,64.584126984,nan
64.684444444,64.908253968,nan
64.982857143,65.176190476,nan
